"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"NOC2L","0.660071896831807","0.948765893709443","0.654594687182008","3.21612083195477","2.27850452407945","3.10380438978176","3.01764277243265","1.36825629392485","3.19047830824326","3.08557695947833","5.51365518659841","4.47995165186028","5.4047336501797","4.44249568986537","2.04497756640196","4.9839199478255","6.12318356952569",0.864657131896357,1,0.999776569014154,1,0.963329344315859,1
"HES4","0.711674521763521","0.570109474468613","0.234751646440498","2.1022287196001","2.15328608475059","2.05896223902481","2.21997539116345","3.26337096255958","2.12656201018635","1.88526759113332","6.28895759015914","4.03798812365981","6.4850027700612","4.15588910080586","8.87273549992205","6.28042591716316","6.68903191155595",0.887138300430045,1,0.999776569014154,1,0.875495010183912,1
"ISG15","0.0209358240144195","0.615700827005703","0.945285295510109","2.84066689553207","0.537887717450807","1.14493623917305","3.44774833346883","2.83564568702237","2.98663533656595","6.23015494809087","0.662598262654464","12.9870007318989","0.441101653141842","2.53466446577008","1.20153107813632","0.710102655830484","0.774937020811614",0.138596427669926,1,0.999776569014154,1,0.987786262766215,1
"C1orf159","0.0104620080950183","0.747398221776484","0.163318810349365","6.26374817085074","4.00651695901048","0.0240863014762323","0.102721393606941","3.78589337374586","0.0533597028134805","0.0859125293765539","8.27851672290947","3.66521846681872","8.01630081679382","6.29455603971507","1.93261942548143","8.51375501028819","7.86220028222043",0.0905414051560921,1,0.999776569014154,1,0.848366995307542,1
"B3GALT6","0.841624266807569","0.880723768230102","0.241069974965743","3.01926193436071","2.75885504686752","2.96138105887875","3.04250684928284","2.08153495172681","3.09612637125463","2.84731541084171","3.14566414339543","3.05854074015051","3.17571095373285","2.87655614098243","0.530759955522161","3.30872933787976","3.40313529320523",0.942734552176086,1,0.999776569014154,1,0.878596340321796,1
"SCNN1D","0.534818178669244","0.852754062288896","0.717850497384861","6.2154568331977","1.5533377595586","6.2421187286241","0.417051215202708","5.60959558804305","6.17072917019563","0.0703866851889703","3.55174070594923","1.16091648994158","3.32183372841826","3.32861732140604","2.80615761098089","1.73323555879683","5.32784095475695",0.792044872943073,1,0.999776569014154,1,0.968697883088121,1
"PUSL1","0.940452069667754","0.145168154396442","0.265314036079623","2.9178188030745","2.57104654307577","2.86956788455974","1.5913145919559","2.31615414912892","2.52403223205869","3.25666848118629","0.989095512263688","0.832513068757354","1.0791517922768","0.508234480317334","1.20059005008747","0.874720488997928","1.06561110890282",0.978626454869935,1,0.999776569014154,1,0.878596340321796,1
"CPTP","4.7270566921001e-06","0.988767568683099","0.586118382494795","3.0951383646667","0.666696441709251","3.05348133967489","2.97720058720216","1.73601143009242","3.06201053895636","3.04141622632348","3.06176266061028","14.5442355299749","2.5108451048223","2.26473114346992","1.17368979745151","1.74528202360725","3.54737758406274",0.000718292754097257,0.0308865884261821,0.999776569014154,1,0.946819254570855,1
"DVL1","0.922201237536677","0.633977950394345","0.411530842770221","3.24637988379095","3.27144762477344","3.25251581098186","3.00931208923391","2.26259845648555","3.24777547191584","3.2665396392987","6.64160724625565","8.02053906645167","6.87398589578088","4.9892324386207","3.69955742976221","6.21254430579531","7.68521193345717",0.969691484722344,1,0.999776569014154,1,0.918228032494938,1
"AURKAIP1","0.846010495622239","0.0830016132342491","0.875548195773986","2.96744330192818","3.21025820554735","2.79465358132081","3.49267967126802","2.42425542276505","3.07899863129661","2.86479038269295","7.45785460807153","6.9590414738357","7.26287384177731","9.97573011565202","5.31402776266724","7.36669756616321","7.42316483397483",0.94468642273769,1,0.999776569014154,1,0.984479244959053,1
"MRPL20","0.95306356686116","0.200187376425674","0.514586335891765","2.98568143892613","3.12790329310043","2.84122715473458","3.45082072106288","2.19321095986493","3.09675247860108","2.92330486215924","5.62151235679215","5.3751606609156","5.43356858031927","7.79334993491501","5.07480089716785","4.71824709263224","6.84070271577126",0.983001948835173,1,0.999776569014154,1,0.932976729664671,1
