"Gene_Symbols","p_cogdx","p_ceradsc","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad"
"HES4","0.712438380038159","0.565829474262062","2.06808138956668","1.970865145689","2.01944521774465","2.27040107012213","6.03784974029885","4.12460465884737","6.14654149461074","4.19859621315391",0.877206351377176,1,0.998657205197301,1
"ISG15","0.0990093201062889","0.760657222040812","3.15279587157551","0.731413087773773","3.0286537440968","3.42808385112106","1.36089573987998","3.00448210804198","1.13892560018245","1.59896661966587",0.416806161113378,1,0.998657205197301,1
"C1orf159","0.0839737824574498","0.582276668287709","6.2662387513295","6.15622114196388","0.0050368025707478","0.115390657664089","8.01631633038506","2.3518844848363","7.97385182366906","6.11994920323459",0.394000991377561,1,0.998657205197301,1
"B3GALT6","0.747380469609579","0.961603923009353","2.99846885902031","2.54947650773305","2.94676004847802","3.0110268825915","2.94902147501685","2.60949288026877","2.93090417527851","2.87182526391483",0.892501549153245,1,0.998657205197301,1
"PUSL1","0.928661355327634","0.128915717095917","2.92730967652693","2.53723129420337","2.88694383983346","1.54446767392238","0.958069559365922","0.79364339518746","1.04336817184539","0.53281555740636",0.972236412022555,1,0.998657205197301,1
"CPTP","0.00316169018689297","0.8941927431195","3.14775578424279","0.911208756751712","3.0787536306292","2.99805963902473","2.87731586950861","6.46917110422557","2.69048610315723","2.07340082033943",0.121688749778691,1,0.998657205197301,1
"AURKAIP1","0.783837152201634","0.142726866438978","3.00040067920333","3.00121093498746","2.87352876214006","3.46924482192987","6.97467723072599","4.88355243136357","6.7835761171046","7.96484011416884",0.90702363479127,1,0.998657205197301,1
"ANKRD65","0.681060976735588","0.167180792616217","3.01961789414342","3.06653006534034","2.96167593099374","3.26577118561502","4.08324214884484","2.97738300476289","4.15620594508827","2.41667890617701",0.86179024112041,1,0.998657205197301,1
"TMEM240","0.129681629140532","0.779246431727717","2.95639661010923","1.24109477446392","2.88542496167966","3.06553208633167","6.37782777216433","5.62280813348594","5.80281624410574","7.28619374210513",0.467568839667336,1,0.998657205197301,1
"SSU72","0.00150964542722264","0.549648298753485","3.25541513039254","0.894660039878538","3.18623271948977","3.38570720132713","22.0884160338658","22.2336288663787","20.3643651683193","16.4200759706867",0.0928536580808742,1,0.998657205197301,1
"GABRD","0.619667762474316","0.443886567082061","2.94061323430647","2.47136244891503","2.85677740572854","3.09784549501994","32.980499172052","27.6431472539892","32.4692119855497","35.637616756524",0.833475114562085,1,0.998657205197301,1
"PEX10","0.241255005463147","0.329508560761648","2.8232508878254","3.42178586035128","2.79984744143689","3.15189653807818","2.61136894084356","4.16623471705272","2.54551766252549","3.15956973351514",0.589511728774233,1,0.998657205197301,1
"PLCH2","0.404562830489666","0.842158191015846","2.45750986968748","1.24448239213139","2.42439826599648","2.1723830855339","2.67393979657991","3.44048152842436","2.5162067333676","2.82705224267916",0.71306078812607,1,0.998657205197301,1
"PANK4","0.58358126615391","0.129185417761788","3.21006843962597","3.65277893808459","3.30733366841773","2.18860449347559","2.71398746121053","3.61123028703419","2.96512568158419","1.26622274959261",0.812302290833681,1,0.998657205197301,1
"PRXL2B","0.112689755662324","0.788135766319184","3.19739220901146","1.51255925958122","3.10493059800972","3.15561495944717","7.91149073786333","7.26960480577259","7.66980238888152","5.96257802220613",0.440197984785989,1,0.998657205197301,1
"TPRG1L","0.0452218244310834","0.763017131167373","3.15148336685854","2.0562445295334","3.10617158244671","3.22808606326215","28.5583113907758","11.863713822484","26.8593512845288","27.8147415656288",0.319130795217873,1,0.998657205197301,1
"LRRC47","0.88765161699818","0.392676846638159","3.1182996947912","3.06026998550922","3.0654664855705","3.2876444666239","11.1122833850607","11.8758528019971","10.9870409718275","12.4407435224719",0.957100878056877,1,0.998657205197301,1
"C1orf174","0.333702668812319","0.875335236719541","3.11573052024517","1.6530678392864","3.03156075166256","3.18652682254108","2.10290841012813","0.908916900789954","1.98254861198797","1.85654533986244",0.663035213622381,1,0.998657205197301,1
