"List","Num_genes"
"TMM name","../normed_counts/AstroSubtypes125678_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0.025"
"CTL_cyclers_AR20BHQ1","867"
"CTL_cyclers_AR33BHQ1","150"
"AD_cyclers_AR20BHQ1","671"
"AD_cyclers_AR33BHQ1","137"
"AD_CTL_mthd2_cyclers_AR20BHQ1","1186"
"DR_cyclers_AR1BHQ3","0"
"DR_cyclers_AR20BHQ3","71"
"DR_cyclers_AR33BHQ3","0"
"DR_cyclers_mthd2_AR1_DRBHQ3","0"
"DR_cyclers_mthd2_AR20_DRBHQ3","70"
"DR_lostAmpAD_AR1BHQ3","0"
"DR_lostAmpAD_AR20BHQ3","39"
"DR_lostAmpAD_AR33BHQ3","0"
"DR_mthd2_lostAmpAD_AR1BHQ3","0"
"DR_mthd2_lostAmpAD_AR20BHQ3","39"
"DR_gainAmpAD_AR1BHQ3","0"
"DR_gainAmpAD_AR20BHQ3","32"
"DR_gainAmpAD_AR33BHQ3","0"
"DR_mthd2_gainAmpAD_AR1BHQ3","0"
"DR_mthd2_gainAmpAD_AR20BHQ3","31"
