"Ensembl","Gene_Symbols","p","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"ENSG00000235098","ANKRD65",0.000241603013732945,"3.05356967789068","3.02108024270082","1.54921897395133","3.07558769296486",0.00417572118719922,0.200772104412077,-0.685745086497101
"ENSG00000142606","MMEL1",0.128784205404726,"4.61159054648366","5.25487609682745","0.114195099036011","0.085028030182377",0.365254862427738,1,0.294927411698715
"ENSG00000158109","TPRG1L",0.346095468229505,"3.0929021912297","3.04387141475418","12.439760138064","14.1988430005905",0.59178052283687,1,-0.132262676836946
"ENSG00000028137","TNFRSF1B",0.287121381213315,"5.36160239916575","5.13297292374765","1.68442223847175","1.13866258111639",0.548500845490264,1,0.391568220586551
"ENSG00000183888","SRARP",0.295633756152246,"6.04796039367154","5.96765791315523","0.469931528838358","0.303201143805817",0.556400190355021,1,0.438190574560889
"ENSG00000142627","EPHA2",0.500866806573872,"5.4325294295007","5.15827226473323","0.227652795974301","0.163921640684402",0.700782544900938,1,0.328433130668138
"ENSG00000158825","CDA",0.0758365625933697,"5.70528090615917","6.03779174814726","0.140460668048469","0.0896777919281659",0.282749184624863,1,0.448704350081439
"ENSG00000158828","PINK1",0.272066721714367,"2.97385283400273","2.93819662413243","25.3740272353472","29.4392766749102",0.537024811744986,1,-0.14860362301817
"ENSG00000173372","C1QA",0.119522221174044,"5.62626110702548","5.14333508548257","1.2850721115765","0.778042429512965",0.349728752801516,1,0.501789054372754
"ENSG00000159189","C1QC",0.0935245540211609,"5.47158558510242","4.95081452210356","1.07392904996068","0.639307370482525",0.313326685801922,1,0.518693854702529
"ENSG00000173369","C1QB",0.149854049987729,"5.48420405522094","5.04496526817952","2.13633812398535","1.35282589126683",0.398685495810433,1,0.456897548876623
"ENSG00000020633","RUNX3",0.380098327314444,"5.94037471895259","5.57568491031603","0.0925068648069564","0.0608205577065478",0.619570602051794,1,0.419355003898045
"ENSG00000158014","SLC30A2",0.720717836091517,"2.14852928408955","2.359249857829","0.196666982299317","0.200178798332963",0.835003565221556,1,-0.0176991056981605
"ENSG00000142684","ZNF593",0.00531834393082786,"2.72245886745729","2.65834105845652","1.04346696752256","1.68688212085859",0.0468007071561798,1,-0.480333134543382
"ENSG00000181773","GPR3",0.186583948740837,"1.93481873184376","1.66889228739457","0.579596063327621","0.659292859181264",0.439276335132662,1,-0.128836416777826
"ENSG00000000938","FGR",0.338027144731124,"5.5007555908043","5.45840865852504","0.295383361067882","0.205123972374373",0.58889005717309,1,0.364659502081948
"ENSG00000121764","HCRTR1",0.00328396533768288,"1.73208326518285","1.81280222221633","0.19880284254123","0.296755174921143",0.0324877999477914,1,-0.400593879376258
"ENSG00000162520","SYNC",0.0159425254461376,"2.86214115846004","2.95906603432675","8.64844912945973","12.7384368601959",0.101131592715575,1,-0.387243933707058
"ENSG00000187513","GJA4",0.0426228419936393,"5.81290504424376","5.14878150645357","0.161676257621236","0.108323290589303",0.191051085272567,1,0.400475738889947
"ENSG00000142686","C1orf216",0.1265727401147,"3.06106581265812","2.97785780539457","11.5414721657348","13.3749685566891",0.361449989812081,1,-0.147438118246461
"ENSG00000142694","EVA1B",0.198404805532273,"5.89830485968233","5.74051812169612","0.39787979465078","0.261654423553268",0.456715771183709,1,0.419125297124397
"ENSG00000116990","MYCL",0.628917460611828,"3.57716321841788","3.71287408711387","0.232536592580062","0.222892470128964",0.78238085294675,1,0.0423581416496481
"ENSG00000198841","KTI12",0.00839285041205107,"3.01216297994281","3.0244846321137","0.548043046281747","0.757331276417121",0.0628329611929229,1,-0.323446939698697
"ENSG00000116133","DHCR24",0.627110407695691,"3.12212737586745","3.03721374098351","14.7516541245677","15.3562427219331",0.78238085294675,1,-0.040166862802405
"ENSG00000132855","ANGPTL3",0.422615687936843,"2.74826480848894","3.18061535809773","0.0846289766854408","0.084062672949813",0.646897547417811,1,0.00671409479035966
"ENSG00000154007","ASB17",0.840732539223856,"3.76541989356228","3.62469744053514","0.37332607889023","0.304991076736145",0.899161827664124,1,0.202169724311583
"ENSG00000137959","IFI44L",0.304256888967152,"0.421321427990376","0.471703040951783","1.87528474790278","0.648420214024993",0.556400190355021,1,1.06197682780763
"ENSG00000162645","GBP2",0.0931727538734102,"5.22446025915166","4.96182197581107","0.766740557820849","0.437501857405193",0.313326685801922,1,0.561067537084984
"ENSG00000183347","GBP6",0.154512078311382,"1.94299029498034","2.55258162468726","0.136391274920756","0.138978658126359",0.400148001022911,1,-0.0187926061763699
"ENSG00000079335","CDC14A",0.422311601088498,"5.93924116371048","5.80355835385433","9.99283598840383","7.87157678669124",0.646897547417811,1,0.238610038645007
"ENSG00000064886","CHI3L2",0.259767121711587,"4.4732456579993","4.156785221983","0.0414233854046263","0.23409680809543",0.518909803226752,1,-1.7318891534117
"ENSG00000092607","TBX15",0.0349140230047471,"6.03731458424147","5.76562089631841","0.263118344575624","0.130297552816123",0.169045437145894,1,0.702783207538216
"ENSG00000203857","HSD3B1",0.221545322570629,"2.61065207389292","3.04467773874404","0.304528687762334","0.221387901349289",0.473275483434943,1,0.318848922733856
"ENSG00000265972","TXNIP",0.245946913231786,"5.77766452451746","5.22761200446416","11.9450024104527","9.32434810275462",0.508199889644691,1,0.24768392803933
"ENSG00000264343","NOTCH2NLA",0.690312546167659,"5.90644285967801","5.86373098005338","0.734064213357385","0.643961330562197",0.825395289014856,1,0.130957830335465
