"Ensembl","Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","amp_ratio_CTL","amp_ratio_AD","mesor_CTL","mesor_AD","BHQ","Bonf","Log_AD_CTL_ampRatio"
"ENSG00000188976","NOC2L",2.5220459145652e-07,"2.98900359236077","2.49798527702119","2.03200016721489","1.51324451986261","0.0683197337757128","0.0969824988458597","22.1494498914537","20.9522356239189",4.9482683332239e-07,0.00350337397992252,0.294764577659501
"ENSG00000187961","KLHL17",1.86073515616939e-06,"5.43830123844281","5.89380682299503","1.23090304944188","1.09072972383778","0.168324801555975","0.174937286384894","6.47991094452628","7.03625324754189",3.36950489562625e-06,0.025847472054349,0.120901142883505
"ENSG00000188290","HES4",2.36202793739854e-43,"2.13412797807319","2.15354795914131","6.4035070710529","8.93102837949364","0.334528500498506","0.30448274052336","26.69736170815","21.0307719250235",2.00066646819531e-41,3.28109300784031e-39,-0.332685728204161
"ENSG00000187608","ISG15",0.047598167586735,"2.52137671463774","2.16709338129671","0.478441258724071","0.870831009631559","0.152378064575718","0.108417113561742","5.71493680574236","4.41296805463838",0.0561946409950141,1,-0.598914497165705
"ENSG00000188157","AGRN",0.435548907713538,"3.50908592976826","1.66980788734724","0.0594994696303762","0.271693949503157","0.0693268888926562","0.0159664957908068","3.91902700154106","3.72652023399117",0.456378507735442,1,-1.51870884841255
"ENSG00000131591","C1orf159",2.9888858613459e-29,"0.127854214118688","6.19763273496353","5.77633686580896","5.5665122019564","0.18958569782148","0.192699964812892","29.3614564068963","29.9758065416239",4.48365156586997e-28,4.15186134999559e-25,0.037001039314642
"ENSG00000078808","SDF4",2.71991654506705e-11,"2.71445535566079","2.83153498776408","4.5306412052761","4.26063759703087","0.0997943097571661","0.108483221122038","42.6941937611319","41.7635202791349",7.52037434863185e-11,3.77823607275264e-07,0.0614446561504926
"ENSG00000176022","B3GALT6",4.88881659611176e-21,"2.49413965485535","2.40300458167036","1.37778589863704","1.57359757994925","0.196140880841405","0.184300280066388","8.02279246018899","7.47576671148161",3.21850954201841e-20,6.79105513365885e-17,-0.132886660754896
"ENSG00000160087","UBE2J2",0.0373388715159799,"5.6456077665643","5.33625634534492","1.00363846801985","0.862856592170842","0.0312777248859081","0.0361840198218411","27.5869359206364","27.7370638464563",0.0445941246864824,1,0.151138640128683
"ENSG00000162572","SCNN1D",0.000215880575504735,"6.2610920806883","0.356574372418783","1.40145151066693","1.97451256621043","0.147573264439129","0.103135639260516","13.3798799783607","13.5884309314934",0.00032262475248373,1,-0.342813073117975
"ENSG00000131584","ACAP3",2.68730780962526e-05,"0.0665214664186574","0.24816249892275","5.36759671542213","8.16794600615904","0.121442133952935","0.0780461070548066","67.2579255674522","68.7746886805363",4.38344208354914e-05,0.373293927835045,-0.419837201111279
"ENSG00000169972","PUSL1",3.75945378123401e-11,"2.77499393524112","2.17492606613001","0.478702494975463","0.539115779835328","0.190577314657057","0.185254040644958","2.82885599897063","2.58403267917326",1.02658880430748e-10,5.22225724751216e-07,-0.11885104436481
"ENSG00000127054","INTS11",1.78445469152225e-06,"4.73740280683819","5.64518873984267","3.09730008990106","2.31425892691762","0.0669172375309021","0.0896283293425973","34.5838981450617","34.557155227806",3.2368582031778e-06,0.0247878601199356,0.291441274934651
"ENSG00000224051","CPTP",1.3204434920732e-05,"2.92249495332141","2.20983987199601","0.689044940605435","0.897873216202123","0.122750768286553","0.0970936326258317","7.31460363739721","7.09670574651169",2.2125790770071e-05,0.183422805483888,-0.264722378975582
"ENSG00000107404","DVL1",0.0036354021438565,"3.00594684964343","2.7540186250089","1.38675183894761","1.31264043610598","0.0581686627047393","0.0612345952532188","22.56610991332","22.6465420929636",0.00484267080747129,1,0.0549234973392236
"ENSG00000175756","AURKAIP1",3.08369790527098e-18,"2.71486979067862","2.68484431776184","2.93502973675802","4.67076071529259","0.225319127957303","0.145325762655692","20.7295348496896","20.1962107965105",1.53974290446151e-17,4.28356476021192e-14,-0.464604367478757
"ENSG00000221978","CCNL2",0.230840823285743,"2.01425309737805","0.644702156275188","0.266728476606694","1.99829066949976","0.0384942615570246","0.00519041726255967","51.9113911703315","51.3886385456332",0.250262224011727,1,-2.01381622944099
"ENSG00000242485","MRPL20",1.29000980723495e-07,"2.05919061912757","2.40239867160969","0.74307396010309","2.79013501758739","0.12002920826674","0.0341491313207057","23.2454671481869","21.7596738588937",2.60571851567554e-07,0.00179195262323007,-1.32304968474682
"ENSG00000235098","ANKRD65",3.31025075059617e-16,"2.85642274922529","2.94364901249003","0.626106774325982","1.08948669299605","0.306991924381689","0.180686407212729","3.54890994344681","3.4651570308155",1.39977757006184e-15,4.59826931765314e-12,-0.553941017875575
"ENSG00000179403","VWA1",0.00090473429629241,"2.11211623562839","1.53529740222715","0.52022370536465","0.52265215608631","0.100365995573839","0.103915818532752","5.20746247868179","5.00620322016406",0.00128176074551738,1,-0.00465722757770522
"ENSG00000215915","ATAD3C",0.000145458995993542,"5.98191655457755","5.83403748711796","0.380007566600417","0.370884188800628","0.254919836565378","0.254987874007651","1.45490517253454","1.49029661931694",0.000221311162469473,1,0.0243013103200933
"ENSG00000160072","ATAD3B",0.000198753122871987,"0.679017327020459","0.850479951084083","1.97303574013888","1.80696249804043","0.104195608601252","0.110499505139535","17.3420216292946","17.855607024189",0.000298312223642871,1,0.0879260838115459
"ENSG00000197785","ATAD3A",1.60641886813198e-06,"0.99489485086411","1.15630918827541","0.927907605428754","1.30422337088537","0.111001639973377","0.0770956116874217","11.7495865033902","12.035803142608",2.92729430633889e-06,0.0223147644972213,-0.340430859794332
"ENSG00000205090","TMEM240",4.17600068523582e-08,"2.94035597588514","2.49091205977617","2.22463184500263","2.90833020558069","0.127157957647262","0.103097416166729","22.8717907977765","21.5779592517136",8.78389241650678e-08,0.000580088255186108,-0.26798766496723
"ENSG00000160075","SSU72",2.03415087853798e-21,"3.12574660906196","2.84939522953216","7.69866302331822","7.17730761790121","0.155970205748292","0.171766995166177","46.0171709299667","44.8203859878325",1.38783840146223e-20,2.82563898537711e-17,0.0701223512913383
"ENSG00000228594","FNDC10",6.03748529696871e-14,"2.41828014956143","2.56099329493313","2.44524772312439","2.78114654575388","0.188517457140535","0.164954592768762","14.752726818719","14.8237626008523",2.08157627848579e-13,8.38667082601923e-10,-0.128716833162502
"ENSG00000197530","MIB2",0.00266535093320607,"0.584698783101508","0.694289707762172","1.23059168646946","3.15409488813584","0.101652067762045","0.0397597561983179","31.0283396843358","30.9506849169645",0.00360404845840217,1,-0.941206473473871
"ENSG00000189409","MMP23B",0.0144495591626745,"5.05724801831492","5.90141282734512","0.366171476289224","0.452897150548447","0.126491906232251","0.106736209872326","3.58044371405776","3.43062093667392",0.0180583739387055,1,-0.212563320839309
"ENSG00000248333","CDK11B",0.0543509943456993,"0.326722686963579","0.833184090570067","1.20056091084265","0.56099132412416","0.0471640504745144","0.1021728936859","11.8944687421895","11.7502878457511",0.063690708828759,1,0.760838711885148
"ENSG00000189339","SLC35E2B",0.139253783113,"0.529575959859182","5.00742358131757","1.30203115428671","1.01625118792304","0.0406146734190436","0.0515056369792393","25.021774210464","25.2793913569407",0.155458836391761,1,0.247804920716533
"ENSG00000008128","CDK11A",0.000118979524373312,"5.923313564812","5.99861145073538","1.83102818829572","1.48588720288775","0.124809022324691","0.152043151071678","11.9052867750395","12.0428192614379",0.000182744866549058,1,0.208865623722886
"ENSG00000215790","SLC35E2A",0.181338304234301,"0.30632683532124","0.725389999228929","1.66565681968818","1.30213951581745","0.0426167169964516","0.0527110578978557","30.5546651077291","31.5997607734588",0.199554019180755,1,0.246210838890939
"ENSG00000008130","NADK",0.18028283797402,"3.09565420055284","2.17824339297687","0.71498190995942","0.136899195686699","0.00964468959683036","0.0519159588340294","14.1942562601175","13.7719099486374",0.198439691148741,1,1.6530123845292
