"Ensembl","Gene_Symbols","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"ENSG00000188976","NOC2L","0.0048490982404854","22.0602071618548","21.2367994331547",0.0204738065831558,1
"ENSG00000187961","KLHL17","0.0040617339524892","6.40431141776853","7.21393939636468",0.0178323471346484,1
"ENSG00000188290","HES4","6.58908781681206e-12","26.3916970637526","21.4516952981688",4.57645094316682e-09,9.15290188633363e-08
"ENSG00000187608","ISG15","0.000299149692470974","5.64880924090817","4.53334125808632",0.0022744873443428,1
"ENSG00000188157","AGRN","0.506870125604266","3.87545748485698","3.81818872499839",0.651852275501277,1
"ENSG00000131591","C1orf159","0.939103979939111","29.5424645278643","29.586600862397",0.964731059409421,1
"ENSG00000078808","SDF4","0.107953087232208","42.7803935466308","41.5982459331559",0.215179128693546,1
"ENSG00000176022","B3GALT6","0.00516475084828849","7.98865409872628","7.53619112478117",0.0214479982163155,1
"ENSG00000160087","UBE2J2","0.806490295634218","27.6022059021298","27.6666500327646",0.879560076678568,1
"ENSG00000162572","SCNN1D","0.191123938457482","13.2724495425307","13.8640296461458",0.329024988116605,1
"ENSG00000131584","ACAP3","0.189285039607395","67.0123924003208","69.6056392133425",0.326304105880656,1
"ENSG00000169972","PUSL1","0.135181939691529","2.78825708112306","2.68437211100379",0.25461862023797,1
"ENSG00000127054","INTS11","0.0389415124930086","34.3278652925697","35.3070855270152",0.10133693331592,1
"ENSG00000224051","CPTP","0.627507422705526","7.22936593992114","7.2866458151981",0.750900284344926,1
"ENSG00000107404","DVL1","0.939590968815169","22.5200692936809","22.7602297463686",0.965017238285509,1
"ENSG00000175756","AURKAIP1","0.0681592205524848","20.6027786460491","20.2529024526626",0.154051372062246,1
"ENSG00000221978","CCNL2","0.869347489188657","51.7685657634766","51.900983889687",0.923240417683592,1
"ENSG00000242485","MRPL20","0.00050098354585347","23.0621349242756","21.9052282334124",0.00338524632104675,1
"ENSG00000235098","ANKRD65","0.0530846159129661","3.54306068003006","3.41575034713122",0.127228942875709,1
"ENSG00000179403","VWA1","0.109437171981059","5.19613433509098","5.0665944317337",0.217351250097486,1
"ENSG00000215915","ATAD3C","0.94417183180402","1.4621069801571","1.47199416282678",0.967947676360202,1
"ENSG00000160072","ATAD3B","0.160228929784266","17.3241335975237","17.8467188196946",0.288233626474131,1
"ENSG00000197785","ATAD3A","0.0923198491805401","11.687520100792","12.1636468420671",0.192323788987235,1
"ENSG00000205090","TMEM240","0.202943542191423","22.6750180615047","21.9574116300673",0.343833241197836,1
"ENSG00000160075","SSU72","0.11860949506016","45.7268360815723","45.5142097947405",0.230918639927216,1
"ENSG00000228594","FNDC10","0.54984684594432","14.7664413118917","14.7316039338368",0.690629442940881,1
"ENSG00000197530","MIB2","0.530016088697459","30.8288068121938","31.5363521037687",0.673156344042077,1
"ENSG00000189409","MMP23B","0.846583896263357","3.55427048754732","3.52226251612278",0.907213479841856,1
"ENSG00000248333","CDK11B","0.472179451158106","11.8897539495968","11.6603022712984",0.620827709989328,1
"ENSG00000189339","SLC35E2B","0.203806590454412","25.2649942538248","24.6801675155108",0.344848857285787,1
"ENSG00000008128","CDK11A","0.659506687093193","11.8711863031306","12.0739615861242",0.77439579368403,1
"ENSG00000215790","SLC35E2A","0.182845296692931","30.500448682161","31.6287747221249",0.317991467354007,1
"ENSG00000008130","NADK","0.316414478191778","14.182581639211","13.8787685744784",0.472461949539072,1
"ENSG00000078369","GNB1","2.7573233857362e-05","215.654228265304","208.3416755655",0.000374034390262559,0.383019791512616
"ENSG00000142609","CFAP74","0.00055800066108975","9.95658680450789","11.0636219313208",0.00369579583573255,1
"ENSG00000187730","GABRD","0.435477977356849","70.6126796342886","69.6948820496565",0.587246343409765,1
"ENSG00000067606","PRKCZ","0.0314017217813007","77.194208576889","75.5333118353783",0.0862910617733033,1
"ENSG00000162585","FAAP20","0.705546402127968","23.3101046515295","23.3208340530149",0.808976068671862,1
"ENSG00000157933","SKI","0.174140349862049","63.534715634006","65.3987288495872",0.307153654527199,1
"ENSG00000116151","MORN1","0.460294448575583","13.4778401982263","13.7443845843425",0.609237749896467,1
"ENSG00000157916","RER1","0.00164145505393428","27.1163377501788","26.0984410699646",0.00862384725953142,1
"ENSG00000157911","PEX10","0.00910917997404293","8.29610972094368","7.86266060552098",0.0332813029606779,1
"ENSG00000149527","PLCH2","0.00903215792243896","28.331756569508","29.8000816233342",0.0330695059832893,1
"ENSG00000157881","PANK4","0.635433405459648","9.02633540979412","8.72450370134841",0.757535653556468,1
"ENSG00000157873","TNFRSF14","0.0892626424085296","2.40543908989594","2.73377834527145",0.187728594352291,1
"ENSG00000157870","PRXL2B","0.870345970916882","12.0418461083547","12.3176328529015",0.923956888193077,1
"ENSG00000215912","TTC34","0.0901071452214674","1.84831881260322","1.9699200055332",0.188965683382277,1
"ENSG00000177133","PRDM16-DT","0.341094038528892","1.64167106386283","1.80968522557956",0.496347924701952,1
"ENSG00000142611","PRDM16","0.0154167956222952","2.40010903234891","2.71576527648653",0.0500361467264726,1
"ENSG00000162591","MEGF6","0.796550085731382","1.66973111969828","1.67420473786531",0.873807535295121,1
"ENSG00000158109","TPRG1L","3.38685820729607e-05","26.3429318725111","24.6878492299209",0.000437483108492296,0.470468473575497
"ENSG00000116213","WRAP73","0.0882787741374249","8.03278084756028","7.72999878404459",0.186393137489431,1
"ENSG00000130764","LRRC47","1.93468813964195e-06","23.2031301399725","21.4337208652886",4.90539751681198e-05,0.0268747529477663
"ENSG00000116198","CEP104","0.787318074634645","35.0276780577594","34.9925157125401",0.868124732080477,1
"ENSG00000169598","DFFB","0.917397374754686","22.286840508333","22.132364170596",0.952412797469829,1
