"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","amplitude_cerad3to5","amplitude_braak0to3","amplitude_braak3to5","amplitude_braak5to7","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"HES4","0.0738614913545455","0.180123713665749","0.00185518399014987","2.24428205092514","2.0222747620541","2.15240739743923","1.46534274838429","2.08162466675668","2.21271344502618","2.47446886241557","2.07729552695763","1.99443743058044","8.56555925256157","9.52399399758394","6.88110557049916","4.22326448428329","6.85068299394912","8.61577558563379","12.6055958682873","7.02032654647088","7.59430611382899",0.336475163046033,1,0.797312320785154,1,0.496364783142321,1
"AURKAIP1","0.0465929533337107","0.620543734618132","0.114607269414875","2.71333978297167","2.62942098796352","2.78510207966863","0.708138805314151","2.81094448467615","2.60414930792493","2.66987878926412","2.84780556456517","2.33160954304972","4.88508613530001","4.5040922457583","3.47926395014546","9.01291981737772","3.85853238481553","4.01924778270433","5.57239220910021","3.60632051699314","4.85949817825523",0.266635669471849,1,0.931484329076904,1,0.661127415915971,1
"ANKRD65","0.00360179590634256","0.524586281649546","0.261999324180635","2.88685862017023","3.03732958092493","2.79781093894745","0.443189121814522","2.95423282780443","2.9595603302479","2.98516419497546","2.89505554492838","2.96058863479945","1.30341334283636","0.814613735079655","0.770815200781401","1.68813754383129","0.819212249767004","1.06240178560408","1.4815049968305","0.772168617011183","0.99740583116941",0.0878299197507294,1,0.931484329076904,1,0.747907401436948,1
"ATAD3C","0.00602894627345759","0.7421209864994","0.795392920685745","5.59724486387106","0.0482901948895582","5.95248711661028","0.380149997260917","5.99588053039839","5.73239325103001","5.41700922865177","6.03610039903025","5.70828289840665","0.444741460418408","0.319970894731676","0.258219845638053","3.04725331550306","0.404985906325512","0.303358737328278","0.176444522394889","0.423014616473817","0.403981151747902",0.110173817702154,1,0.958191600799225,1,0.940105351775767,1
"GABRD","0.955069893888144","0.962791376359707","0.460572192796372","2.8853445943343","2.74607454115973","2.924272224348","2.54277322702313","2.85867262667923","2.87002858278219","2.84853397612679","2.83951958832829","2.92960183792998","16.0295935977605","13.3919854877567","15.3829831073717","11.8147480988817","15.0442422100698","14.4290224871882","20.2585347819569","14.1889779045982","13.1013057155272",0.975321587990946,1,0.987998812650406,1,0.830671617309056,1
"PEX10","0.190668417201202","0.591763261554219","0.70352223333422","2.61205439542277","2.50100761995121","2.26773070559761","3.23476999329218","2.4408812753189","2.60240540379412","2.54805558112359","2.54112325488826","2.33549138827321","2.31370778730623","2.34176732306604","1.69643507541285","3.11100028732156","2.04149599929531","2.0769160033774","2.44147771306172","2.04110500500269","1.92019241257788",0.528955927827187,1,0.931484329076904,1,0.906037020553998,1
"PANK4","0.205988602622133","0.0116539632898907","0.208651194885987","3.25906320543134","3.11551158415601","3.26622818112045","3.69228329298618","3.36459871168444","2.93272002547506","3.13075962707327","3.24992556788005","3.16378683376177","1.35064917934338","1.97090148872887","2.41555244129187","5.00752352949231","2.281824862886","1.25327913131922","2.10312609937825","1.54535513713045","2.66137085427184",0.544158537206246,1,0.690818187412353,1,0.711128131349152,1
"TNFRSF14","0.963594321200495","0.765795485337476","0.476502823783568","6.11224221190016","0.108928570657364","6.12999328723318","0.511795169626454","6.28117700305451","6.10025650207408","0.696422327315457","6.08645230939386","0.296610544418264","0.508932695045013","0.536238681698905","0.495262214980133","1.39008774896442","0.54007292380601","0.401326027382681","0.218058478787436","0.562866307216069","0.517078309797988",0.979457629991892,1,0.964001697349771,1,0.832131226021512,1
"TTC34","0.23149631650462","0.581933130622194","0.119181909305117","0.813180867192793","0.487589818813232","0.742800862662366","2.44921072470928","0.682920529373471","0.959032706882437","1.05162713557422","0.843594157170513","0.56942248229834","0.41027264911315","0.483071601093901","0.525238062599","0.62037536681804","0.455475349278247","0.401486844892624","0.480136781770121","0.338015995128413","0.719441429620591",0.56958140922279,1,0.931484329076904,1,0.661127415915971,1
"PRDM16","0.443118222692715","0.041432467321542","0.491962338945124","6.13326474317886","5.85363702814381","5.92810470050711","0.611318544738858","6.02380820337159","5.94393911526557","6.05784123961261","5.91829860523436","6.01848013463024","0.375647682167321","0.502123278187645","0.711995283074886","0.773213055866308","0.634995897187174","0.225606204089405","0.524533755086012","0.411361968983959","0.771046633239162",0.721331068368224,1,0.690818187412353,1,0.834896700608252,1
"TPRG1L","0.166599226995407","0.314902572287274","0.6392704717695","2.9601982600138","2.89548327315913","3.07162499540236","1.06899265936552","2.87881487010245","3.11431835230522","2.98877507380007","2.99735931624839","2.83728394201365","6.70489576937707","5.27407731506039","5.83423740016062","8.04856144977058","5.49974912600032","5.96847459716801","7.37462787007908","5.45230085565038","5.437404856734",0.499590209968792,1,0.87470240947218,1,0.88775276587137,1
"LRRC47","0.453839087973399","0.558236487836771","0.843294577014524","2.89756283687052","2.70789178887549","2.96870845721888","2.49519043017812","2.82263396628861","2.94571482357832","2.89673988406032","2.8845700632098","2.77013857184787","5.65995528611376","4.77500109462752","4.62957832002258","3.76191929540023","4.7262434748485","5.14348510932741","5.51292768008905","4.73181410017274","5.14487510440915",0.727829189643834,1,0.931484329076904,1,0.949791085804946,1
"LNCTAM34A","0.0775926092021259","0.491465652496001","0.126911824450739","2.94392903787909","3.11678064018056","1.89870005456768","3.62199974357646","2.82234419188262","2.88976306734934","2.58830170445464","3.01241758592651","1.31862615561299","0.774867517339974","0.627535242727602","0.523534762281779","3.80597312488805","0.497535200951135","0.826254857790263","0.769460633660183","0.828670889281587","0.154283340131536",0.341577701935501,1,0.923848002506144,1,0.664490242836554,1
"NMNAT1","0.138821931804101","0.273662812775398","0.517495952568497","0.768875398455165","0.418346648659101","0.595955716927854","3.31363837676258","0.596899973505888","0.742991895900259","0.570052672549556","0.708556864820459","0.481606330266946","2.25522663100041","2.33600119197999","2.93238116203303","1.98332007054403","2.66781736881864","1.98704170139924","2.06083533263863","2.35210922637189","2.94238906355392",0.459047247295287,1,0.86724376139492,1,0.848997863009852,1
"CORT","0.00181464589343302","0.135690916119625","0.798777221650008","2.19763315366221","1.93345814655842","1.85673800600472","3.53070119393363","2.13232168874912","1.89781061940724","1.97645521449485","2.04770810439171","2.01237971743739","7.16441358013189","8.24778160693838","4.13000512633396","4.32416132849908","5.04625619880854","6.66420788226906","6.7966895703272","5.94834411471961","4.74149530986525",0.0679772637606188,1,0.785519104476654,1,0.940105351775767,1
"MASP2","0.234938077218158","0.0265346554051805","0.674329576842635","2.7603884929151","2.15639876721491","2.20141713032989","3.62038070974599","2.26893737525747","2.73168410297428","2.56875369592033","2.57231123329492","2.15605429100078","0.65116967417953","0.599864594650235","0.458063526168517","1.43230108602513","0.41681133022594","0.781955647619239","0.733641385194754","0.545293983308633","0.435255409556723",0.569718922398111,1,0.690818187412353,1,0.897824619229438,1
"ANGPTL7","0.565264784453052","0.986278964439194","0.81034057848296","2.44556325594695","2.91614049218425","2.74522188561099","3.78981041041941","2.72233404750136","2.67909504643969","2.45229164848076","2.60633133549048","3.01909367900275","0.264677694871806","0.414349323507665","0.418278825800056","0.449526863428415","0.341091600811881","0.326565574492697","0.251735910900624","0.342838703491435","0.376015076562891",0.782995365312884,1,0.994568818238151,1,0.943420087120995,1
"FHAD1","0.189253754010527","0.850468733724153","0.888700298744579","5.48606391155193","5.80843038583524","0.230625112786266","0.161352858169638","6.09404849191161","5.82332049370121","5.62858358150473","5.96028022491591","0.140874251665277","0.270557326920033","0.47480084306957","0.590187436097321","1.64444333812835","0.40708643809343","0.393256297493446","0.414018321543948","0.395474807828827","0.395183043153538",0.528681020484164,1,0.973975432628516,1,0.964171730309646,1
"CELA2B","0.496074307909006","0.101878041921121","0.790794552268078","2.7121377945428","2.63396447503856","2.7162447804503","3.63167833061996","2.88931346961809","2.62944173487018","2.71582689924219","2.78702747549302","2.63309520927887","0.922002513938456","1.52140543598506","1.13862075396855","2.26444002159906","0.927778039314162","1.40697150043247","1.24394068545138","1.22102575319826","0.796328220961159",0.750815168727144,1,0.78544427003129,1,0.939897967355149,1
