"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"TCF4 (human)",0.605506730067145,0.957617411225659,0.480426697100424,"['MZT2A', 'IRGQ', 'NUDCD2', 'MMRN1', 'RPL21', 'RPL34', 'MGST1', 'TOMM7', 'FAU', 'TBC1D17', 'TMSB10']",0.997467786331646,0,0,11,"TCF4",0.997467786331646,0.00876937438528525,0.00560011284716377,0.789481138919671,0.796735999040095,0.502503880960671,0.974966452457573,0.945709168355617,0.409478561787312,0.797043480075974,NA,0.365408443106749
"SND1 (human)",0.611278236091043,0.956663055254605,0.470872469070649,"['TEF', 'RPS7', 'SNRPE', 'RPL10A']",0.997467786331646,0,0,4,"SND1",0.997467786331646,0.00502530873024459,0.0148249529058175,0.789481138919671,0.796735999040095,0.0469577113877908,0.950505084715365,0.986807664567576,0.740094102048453,0.850003844920546,NA,0.992979544086396
"E2F6 (human)",0.611278236091043,0.956663055254605,0.470872469070649,"['SLC4A2', 'RPL26', 'RPL10A', 'GALNT10']",0.997467786331646,0,0,4,"E2F6",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TFAP2C (human)",0.621324600405625,0.941176470588235,0.447907414253785,"['TXLNA', 'RPS7', 'NDUFS6', 'MIS12', 'SLC4A2']",0.997467786331646,0,0,5,"TFAP2C",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CBEPB (mouse)",0.621962349610331,0.94,0.446383176093255,"['FIS1', 'RPS15A', 'RPS7', 'MMRN1', 'LRRC6', 'SLC4A2']",0.997467786331646,0,0,6,"CBEPB",0.997467786331646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATF2 (human)",0.622171720667663,0.942307692307692,0.447161887672767,"['TIMM8B', 'MIS12', 'NDUFB2', 'LRRC6']",0.997467786331646,0,0,4,"ATF2",0.997467786331646,0.475269419840515,0.657356794557273,NA,NA,NA,0.999031979016365,0.999790090091945,0.714286281885988,0.821802083389357,NA,0.378891360649935
"PCBP1 (human)",0.632881468701042,0.928345626975764,0.424692249129056,"['ADCY9', 'TEF', 'TMUB1', 'GALNT10']",0.997467786331646,0,0,4,"PCBP1",0.997467786331646,0.00903331952938076,0.0208386170132747,0.92473528923451,0.927611182304044,0.294052154287796,0.995463627650532,0.905570303244783,0.996590510992499,0.651505531562032,NA,0.338373941436073
"REL (mouse)",0.632881468701042,0.928345626975764,0.424692249129056,"['GALNT13', 'GLRB', 'TMSB10', 'GALNT10']",0.997467786331646,0,0,4,"REL",0.997467786331646,0.737970856644383,0.212612828130091,NA,NA,NA,0.946033039661953,0.982535415463825,0.8077514164217,0.859408892601487,NA,0.455333950271783
"ELK1 (human)",0.643404297579071,0.914760914760915,0.40339308373278,"['SLC6A6', 'FIS1', 'RPS7', 'ADAMTS17']",0.997467786331646,0,0,4,"ELK1",0.997467786331646,0.171212594496773,0.927267391118494,NA,NA,NA,0.637916554442893,0.532109595615887,NA,NA,NA,NA
"MAPK14 (human)",0.643404297579071,0.914760914760915,0.40339308373278,"['IRGQ', 'SLC4A2', 'PLA2G7', 'GALNT10']",0.997467786331646,0,0,4,"MAPK14",0.997467786331646,1.85161776294249e-06,0.000140158354992573,0.962265497089178,0.963714828919802,0.116516709454392,0.90859864052457,0.939132544414137,0.594930599041404,0.731857704038454,NA,0.796292305929343
