"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"TP53 (human)",0.692730779664363,0.893416927899687,0.327985719662792,"['PLEKHF1', 'MARS2', 'DCUN1D3', 'DCAKD', 'SHISA2', 'MCHR1', 'USP19', 'SYTL3', 'PPCDC', 'TMEM100', 'SVOPL', 'ADAMTS5', 'COL5A1', 'NUPR1']",0.94962776922441,0,0,14,"TP53",0.94962776922441,0.000176135700777095,0.170014588397084,0.336312825012891,0.336275149470189,-0.105945626763611,0.951883844569238,0.530056744306813,NA,NA,NA,NA
"CBEPA (mouse)",0.695828597837235,0.854361370716511,0.309835788432703,"['IFITM3', 'SLC14A1', 'DCUN1D3', 'ZBBX', 'TEX15']",0.94962776922441,0,0,5,"CBEPA",0.94962776922441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A (human)",0.695828597837235,0.854361370716511,0.309835788432703,"['C11ORF95', 'DCAKD', 'SAMD4A', 'ADRA1D', 'SLC26A6']",0.94962776922441,0,0,5,"ZBTB7A",0.94962776922441,2.6214082932651e-06,0.000213041696985505,0.855435553567989,0.853998804882187,0.292281251191198,0.142966414202948,0.971722476181348,0.184114186503812,0.898898033394353,NA,0.787845757961382
"CACYBP (human)",0.703523842897489,0.852987421383648,0.299956021721078,"['PLEKHF1', 'MMRN2', 'RAB3IL1', 'SLC38A3', 'NUDT16L1', 'HGFAC']",0.94962776922441,0,0,6,"CACYBP",0.94962776922441,3.35944013379299e-06,3.19404915935906e-05,0.826794623338911,0.825329580336562,0.0961220062243423,0.0884063495074276,0.0822889318851485,0.681136248476553,0.783264988077183,NA,0.982365551011925
"SP1 (human)",0.703523842897489,0.852987421383648,0.299956021721078,"['C11ORF95', 'SALL1', 'DCAKD', 'SAMD4A', 'AK7', 'SLC5A3']",0.94962776922441,0,0,6,"SP1",0.94962776922441,1.89385903187207e-13,5.21948349402696e-05,0.715210205630728,0.712082065104014,-0.301860768447438,0.0514164193064915,0.66167174480926,NA,NA,NA,NA
"IRF2 (mouse)",0.709332489066752,0.839589397885706,0.288340948771787,"['EPAS1', 'HORMAD1', 'PTGS2', 'FUT2', 'SNX8']",0.94962776922441,0,0,5,"IRF2",0.94962776922441,5.8431951183768e-07,0.000129950726998295,NA,NA,NA,0.078506789186992,0.9091229858746,NA,NA,NA,NA
"KLF5 (human)",0.709711240380101,0.846714378659727,0.290335901044635,"['ANXA2', 'RAB13', 'SAMD4A', 'AK7', 'SLC5A3', 'FERMT3']",0.94962776922441,0,0,6,"KLF5",0.94962776922441,6.72285152568566e-05,0.0161216638732297,0.984519193520372,0.983605629925477,0.0549196780666911,0.338627479054632,0.24992365256942,NA,NA,NA,NA
"ELK1 (human)",0.711377154727662,0.851587301587302,0.290010212712789,"['POPDC2', 'EMX2', 'TTC30B', 'CLNK', 'NR2F2', 'ERG', 'SLC38A3']",0.94962776922441,0,0,7,"ELK1",0.94962776922441,1.96152184176939e-06,0.00184097154398444,0.951036530742386,0.949421640547145,0.112215746015495,0.607277718007482,0.934538556782921,NA,NA,NA,NA
"MZF1 (human)",0.715812369903846,0.840527268027914,0.281019532954972,"['SVOPL', 'EPAS1', 'CHEK2', 'AMPD2', 'CGNL1', 'FERMT3']",0.94962776922441,0,0,6,"MZF1",0.94962776922441,4.14898736397121e-06,0.0727925382569232,NA,NA,NA,0.554460264952924,0.268974579569292,NA,NA,NA,NA
"SP3 (mouse)",0.715928433978121,0.832383557480435,0.278161833222959,"['NPFFR1', 'TMEM98', 'EPAS1', 'NPY1R', 'ADRA1D']",0.94962776922441,0,0,5,"SP3",0.94962776922441,0.000103604629130703,0.00162729263383837,NA,NA,NA,0.00645754609172497,0.167510687664915,NA,NA,NA,NA
