"Symbol","Uniprot","p","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"AHNAK","Q09666",0.300407605050264,"3.57927571802748","4.55737414901718","17828.9386846466","16829.0017889612",0.547817988528442,1,0.0577192109337212
"MAP2","P11137",0.655592817104474,"2.69602575397806","2.89157449339731","14581.8918152548","24081.3036919338",0.783095632673465,1,-0.5016552867097
"DST","Q03001",0.134945710339262,"4.04192304258383","5.01193700372473","4718.25895076047","3198.74414361216",0.364208315001664,1,0.38868158753141
"MYH9","P35579",0.388820093018867,"3.62566127669676","4.53270892731859","5464.61248158435","6266.12640498847",0.615765696342514,1,-0.136865155500769
"GFAP","P14136",0.352472686062373,"3.44777312484791","4.44807501328443","34848.0777746169","84069.6489569519",0.580770093227499,1,-0.880647630961787
"PYGB","P11216",0.166691432024818,"4.16266943407674","5.63100256011997","5756.18001889812","6781.25697683613",0.413180710754244,1,-0.163888416046656
"NBEA","Q8NFP9",0.926138313416282,"1.25340239954516","1.28669830684116","431.165468082483","560.228323068628",0.960579327994997,1,-0.261852487308189
"KIF5C","O60282",0.368679599410687,"2.61020948053054","1.82755131944189","610.062067197773","1272.52165717506",0.597023093239242,1,-0.735195066175086
"CTNND2","Q9UQB3",0.154476239390642,"2.2079656920739","3.61361815317187","1088.1042646051","1377.28872913023",0.396641458873519,1,-0.235679902319188
"TPR","P12270",0.339245959634407,"5.54046439421588","5.3690631836561","164.194332130476","651.478477013962",0.574049904729682,1,-1.37819368163226
"RANBP2","P49792",0.179561806114431,"3.92676404513625","4.96442690579323","553.835964163907","654.080551802401",0.431804343139839,1,-0.166361962430262
"HSPA1B","P0DMV9",0.161726176658922,"4.16549804605562","5.03167938191108","9358.92521354224","6212.57001446847",0.405932703413894,1,0.409755794989493
"CASKIN1","Q8WXD9",0.319314935896539,"1.48041215407414","2.39629419649184","1698.76275470097","1445.35131433056",0.561785389556294,1,0.161547778622391
"KALRN","O60229",0.0203005916911243,"0.693552327881636","1.82739135705523","634.216205509304","338.268927797335",0.162890146644632,1,0.628548690960584
"CIT","O14578",0.326339530782444,"4.29813452555519","5.07207349111633","2161.70385228544","2421.13240202869",0.566206605251568,1,-0.113338634200669
"SNAP25","P60880",0.56460275856371,"1.87708597772606","2.47466676658429","4286.77445381225","5101.15821073734",0.730491197935522,1,-0.173933039520034
