"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"SPTAN1","Q13813","4.62059565679356","6989.47737327567","0.455455953727569","0.00665860519915038","-6960.05132601371","-640.686733737591",0.724390967316756,1
"PLEC","Q15149","4.67127386945579","13209.3870035402","0.0907534860616526","0.0211231521617772","-13198.2236566361","-542.952409249692",0.33914286948147,1
"ANK2","Q01484","5.4178307805608","3750.36961677621","0.399668115005823","0.00782796217509235","-2855.25080849297","2431.62807251405",0.685471170029741,1
"DYNC1H1","Q14204","0.0289871946239239","4118.64229734905","0.653563644374559","0.00668451342341107","119.3711671352","4116.9120585664",0.835119783486394,1
"SPTBN1","Q01082","4.41798206288899","5902.73377022242","0.429158802010424","0.0075151074443042","-5648.76514798096","-1712.81004932824",0.706169461010809,1
"SYNE1","Q8NF91","0.363560794121581","657.666638559261","0.780285523058601","0.00321737782695086","233.869235149103","614.679256461947",0.901678656784961,1
"MACF1","Q9UPN3","4.2717183943026","1061.63343669867","0.413595422995375","0.00454524590418501","-960.211168262211","-452.835584137489",0.695114502185849,1
"AHNAK","Q09666","4.55737414901718","16829.0017889612","0.00849959913892664","0.0572475588256416","-16627.2092842585","-2598.30957168793",0.0944562198005809,1
"MAP1B","P46821","3.58747594922013","5797.95104147339","0.695134377601205","0.00914667752722484","-2500.39528553594","-5231.08590021154",0.857806252144156,1
"MAP2","P11137","2.89157449339732","24081.3036919339","0.000231883364245386","0.04695427144458","5958.23360226846","-23332.5660792796",0.0109814339891724,1
"DST","Q03001","5.01193700372473","3198.74414361216","0.00157347519145439","0.017804954480295","-3056.30393823583","943.912248790779",0.0343094041422205,1
"BSN","Q9UPA5","1.16830501931825","3309.32430854932","0.0713010939624549","0.0177298714440555","3044.86950446995","1296.30130753015",0.299219521064781,1
"MAP1A","P78559","4.47826608887603","2089.64101928026","0.806396004044967","0.0062803285044586","-2032.63184210049","-484.775601632158",0.913214257334402,1
"CLTC","Q00610","6.11818156905569","1178.08503843463","0.938263754275629","0.00234005835986672","-193.507557683158","1162.08398272372",0.973789449961413,1
"TLN2","Q9Y4G6","5.43863563053752","842.018069287898","0.807403308883049","0.00432501444972088","-629.553454009663","559.157292317486",0.91389754819878,1
"SPTBN2","O15020","4.91768679792841","376.95008108684","0.900705332133547","0.00209758898560342","-369.034248209917","76.8445657123268",0.95419081687792,1
"PCLO","Q9Y6V0","1.08959724580619","1347.15247619813","0.357566030176833","0.00999534493032379","1194.17061510606","623.519314972643",0.656335672962596,1
"AKAP12","Q02952","4.23600429683423","4648.16111716917","0.0685206896414362","0.0266370993159028","-4130.62835216102","-2131.50444228645",0.293703054776842,1
"ANK3","Q12955","5.36567831272021","1208.33734343368","0.416377769439484","0.010135149974664","-959.527194823463","734.429505079",0.696398949143863,1
"MYH10","P35580","3.26384520408083","811.559815819292","0.863372836588904","0.0033108493706672","-98.9683019625948","-805.502706301651",0.9379112116093,1
"RYR2","Q92736","5.57139746270819","284.213446034219","0.898812973408086","0.00284026868823805","-185.644972011012","215.205081895564",0.953578753557651,1
"MYH9","P35579","4.53270892731858","6266.12640498847","0.0088026088807861","0.0290840223321061","-6165.24754970648","-1119.84944261808",0.0963355543339812,1
"TLN1","Q9Y490","4.83061703805138","2768.24687122105","0.0268903392108834","0.0251761088754521","-2748.92229421266","326.522526643608",0.180901808602526,1
"NEFM","P07197","4.75349182883214","19481.8247691585","0.572051796653385","0.0307177593166227","-19465.3703584729","800.533037220475",0.791152697176912,1
"DMXL2","Q8TDJ6","1.22683861125684","618.083773867124","0.676209761718541","0.00492169207478937","581.881024017932","208.427506355733",0.848002419847325,1
"MYO5A","Q9Y4I1","5.95098204014744","1295.21929929233","0.529561683456655","0.00651850063407393","-422.40549754788","1224.40460179658",0.769371513954052,1
"LRP1","Q07954","2.18574471574419","622.182933766718","0.550775826544174","0.00681802301361306","508.201025750889","-358.947517746404",0.779889637109229,1
"FLNA","P21333","3.28169476525837","4844.17136506616","0.581690665681706","0.0400093179273295","-676.460563425279","-4796.70692457412",0.796225366422009,1
"SYN1","P17600","6.20535894400428","4179.05188699596","0.489184794205793","0.0123839876936256","-324.912182210938","4166.40213470272",0.746580074594544,1
"FASN","P49327","1.40126458870307","2208.24396627221","0.136274549291339","0.0158305624872399","2176.58631689115","372.576729949453",0.415145936905467,1
"ATP1A1","P05023","4.22094976004805","785.963642105563","0.949960369207274","0.00258446480213624","-692.948468891213","-370.892526445554",0.97924735901109,1
"ATP1A3","P13637","2.00315424874455","2964.30300373863","0.399627780065644","0.00923829873878829","2691.528656339","-1242.08123328545",0.685471170029741,1
"DNM1","Q05193","0.338033773176677","3612.78428928332","0.315479996620863","0.00963846930633511","1198.11769445347","3408.33160228431",0.620010234807702,1
"PRKDC","P78527","5.08896983348301","822.002052037594","0.231189474429137","0.00819840538107483","-764.402260948047","302.285555413303",0.538454412276983,1
"GFAP","P14136","4.44807501328443","84069.6489569519","0.00155157424297836","0.117403925070768","-81150.0741640506","-21962.9537839112",0.0339607874919689,1
"ATP1A2","P50993","2.66585988396115","3902.51971013601","0.719186826635271","0.00662805854104599","1787.31488900396","-3469.17361565328",0.869704523839298,1
"HUWE1","Q7Z6Z7","4.63751699504377","258.123769419214","0.712918168822688","0.00353198208167199","-257.400610393968","-19.308187589631",0.867574525502269,1
"AHNAK2","Q8IVF2","1.11848170102269","820.876011348228","0.410414647073228","0.0164819312616565","738.327002988585","358.762682932422",0.692252024548302,1
"MAP6","Q96JE9","0.541109896308273","1276.99529879844","0.725299676483715","0.00537890387034989","657.764497919208","1094.56057778014",0.872765157286911,1
"CNTN1","Q12860","0.0442734363635285","2072.79564649965","0.274317422672156","0.00911672534363574","91.7398088599189","2070.7644964163",0.58137811567304,1
"UBR4","Q5T4S7","5.08490013268302","76.8195936041115","0.955219427521106","0.00105089320523102","-71.5510243742526","27.9589140078071",0.981663640316756,1
"TUBB4B","P68371","0.317981527125855","1814.60407176392","0.960782816932277","0.00221986586019641","567.335809097066","1723.63511712263",0.983281898498089,1
"TUBB4A","P04350","6.2594447484418","1353.5059926391","0.576878974610489","0.0131254412304598","-32.1299701708636","1353.1245830029",0.793894383164206,1
"TUBB2A","Q13885","1.66201955649054","1186.30348575248","0.794552982917787","0.00669268732046487","1181.37089020521","-108.068404652934",0.908203814499907,1
"TUBB2B","Q9BVA1","3.76010567060075","274.942676417173","0.0710058501547143","0.0494970078042548","-159.41844357246","-224.007221232648",0.299214504336131,1
