"Symbol","Uniprot","p","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"MAP2","P11137",0.655592817104474,"2.69602575397806","2.89157449339731","14581.8918152548","24081.3036919338",0.741378671923667,1,-0.5016552867097
"DST","Q03001",0.134945710339262,"4.04192304258383","5.01193700372473","4718.25895076047","3198.74414361216",0.258371664917855,1,0.38868158753141
"RTN4","Q9NQC3",0.814601566630743,"2.37600475863596","2.3947441211262","4564.5526314061","3300.45263604501",0.864138148385315,1,0.324260888048256
"UBA1","P22314",0.00895877390868586,"3.54244149398405","3.54095355751809","7308.15458156249","140.639900874671",0.0505339222873179,1,3.95054334052944
"LRPPRC","P42704",0.178265284956408,"1.67684024805285","1.84324052681941","7347.5802636954","3002.71903753049",0.316244629809673,1,0.894852819169344
"CKAP5","Q14008",0.00216376584749693,"3.60158796909957","5.92934992061117","2410.09683836811","1287.31492030989",0.0249257548482539,1,0.627108336583836
"CEP170B","Q9Y4F5",0.0648721750080401,"0.763890411436377","1.80090451767549","1490.64173429332","547.223012410253",0.162958903620197,1,1.00210558010663
"KIF5C","O60282",0.368679599410687,"2.61020948053054","1.82755131944189","610.062067197773","1272.52165717506",0.50311356166694,1,-0.735195066175086
"CAND1","Q86VP6",0.000536701934946934,"3.46755890515238","5.36561627173508","7085.77509254423","1506.48310884379",0.0156229784311025,0.505573222720012,1.54831139890712
"PGK1","P00558",0.00544922192958525,"3.68225268903237","5.27551519486988","16555.3723864897","6862.59669624581",0.037714532063626,1,0.880624767380727
"RANBP2","P49792",0.179561806114431,"3.92676404513625","4.96442690579323","553.835964163907","654.080551802401",0.317349383414248,1,-0.166361962430262
"SGIP1","Q9BQI5",0.140038792850988,"1.1724573239209","1.14310653137231","2608.62008205561","884.961320164018",0.26595912918579,1,1.08103271828671
"HSPA1B","P0DMV9",0.161726176658922,"4.16549804605562","5.03167938191108","9358.92521354224","6212.57001446847",0.292973189255201,1,0.409755794989493
"CASKIN1","Q8WXD9",0.319314935896539,"1.48041215407414","2.39629419649184","1698.76275470097","1445.35131433056",0.461341517813711,1,0.161547778622391
"KALRN","O60229",0.0203005916911243,"0.693552327881636","1.82739135705523","634.216205509304","338.268927797335",0.0793516998060033,1,0.628548690960584
"CIT","O14578",0.326339530782444,"4.29813452555519","5.07207349111633","2161.70385228544","2421.13240202869",0.46719124315663,1,-0.113338634200669
"DHX9","Q08211",0.011068738431245,"3.56565714653047","5.28787813296693","1771.89077025434","869.113785376063",0.0576063624432751,1,0.712328432210334
"NPEPPS","P55786",0.00017794823735543,"3.56040038801758","5.92675823885066","7070.71690697035","2016.52166682867",0.0110193549244098,0.167627239588815,1.25458779599297
"SNAP25","P60880",0.56460275856371,"1.87708597772606","2.47466676658429","4286.77445381225","5101.15821073734",0.672384068984848,1,-0.173933039520034
"CLIP1","P30622",0.00223910059298522,"3.2759687657044","4.73407893386386","2227.61419815874","813.27699199756",0.0251099137927628,1,1.0076146703566
"CCT2","P78371",0.00190002868165043,"3.68540476760597","5.8834003702534","2999.72096790709","677.781576535831",0.0234864510193299,1,1.48744947509237
"GDI2","P50395",0.00100100038095793,"3.33434476800795","5.07380239299645","3971.05147562065","523.558073257181",0.0197790085015333,0.94294235886237,2.02613823709683
"DCLK1","O15075",0.382349861696799,"2.8154695137144","2.49002837185137","807.972636034774","2177.79220125346",0.515269770698691,1,-0.991538699230982
"LMO7","Q8WWI1",0.0956475583341657,"5.38034236115767","3.26529481141511","263.320669660717","1219.99175686678",0.208564814700889,1,-1.53322681529731
"ADD3","Q9UEY8",0.0691592944061525,"3.37627099591003","4.44461091974668","3255.6511902179","2012.95173978676",0.169656394090093,1,0.480790141993764
"SORBS1","Q9BX66",0.0873512840914949,"3.84365671040249","3.91164129168575","677.536548599324","2483.10099480189",0.199237069283749,1,-1.29879996161751
"MSN","P26038",0.58199032997595,"4.13748564813045","4.6667389235399","2217.66059707997","2401.54511571764",0.687077434019498,1,-0.0796594732572291
"ARHGAP35","Q9NRY4",0.429220256679698,"0.835821114135397","1.60093189195057","677.427118780802","515.808240870148",0.557649721347798,1,0.272566903021328
"ARHGEF2","Q92974",0.0565322798942631,"1.22970423849512","2.21479694375969","757.186956440527","1398.11771219639",0.150859511785824,1,-0.613271926531525
"TCP1","P17987",0.000466479440876209,"3.42435404199115","0.0150682856962775","3915.10909138721","919.948843117742",0.0151525390794962,0.439423633305389,1.44828040982401
"OGT","O15294",0.482615040216205,"0.930218084960543","1.26383158864479","2052.16800973853","1286.31663103216",0.596241440429549,1,0.467113990671616
"CCT4","P50991",0.000360540782342444,"3.15879778655779","5.68727911022728","4125.19068938092","610.174890497296",0.0141668084946611,0.339629416966582,1.91112190362063
"SIPA1L1","O43166",0.0419321775648842,"0.639600621612509","2.60810955166657","394.251776618496","643.208509760236",0.123354920153704,1,-0.489479215968211
"DDX1","Q92499",0.0224176016488011,"3.75007843981531","5.14484050715911","1593.92439237883","643.323214078816",0.0826671498896019,1,0.907307161893636
"CCT8","P50990",0.00295077605674832,"3.07092390310611","6.0415033418297","4164.0829108728","618.136028922686",0.0287888435188633,1,1.90754279612728
"DOCK9","Q9BZ29",0.00151092081238695,"3.86057382254452","0.74631410345136","630.651461136184","219.082644467426",0.0228869982555345,1,1.0573043197769
"RELCH","Q9P260",0.634043727443628,"0.74555464820708","1.31693160423782","467.644167639407","457.30079977937",0.72572198208007,1,0.0223663015880889
"APC","P25054",0.202917500643517,"1.98193567938933","3.1677325435025","150.654452157791","245.95823869126",0.346283126098176,1,-0.490172941975003
"NCOA7","Q8NI08",0.00841068973629765,"3.93283685185946","6.02366514649343","1154.59318112952","653.748246259473",0.0492103710036794,1,0.568781003990477
"LMNB2","Q03252",0.274732912161939,"4.46494961892095","5.31226477080926","1237.41979367754","2063.85623342268",0.421495770776134,1,-0.511547790673487
"KIAA1107","Q9UPP5",0.341139513269878,"2.14712665850982","2.75126537926737","608.013668263207","1640.73818874824",0.479631972388396,1,-0.992704172227681
