"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"SPTAN1","Q13813","2.98282031453875","23121.9106687125","0.476001565065297","0.0219711453748897","3655.71527013513","-22831.0862386269",0.821802083389357,1
"PLEC","Q15149","3.46570590861809","35743.7972286103","0.0324429923687305","0.0553579520056869","-11383.267622559","-33882.7427838009",0.702032181770732,1
"ANK2","Q01484","0.75761985731903","5585.92303355232","0.779636345434807","0.0114222367825121","3838.61436956277","4058.0261037303",0.924302594936669,1
"DYNC1H1","Q14204","3.34402386840973","25602.1785877155","0.00828449468387935","0.0416653191580178","-5147.35624674519","-25079.3993569697",0.634573841963653,1
"SPTBN1","Q01082","2.67748889407351","14355.4467194859","0.590854078860842","0.0181280958988637","6425.80720217958","-12836.9720852083",0.857578413367132,1
"SYNE1","Q8NF91","3.22973532947384","6285.40757692685","0.176107324267757","0.0306304594815488","-553.295555304461","-6261.00730206967",0.760418850715161,1
"MACF1","Q9UPN3","3.0982158923276","3170.63113884423","0.434266507461995","0.0135305080962013","137.488585370099","-3167.6487664357",0.813323076194531,1
"AHNAK","Q09666","3.4861911937617","21994.2248598971","0.212258042307802","0.074095984469185","-7430.06366116348","-20701.209654964",0.765226432005424,1
"MAP1B","P46821","2.7060389744342","26528.0581252719","0.0174362012699065","0.0420107478850701","11192.5180447639","-24051.3078171528",0.651505531562032,1
"MAP2","P11137","2.22903119301381","12790.8233164009","0.555285089505243","0.0250935193582354","10118.4779602187","-7824.42105717448",0.845838672228125,1
"DST","Q03001","3.76131829548245","5257.82585968698","0.153546424306344","0.0289980550673356","-3053.80753572544","-4280.06919401306",0.747950401575455,1
"BSN","Q9UPA5","0.760813684178305","8758.07513348386","0.0390872131374817","0.0469394001525261","6038.78918345862","6343.2566747288",0.702032181770732,1
"MAP1A","P78559","3.43736794877358","13866.5108212076","0.0508026483961431","0.0414392296582901","-4041.83229969856","-13264.3776339405",0.702032181770732,1
"CLTC","Q00610","0.626817285574696","6889.86421814633","0.797589757403323","0.013618702577943","4041.38805100836","5580.09064134804",0.931037700082098,1
"TLN2","Q9Y4G6","2.85056458466395","3746.15023493963","0.50091871956532","0.0199121546417781","1074.90991376674","-3588.62233454905",0.828427550272192,1
"SPTBN2","O15020","2.76069400244929","5410.43796141772","0.200806845355628","0.029870913843423","2011.3566342717","-5022.67691815044",0.765226432005424,1
"PCLO","Q9Y6V0","1.31831494081223","3957.6209411841","0.127868527026014","0.029176330225966","3832.14668536332","988.64315906088",0.737452778377744,1
"AKAP12","Q02952","3.63153729195102","9131.86258391289","0.0974036473549525","0.0512191596796534","-4297.24486494474","-8057.58033296437",0.727986052812118,1
