"Symbol","Uniprot","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"SPTAN1","Q13813","0.684303140970332","1050569.61620196","1048305.1393889",0.855680067777592,1
"PLEC","Q15149","0.0137087452203171","626714.639654966","646214.120212799",0.128595600422038,1
"ANK2","Q01484","0.0915536003658789","479032.498560871","485825.018383527",0.319517567333174,1
"DYNC1H1","Q14204","0.751533148001707","615729.888967439","616817.167352264",0.890868346620187,1
"SPTBN1","Q01082","0.938529548344636","786834.809069134","786740.44359231",0.974270389262508,1
"SYNE1","Q8NF91","0.387302227889013","204174.868831393","205719.680434911",0.639338714094946,1
"MACF1","Q9UPN3","0.709215141343529","233640.035755803","233787.977486668",0.870122015144973,1
"AHNAK","Q09666","0.66377509212927","295805.735886273","293361.274058839",0.842548160794127,1
"MAP1B","P46821","0.161142879634311","636206.226807865","626445.50146441",0.41245770939685,1
"MAP2","P11137","0.433895110568128","513813.28867523","508349.508079092",0.679586368807246,1
"DST","Q03001","0.242554041204552","179541.57951594","181101.144711896",0.507991765739043,1
"BSN","Q9UPA5","0.392146027283068","186690.298450525","185207.5246081",0.643705954230096,1
"MAP1A","P78559","0.419575925383626","332827.055740325","335814.99267593",0.668140672701784,1
"CLTC","Q00610","0.963966166999547","503543.733408071","504130.926989312",0.985662343487891,1
"TLN2","Q9Y4G6","6.99071128715016e-05","194957.692913822","187542.046724348",0.00780363114254162,0.546254179977913
"SPTBN2","O15020","0.752364295442838","179805.537937096","180301.071962936",0.891400407822204,1
"PCLO","Q9Y6V0","0.663511815643422","134888.055872772","134450.008227472",0.842519540137189,1
"AKAP12","Q02952","0.167439431573591","174438.903055459","178502.16281249",0.420157905689159,1
"ANK3","Q12955","0.692996794136805","119238.301468597","118858.47669382",0.859480542232033,1
"MYH10","P35580","0.028400642037018","245084.117514109","240255.666342549",0.184800247609364,1
"RYR2","Q92736","0.293667310274774","100189.758002539","99430.741334798",0.557322557821921,1
"MYH9","P35579","0.064773660551348","216099.510606083","209884.324689065",0.270790496517193,1
"TLN1","Q9Y490","0.197738951444637","110411.320099818","108114.172111728",0.454851977211773,1
"NEFM","P07197","0.272039894344613","641151.066804555","667443.54383882",0.532361566343302,1
"DMXL2","Q8TDJ6","0.210362146138661","125653.84821445","124334.744857754",0.46978274076236,1
"MYO5A","Q9Y4I1","0.326612166301451","199376.890441002","197517.109437444",0.586296225012529,1
"LRP1","Q07954","0.00390698927218068","91351.9764261599","93412.1622468052",0.0709002750425865,1
"FLNA","P21333","0.0240493363474314","123552.968970268","105556.344248598",0.169597965765129,1
"SYN1","P17600","0.136936530532891","337014.599863677","345590.212597998",0.383770982370765,1
"FASN","P49327","0.0226889434525085","138806.843166771","142767.581929412",0.164789900383314,1
"ATP1A1","P05023","0.227985385659821","305661.854715706","301997.474294663",0.491108244411775,1
"ATP1A3","P13637","0.469918010453306","321614.372666334","319375.08257403",0.710169867127774,1
"DNM1","Q05193","0.0317975924578924","374444.601434212","382438.635364968",0.19454909208196,1
"PRKDC","P78527","0.802326463277148","100359.545107568","100731.581215162",0.916128304842271,1
"GFAP","P14136","0.00271157513006003","730150.350443983","848659.092253152",0.0585082404586329,1
"ATP1A2","P50993","0.0258120528890313","589609.168768271","576612.537608993",0.176770711020938,1
"HUWE1","Q7Z6Z7","0.527747496097721","73177.3466552748","73476.8392319208",0.755630367303909,1
"AHNAK2","Q8IVF2","0.198666804576817","49735.2739451227","48480.9873825733",0.455333950271783,1
"MAP6","Q96JE9","0.386033835009369","237850.236047173","240261.28289298",0.638946915222031,1
"CNTN1","Q12860","0.902890141193019","227477.13794514","227912.416319073",0.96041159315032,1
"UBR4","Q5T4S7","0.199753007796425","73142.9330097526","72653.4107496922",0.455994742308287,1
"TUBB4B","P68371","0.188000320809878","816307.038649343","829642.237415907",0.444162394125921,1
"TUBB4A","P04350","0.0385975023640977","102803.432356143","106276.348321441",0.211353106848675,1
"TUBB2A","Q13885","0.954569080247635","177712.128184873","176936.15076771",0.982365551011925,1
"TUBB2B","Q9BVA1","0.388582654498361","5592.79263849724","5773.44454846749",0.640275777355465,1
"SPTBN4","Q9H254","0.0843645155007652","57371.4849085418","58137.2402086103",0.309494987851164,1
"VCP","P55072","0.536138250603685","151726.358129907","152552.144470197",0.761374898788087,1
"RTN4","Q9NQC3","0.00240487710336761","131591.386316087","127190.540070059",0.0555967742180903,1
"DPYSL2","Q16555","0.0490930965905146","546958.579483053","561192.828146331",0.236682450749627,1
"MYO18A","Q92614","0.0831856402004675","92676.8375046342","93719.5470736478",0.306320731633578,1
"TUBB","P07437","0.43723400133887","56293.510966661","57109.1481789295",0.682403614577074,1
"EPB41L3","Q9Y2J2","0.0935565568977454","271964.161353264","268441.003192837",0.323366277978015,1
"TUBA1A","Q71U36","0.0845770794578091","682625.6742132","698867.199720827",0.310054096513232,1
"MYH14","Q7Z406","0.721994182333464","49291.582020423","49515.2501722241",0.877669965891986,1
"NEFL","P07196","0.140162670947502","322918.890007328","341264.862917677",0.387363846323479,1
"ACTN1","P12814","0.481010564948053","136574.313579391","134673.872564254",0.719490152087306,1
"VPS13C","Q709C8","0.377201576264725","49802.7023984091","49998.0893837646",0.632109557639759,1
"ATP5F1B","P06576","0.409208423230355","261016.395332016","264567.707003506",0.657256859017882,1
"UBA1","P22314","0.0193375733291258","145208.315556822","149381.92559536",0.150703467047821,1
"DCTN1","Q14203","0.0559712950974555","131309.876695353","133240.428968763",0.252663027089265,1
"SPTB","P11277","0.413450771116211","50385.4454682294","51481.1098192948",0.660810866333007,1
"PYGB","P11216","0.208233031365057","213433.77124849","217407.898724114",0.46715467535205,1
"GAPDH","P04406","0.0290721689740694","589401.653198025","606637.870024535",0.187853606510443,1
"ACO2","Q99798","0.426922419439957","211755.616097982","210300.185848454",0.673389540876832,1
"ADD2","P35612","0.841159340874894","158238.812551722","157749.730470524",0.933531531360594,1
"KIF21A","Q7Z4S6","0.552839319370842","95079.6829813016","95459.8669940231",0.77283168580207,1
"ATP2B2","Q01814","0.138018598083298","160206.607920572","157859.176074058",0.384508575211,1
"HSPG2","P98160","0.0455218537799002","53662.5817984488","49758.4234628312",0.229639795406828,1
"EPB41L1","Q9H4G0","0.874246723953511","146797.830875762","147210.157860573",0.949459888946871,1
"ACTN4","O43707","0.00015151602504838","159932.189360134","153148.788925939",0.0111693039596985,1
"TUBB3","Q13509","0.495096211274003","133535.122594707","134353.908203964",0.731596405993771,1
"ITPR1","Q14643","0.370292425565408","74982.3916433584","78256.7601891063",0.626698075236755,1
"TNR","Q92752","0.425437185235559","160172.523518063","159092.241097732",0.672268183100234,1
"HSPA4","P34932","0.514672928770525","137538.936430963","136411.277552807",0.745302866088377,1
"TUBA4A","P68366","0.523608075535686","70329.5947571713","71825.0513741829",0.752385712069851,1
"STXBP1","P61764","0.21748974670787","420695.040092823","413992.606284345",0.478220535653995,1
"LRPPRC","P42704","0.000336296117803257","122438.249218643","116107.305644533",0.0190372730463174,1
"HSP90AA1","P07900","0.828141186566242","184078.442475846","185198.609195222",0.92682544139625,1
"MYH11","P35749","0.0167759477066536","31613.3739399558","22786.2692478668",0.139308310827898,1
"OXR1","Q8N573","0.132887296627249","112130.763645047","114079.402187281",0.377868026144586,1
"HSPD1","P10809","0.0404106532378357","303003.092065949","297172.803963512",0.217321985134514,1
"ATP2A2","P16615","0.466300606607697","174851.045182793","173542.620584728",0.706485563428661,1
"NFASC","O94856","0.769772979637863","172155.707468411","171515.381686085",0.900315231685415,1
"ATP2B4","P23634","0.717442114873865","202044.854350938","203099.439477968",0.875192821940336,1
"AP2B1","P63010","0.0303175344998435","259845.511290877","254213.371934819",0.190741718664877,1
"FLNB","O75369","0.605538339759364","38859.1208722711","39081.9846382874",0.806643633196292,1
"AP2A1","O95782","0.0234643060430379","181317.126344751","177558.969025002",0.167749393797162,1
"PKM","P14618","0.113733090444071","495982.397029905","504786.142586307",0.352243507225514,1
"C3","P01024","0.396350860704576","76592.2519460321","78692.4207735844",0.646954926973595,1
"CKB","P12277","0.052640708164631","365389.048627874","373073.112297667",0.244829959464133,1
"ALDOA","P04075","0.0475797261350034","412410.404288597","423210.690579947",0.233667972775526,1
"PI4KA","P42356","0.0100557859212745","94762.809120197","92657.4533760921",0.111772277651265,1
"HSPH1","Q92598","0.635951475775201","120378.289238209","119561.364381663",0.823593658554999,1
"HK1","P19367","0.836327915791677","329537.918110988","329302.250984436",0.931584652030815,1
"GDI1","P31150","0.412005689171444","235963.14388423","238217.906249231",0.659622620913919,1
"HSP90AB1","P08238","0.565654828158666","302887.830302155","300805.604400305",0.781199509938462,1
"ATP2B1","P20020","0.250956472539368","103312.299833359","102288.355589706",0.513633979285034,1
"CKAP5","Q14008","0.92027759965397","94108.2208805941","94044.2088948125",0.966231006466005,1
"TUBA1C","Q9BQE3","0.46630354228327","5594.52888549699","5851.95794661838",0.706485563428661,1
"CTNNA2","P26232","0.0552817998713727","98575.7604349308","96924.838968544",0.25074104654962,1
"NRCAM","Q92823","0.00635184616439441","113658.251646449","110405.730592883",0.0900786314493247,1
"HTT","P42858","0.687500551630208","40996.4252005709","40896.7691788748",0.857345884206582,1
"CADPS","Q9ULU8","0.15835799065381","101402.030775382","99785.8979604874",0.409873911549808,1
"PFKP","Q01813","0.304287357741563","123439.142176614","124938.771290413",0.566775118102472,1
"ALB","P02768","0.997134239704503","319540.166024562","312262.701802566",0.999299068752306,1
"BASP1","P80723","0.830859861361632","341449.555482227","341582.157880126",0.927685014996356,1
"ATP6V1B2","P21281","0.502973584098336","150225.42736259","150972.682443442",0.737241715652673,1
"NBEA","Q8NFP9","0.804812654240385","44306.6376959359","44341.476016855",0.916301771894531,1
"SYNJ1","O43426","0.335251314798578","143739.890917481","142330.325985683",0.593892199048927,1
"NCAM1","P13591","0.946691539092793","315734.491830499","315923.224087376",0.978627819350587,1
"CEP170B","Q9Y4F5","0.537884013051525","48472.6060817932","48203.899834237",0.761693671254914,1
"PLCB1","Q9NQ66","0.0891843802453209","116898.979209032","113688.425810897",0.316337310519899,1
"ENO1","P06733","0.0821945193008929","394599.839578918","404926.871347278",0.305115426991533,1
"HSPA8","P11142","0.796906452771276","399578.480559705","401176.909893758",0.91371861873106,1
"NDUFS1","P28331","0.823056504271348","147007.718181584","146422.421551944",0.924577849967843,1
"CLASP2","O75122","0.102471139641565","66707.1106166544","65975.5964326694",0.336432556789575,1
"ACTN2","P35609","0.0225272654876144","74591.2918099444","71617.5724725264",0.164538890797043,1
"IMMT","Q16891","0.237382411740635","180160.709403901","178103.820353853",0.502412287470564,1
"NSF","P46459","0.762436131429542","343406.162015968","344751.864158572",0.896088379030292,1
"OGDH","Q02218","0.988252932159265","94682.922420621","94786.7136826442",0.995001728113967,1
"OPA1","O60313","0.0300429200278026","118999.012141201","116508.488605526",0.190671667367504,1
"EPRS1","P07814","0.0310830403721858","63163.7508976323","62014.1115665273",0.192638810855122,1
"APOB","P04114","0.806696436652787","23179.785926658","23477.5568631279",0.916876502691619,1
"NUMA1","Q14980","0.415005121248383","42537.3664395469","43532.705993137",0.663023925053131,1
"EPB41L2","O43491","0.695724947060277","93231.3013680229","92748.609484309",0.860850442758496,1
"HSPA9","P38646","0.0900478525115664","163809.406732432","160993.995514227",0.317129258033796,1
"VPS13A","Q96RL7","0.822828532075731","49376.2891366124","49492.1527360955",0.924454658467255,1
"SYN2","Q92777","0.0502224247226679","118453.439810662","123342.283333314",0.23924919464357,1
"ROCK2","O75116","0.0478450527313334","100475.63841924","98982.1768070495",0.233952456402293,1
