"Symbol","Uniprot","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"KIF1A","Q12756","0.161290683865236","60547.26730858","59818.7298464142",0.412545140334846,1
"ACACA","Q13085","0.881670547455924","37263.1431389648","37255.555178341",0.952211151734672,1
"ITSN1","Q15811","0.241165272438864","68043.9004373834","68686.0385245505",0.506712944027234,1
"SBF1","O95248","0.777407283374502","54938.1339132293","55036.7190628066",0.904309863361937,1
"ADD1","P35611","0.0407281853384776","120498.709288878","122660.469967684",0.218173314790673,1
"EEA1","Q15075","0.000228126857506978","98127.3595879836","95474.2152487239",0.0151808869920911,1
"VIM","P08670","0.0322061842208705","172295.294358428","150134.199096891",0.195539334500297,1
"SRCIN1","Q9C0H9","0.0102493605790956","81600.5639854973","83081.9811515279",0.111855451906499,1
"USP9X","Q93008","0.344047440160311","73374.0182848707","73050.6397286969",0.603022354578377,1
"GAP43","P17677","0.119877327481524","247034.533441039","240073.06578421",0.360528578385267,1
"HECTD4","Q9Y4D8","0.889959596260353","29525.2928693205","29490.303635324",0.955560764356261,1
"A2M","P01023","0.675165195460525","75261.0961680214","75418.5867696397",0.849775919560363,1
"PC","P11498","0.467729975977082","76822.9874275291","76338.6018876958",0.708028289865346,1
"VCL","P18206","0.00205541181470308","103417.831724525","95015.5069926144",0.0514192537807627,1
"KIF5C","O60282","0.0099820025394127","54981.0088001906","53632.8459379103",0.111587078459186,1
"ATP2B3","Q16720","0.399168273175245","54810.5794638327","55314.2145962387",0.648731465597206,1
"SEPTIN7","Q16181","0.0399825322807845","183227.49273295","179305.206718519",0.21594978690159,1
"WDR7","Q9Y4E6","0.873494841787242","58356.4525017459","58218.8605237696",0.949171004550898,1
"ALDOC","P09972","0.170142988953496","188797.751712987","193293.008634462",0.423541674317495,1
"TRIO","O75962","0.836100884710919","46808.2396760292","46808.0684645893",0.931464544216014,1
"NEFH","P12036","0.0304757787682887","116874.891606071","128830.869327695",0.191444683596426,1
"DNM1L","O00429","0.0414054103449499","148585.850434888","145505.033997229",0.219439568281367,1
"ANXA6","P08133","0.0714205408741408","213750.138617773","208710.133936168",0.284010232259815,1
"KTN1","Q86UP2","0.0110781299088551","74596.4115556238","72631.1973768976",0.116193969272206,1
"ATP6V1A","P38606","0.549789607518764","211165.897001927","209908.380406512",0.770731251013926,1
"ENO2","P09104","0.118408825021618","161047.799467838","167569.917967943",0.358622697177877,1
"AGL","P35573","0.344947976019252","68626.3333904398","67670.1357318277",0.603778423522414,1
"UTRN","P46939","0.837082134539653","25587.2859126308","25674.1729943529",0.931939904453985,1
"ALDH1L1","O75891","0.955881030601438","103409.443670097","103474.548373887",0.982365551011925,1
"SACS","Q9NZJ4","0.07526660004848","28186.7276110264","28756.1536024874",0.293230450032107,1
"DNM3","Q9UQ16","0.396836812386708","80461.2165545636","79883.8290198126",0.647095753754119,1
"MADD","Q8WXG6","0.682771302820123","52116.7740067826","51841.8346327869",0.854399882614597,1
"ATP5F1A","P25705","0.925768059868905","441128.451268134","441718.808989701",0.967946751783783,1
"HSPA4L","O95757","0.922226237532571","113028.845229058","113132.53441314",0.966775004773315,1
"CAND1","Q86VP6","0.654335092136557","127686.137034781","128249.855868866",0.835863071759859,1
"SHANK3","Q9BYB0","0.117846599149567","54681.7532939091","56080.353819984",0.357474117140806,1
"PTPRD","P23468","0.47936779370059","35270.9937232422","35120.5222931277",0.717637041920608,1
"ACTB","P60709","0.728333034005232","692545.125233864","696302.93975507",0.880444667035409,1
"MYCBP2","O75592","0.0109595935038606","26620.3434795889","26145.0557747493",0.115727383296171,1
"GOLGB1","Q14789","0.742455803996725","17977.0271039973","17786.3534711639",0.887675219064531,1
"AARS1","P49588","0.651730959772828","129878.56751884","129358.139320759",0.834149088598773,1
"CNP","P09543","0.936684226412848","287523.475839569","285204.3015533",0.973304593775265,1
"AGRN","O00468","0.866819496589763","35430.2105515663","35498.4946742351",0.945467273360191,1
"CTNND2","Q9UQB3","0.510043089339027","52776.6182307191","52579.138580793",0.741918656249448,1
"TKT","P29401","0.181439737801102","124350.910259395","127307.362160317",0.435566854432507,1
"VPS13D","Q5THJ4","0.224098307162062","24416.0360625675","24142.5688073554",0.486012814922107,1
"MAPT","P10636","0.213871121650153","225903.633455091","230193.262561338",0.473827316295519,1
"TPR","P12270","0.0719579826752688","42201.6807600801","43156.7736206036",0.285276345319407,1
"DLG4","P78352","0.0936641708643624","83319.3905817034","81881.3483637357",0.323366277978015,1
"PGK1","P00558","0.368657710391181","311881.985666175","315517.814660512",0.625266688659577,1
"RANBP2","P49792","0.0218450910568269","38704.4801742323","39509.3378279492",0.161440466632908,1
"PLXNA1","Q9UIW2","0.0220044342646233","68473.3166750938","66529.1480484008",0.162363219399213,1
"SYNGAP1","Q96PV0","0.00708223732360347","84850.7729213323","82079.6564471097",0.0952506066207186,1
"SGIP1","Q9BQI5","0.0826868791327199","61387.5128552029","60333.3041766096",0.305237078460542,1
"HSPA1B","P0DMV9","0.541487073387733","138751.331954949","141038.762065205",0.763996460678479,1
"CLASP1","Q7Z460","0.33788952425168","54084.2035921831","54472.8555938181",0.596737949259957,1
"AP2A2","O94973","0.827428855558044","84861.2298850616","85052.8757387996",0.926779740960152,1
"PLXNA4","Q9HCM2","0.021152929256673","57083.1451492665","55678.9939379272",0.158474582177989,1
"AP1B1","Q10567","0.016505914063591","39503.5681950275","38699.7152441519",0.138685174723548,1
"MAP4","P27816","0.769916584487939","112690.152562246","112288.012945614",0.900348427295534,1
"COL6A3","P12111","0.0344811515354132","43125.3388291453","31716.2972977021",0.201975800672953,1
"CRMP1","Q14194","0.0266886753459603","133849.509687345","130602.546868169",0.178851900538077,1
"NNT","Q13423","0.0476366880767101","242044.69523249","236435.889026833",0.233667972775526,1
"INA","Q16352","0.293641062311207","160914.198887396","165430.477760899",0.557322557821921,1
"PYGM","P11217","0.768906674614761","62823.824421236","63296.9210854169",0.899645540790533,1
"IPO5","O00410","0.00476808494406148","54058.3348603485","52036.2456695521",0.0781086284127807,1
"TUBA8","Q9NY65","0.524956224568814","35997.8937698954","36479.219096836",0.753491539085362,1
"RTN1","Q16799","0.00143324575749731","100840.580412167","97505.0814431335",0.0424815837714447,1
"GRIPAP1","Q4V328","0.480598581284039","52764.8148271505","52469.7922311946",0.719011547798867,1
"NCKAP1","Q9Y2A7","0.0124270180050367","106591.15539051","104094.792270293",0.122508478925583,1
"MTOR","P42345","0.00875065441091785","35669.0392115417","35231.9202539316",0.104475160936727,1
"CASKIN1","Q8WXD9","0.335375779898007","59500.420728354","59061.1925914684",0.593892199048927,1
"CEP170","Q5SW79","0.16302375607408","36489.6225382878","36826.3951830228",0.414900475429058,1
"DPYSL3","Q14195","0.144107192463079","85353.3991920431","87148.6731938795",0.392626778907426,1
"KALRN","O60229","0.000229248101493057","15259.9748840284","14676.1392400712",0.0151808869920911,1
"KIF5B","P33176","0.0236259176117023","61240.0942585227","60286.0346803907",0.16798263896073,1
"PFKM","P08237","0.146653507601986","107029.476708035","108164.118485001",0.395564552434214,1
"CDC42BPB","Q9Y5S2","0.00126441317909588","87317.6538245682","85634.210167269",0.0398280735381953,1
"CIT","O14578","0.16110986386863","69874.6925869953","71157.2294099738",0.41245770939685,1
"AAK1","Q2M2I8","0.180859407842826","47299.9683878134","46804.0913607854",0.435225053481876,1
"GLS","O94925","0.969863828101219","101581.833856218","101363.541592217",0.987943677849423,1
"GPI","P06744","0.598008471080731","183630.843031243","185085.772354768",0.802755229861679,1
"PTPRS","Q13332","0.0136447016415184","21142.7060889239","20705.3137552255",0.128328099822016,1
"IQGAP1","P46940","0.797018953835539","34248.3592773125","33970.4049920783",0.91371861873106,1
"HADHA","P40939","0.57516739357763","115535.910336744","114959.989191127",0.78803897378915,1
"EEF2","P13639","0.418702716244832","124331.72545359","125027.780020887",0.667294110694905,1
"PACSIN1","Q9BY11","0.0548768699499152","180599.391466969","176017.605180672",0.250033738652267,1
"AP3D1","O14617","0.0724379024890002","78940.9674409254","77612.0416470055",0.286162674443401,1
"PPFIA3","O75145","0.330578822025275","74117.571129981","73597.9537979683",0.589434252253563,1
"OGDHL","Q9ULD0","0.177410537244875","48705.759536104","49739.4633342341",0.433079018441566,1
"IQSEC2","Q5JU85","0.703373555889945","45955.1069827315","46181.0555586517",0.865187562967244,1
"SNRNP200","O75643","0.416530981978637","37409.3413239341","37974.8622333794",0.664646333098033,1
"UBE2O","Q9C0C9","0.0157666100768714","46636.4495153333","47326.649514598",0.136283507898975,1
"DHX9","Q08211","0.314373231404917","56944.5210582184","58045.2058836796",0.576105166556759,1
"SLC25A12","O75746","0.744744466784712","109076.291128209","109637.707902733",0.889014568350874,1
"DIP2B","Q9P265","0.726616324978999","37477.0007913209","37369.4986989456",0.880003094139166,1
"NPEPPS","P55786","0.0154092672101565","128153.526859739","131404.575622134",0.135897597428371,1
"LAMA2","P24043","0.438570112438128","25633.2875266857","25302.7980784209",0.683347329729119,1
"CYFIP2","Q96F07","0.000412024629519019","90801.1744814422","87873.4003008501",0.0216077882890041,1
"ABAT","P80404","0.911129813096836","103632.523719971","104006.513930592",0.963766293213194,1
"CLIP2","Q9UDT6","0.714637938891225","55554.643084333","55684.0530282815",0.873347021347518,1
"SNAP25","P60880","0.00138397291732559","125105.42161556","119170.069109848",0.0415937091383929,1
"HSPA12A","O43301","0.839195529026822","132805.823768282","132526.791166403",0.932343801545749,1
"CLIP1","P30622","0.510475681569721","59499.4903525005","59780.2822282212",0.741918656249448,1
"CCT2","P78371","0.981150875885132","73282.2979122319","73247.9366243046",0.991479646912943,1
"SYT1","P21579","0.153336081018111","223934.36115715","219351.751664671",0.402115494443009,1
"CAMK2B","Q13554","0.152043300287693","93363.2122440757","95310.9566498792",0.400426811071127,1
"RPH3A","Q9Y2J0","0.0110261378324481","77256.7536621389","74171.492575574",0.115941424511698,1
"CNTNAP1","P78357","0.507103537747685","84734.4640130796","83797.2266420348",0.739760042220818,1
"PTK2B","Q14289","0.10024241101325","57933.5057109909","57121.2688273266",0.333233104780712,1
"KIAA1109","Q2LD37","0.00267775595695117","17295.1754344681","17678.1676501708",0.0585082404586329,1
"ACLY","P53396","0.881576601428258","117141.214119829","117281.799687951",0.952211151734672,1
"RTN3","O95197","0.00352183003889199","85633.692091763","82917.9596777806",0.0674982581106814,1
"GRIA2","P42262","0.0321423912548585","72506.6596845224","70772.7221593972",0.195303767702538,1
"PRKCA","P17252","0.483520333886102","56298.68196369","56748.8093030046",0.722138357986621,1
"CNTNAP2","Q9UHC6","0.291828011875888","54655.685832875","54300.6363662357",0.555110366339858,1
"PRKCB","P05771","0.473606221238163","74480.2206397052","75407.0719261998",0.713193103248218,1
"VDAC1","P21796","0.65210866782779","315027.955149317","313292.683474216",0.834149088598773,1
"GDI2","P50395","0.613216594920028","68027.2992735462","67650.5767244303",0.810861694430544,1
"C4B; C4B_2","P0C0L5","0.0252416684464106","40172.4144810421","44017.477500863",0.174443610456426,1
"C4A","P0C0L4","5.0187723185859e-05","1457.61405059266","1876.98310565636",0.00613189515128154,0.392166868974302
"FSCN1","Q16658","0.492794234553437","93440.0902694642","92406.9991968396",0.730127824952703,1
"MTHFD1","P11586","0.553364894044354","82443.9681909374","83082.962556097",0.77283168580207,1
"GPRIN1","Q7Z2K8","0.719780933609229","87090.5957548914","86812.7088768228",0.876367902229279,1
"ANK1","P16157","0.150449305592955","23867.1461089891","24928.8083657549",0.399371046251334,1
"MICAL3","Q7RTP6","0.0462798179917866","44607.5592840612","45537.4451473143",0.231676191411286,1
"TRIM2","Q9C040","0.827772966635296","63613.2931852528","63881.3910246857",0.92682544139625,1
"SCN2A","Q99250","0.216505836417615","60901.7913921005","60151.7799391442",0.477498336372352,1
"LETM1","O95202","0.384151531754833","64957.4271236031","64432.1898049683",0.637616434263108,1
"EPS15L1","Q9UBC2","0.456181585661918","70377.8081920396","70899.7444377222",0.697380623208996,1
"L1CAM","P32004","0.000727144122567872","92969.3248955448","97375.7137623382",0.0289429461996228,1
"DCLK1","O15075","0.011957841382481","75934.0398278096","73554.277272797",0.121332586782744,1
"LMO7","Q8WWI1","0.297024204035577","38897.4733360417","38514.1628698849",0.560344551022211,1
"ARFGEF2","Q9Y6D5","0.565472956942935","48075.808210503","47897.8609790148",0.781086385991178,1
"ADD3","Q9UEY8","0.0922267281553546","64604.7923176058","66081.313500452",0.320293179469307,1
"GSN","P06396","0.863143903099452","83975.3649724441","84163.0280393549",0.944093849218802,1
"LONP1","P36776","0.133005370706146","55078.6963035075","54280.7413698424",0.377928715162845,1
"NRXN1","Q9ULB1","0.000515541246516297","39558.8879145522","40932.41699603",0.0240497254197705,1
"NF1","P21359","5.44860604135015e-07","36021.4840178888","34718.1754254786",0.000532192595088876,0.00425754076071101
"TOMM70","O94826","0.0474269887008249","93260.8241957316","91552.4953132092",0.23322497778996,1
"PTPRZ1","P23471","0.257177024076647","128385.670063184","127152.369403717",0.518735484288828,1
"AKAP9","Q99996","0.56031554148593","11507.5980558854","11569.2870016822",0.778350117964136,1
"SYN3","O14994","0.291818233181015","58951.7268564814","59898.0058887658",0.555110366339858,1
"PRKCE","Q02156","0.00355308551706922","64646.8406690522","62731.0917948019",0.0678821766023934,1
"CACNA2D1","P54289","0.120348120394075","87175.1937049915","85712.9157974085",0.360528578385267,1
"FLNC","Q14315","0.0514871335069524","16030.558559781","15134.4692570491",0.242140453688569,1
"EHD3","Q9NZN3","0.749092058733787","83915.467485424","84148.5959916815",0.889942826425221,1
"NRXN3","Q9Y4C0","0.146271161409036","46628.0628167657","47413.3161270638",0.394942244385006,1
"LAMB2","P55268","0.107914448149563","47664.9769940365","45912.7246500001",0.34330907477798,1
"TP53BP1","Q12888","0.145667552261106","16366.0727192288","16677.9012168394",0.394402721194831,1
"GPD2","P43304","0.750078392672447","70888.0795258146","70636.5576523318",0.890205431400744,1
"SORBS1","Q9BX66","0.154763113224187","53693.1619255748","54646.6959574617",0.404049103486067,1
"PRUNE2","Q8WUY3","0.144083012150027","22686.7597077482","22379.1125349986",0.392626778907426,1
"MARCKS","P29966","0.578462597222164","131106.049343943","133244.263804374",0.789858569509122,1
"PRPF8","Q6P2Q9","0.669138682577687","43872.6998583128","44191.6439700058",0.846130259219525,1
"GOLGA3","Q08378","0.737965963269245","20701.0698696068","20599.621021723",0.886205674972832,1
"MYO6","Q9UM54","0.803074183211717","29499.5364870183","29359.1234498412",0.916128304842271,1
"SNAP91","O60641","0.915096208329539","177060.815620839","177177.252311527",0.964768670820654,1
"ADAM22","Q9P0K1","0.0370843588812385","54279.2546915169","55842.4865817901",0.207388667862693,1
"MSN","P26038","0.797536281899871","57725.6890694957","57807.8101662339",0.914043488818655,1
"CCT7","Q99832","0.220660329965492","68599.9088661676","69268.4103962197",0.482095646152952,1
"CCT5","P48643","0.978574740019174","115974.868838291","115836.840409038",0.991165508133388,1
"IQSEC1","Q6DN90","0.177798238248612","50712.4748446292","50185.3972736605",0.433483754656678,1
"RIMS1","Q86UR5","0.692147187912861","33134.292013368","33338.226842787",0.859057081273532,1
"DDB1","Q16531","0.925251675386404","67946.7220451909","67969.5145198495",0.967730771177802,1
"NCAM2","O15394","0.619517481636669","84701.3989860608","84159.8867252043",0.814830769484755,1
"DLG2","Q15700","0.330739077924821","62495.9574737449","63018.1805373972",0.589434252253563,1
"PALM","O75781","0.145177390984585","106298.369858009","104629.180354294",0.393621142662577,1
"RAPGEF2","Q9Y4G8","0.695299386327255","43776.7944724822","43599.1303394034",0.860616094528936,1
"HSPA5","P11021","0.301593909957861","113958.115920028","112405.608684181",0.564293300147026,1
"AFDN","P55196","0.182663473508701","26156.8833344756","25950.2882320789",0.436908363449115,1
"SEPTIN9","Q9UHD8","0.970904264623667","84530.9271519008","84558.9648575243",0.988715991097673,1
"ARFGEF3","Q5TH69","0.0632143182793097","38878.7808663292","38392.0995899514",0.26794969323398,1
"ATP6V0A1","Q93050","0.118141235671417","120869.515460741","118409.530772542",0.358114318626657,1
"USP7","Q93009","0.218485585236601","47018.6846941012","46600.850445054",0.479067232109758,1
"ARHGAP35","Q9NRY4","0.375860816535751","36680.2180341736","36414.3635164152",0.631472031909344,1
"ALDH2","P05091","0.111800103760936","117344.597119414","115179.425005599",0.349102315126311,1
