"Symbol","Uniprot","p_mesor","p_wilcox","p_ttest","mesor_CTL","mesor_AD","BHQ","Bonf","BHQ_wilcox","BHQ_ttest"
"SPTAN1","Q13813","0.523403530960418","0.855321451522968","0.616597212673322","1050413.77806429","1045323.7074283",0.756403771208564,1,0.938518718292971,0.821449397995628
"PLEC","Q15149","0.0173473016479115","0.0103570616484682","0.0208344221816605","626617.622846057","644352.272007777",0.121680264880413,1,0.0903237496887617,0.144326396212318
"ANK2","Q01484","0.0494867792191595","0.0594953579788497","0.0760544084439258","479801.566194502","486651.333318733",0.217485766489602,1,0.239514027432628,0.291747249671495
"DYNC1H1","Q14204","0.781470790647887","0.664874062309191","0.763529455785073","616130.544104717","617499.928876191",0.909803516177508,1,0.846144287114661,0.903288291825066
"SPTBN1","Q01082","0.508201853943598","0.918128274433873","0.587749967888719","786761.064725805","782746.326909475",0.745475544246373,1,0.967532614487698,0.804603757722924
"SYNE1","Q8NF91","0.941915253006554","0.785880507608176","0.951280634669686","204465.627801797","204389.610734184",0.975626429877149,1,0.906669169710658,0.982160700498799
"MACF1","Q9UPN3","0.288098333822138","0.275030854136396","0.252752818901756","233807.198480024","234791.011936041",0.556507353282167,1,0.5394304955376,0.532710338156946
"AHNAK","Q09666","0.861646013289006","0.88711912479931","0.950174901709446","295288.784088563","294141.366831684",0.943037067051684,1,0.955403927964102,0.981449660536366
"MAP1B","P46821","0.207103002818585","0.108381873994936","0.208032530550323","635895.383228209","626813.321933512",0.470117288611756,1,0.329788147740043,0.486259704971649
"MAP2","P11137","0.642464921542587","0.54063336926701","0.714982644774003","512939.611415538","509995.834908052",0.827327108921189,1,0.762546777518487,0.875613835100454
"DST","Q03001","0.04248775789472","0.0880354300203888","0.0564099954390405","179711.006131587","181991.213765342",0.201455910309067,1,0.294986642443961,0.24898273010272
"BSN","Q9UPA5","0.406258878643075","0.526157642365987","0.384677618690443","186620.453731068","185106.873661996",0.665535478702678,1,0.751626292037993,0.655190624602559
"MAP1A","P78559","0.319145232993962","0.170513310822624","0.274246302978649","332518.39626369","336113.559746821",0.587523833076702,1,0.418859167170067,0.555879030792133
"CLTC","Q00610","0.80094637160731","0.997070866262198","0.813622269361095","503592.658055813","502562.662924389",0.919820089297263,1,0.999757699085438,0.926905439974865
"TLN2","Q9Y4G6","0.000137094592141947","0.000200125748211531","0.000223669146170829","194697.385220392","188932.569617308",0.00749130869228793,1,0.0105461381616359,0.0129463015420656
"SPTBN2","O15020","0.666606767705799","0.624498799080864","0.699944151994738","180045.501486524","179579.883311212",0.842271722480061,1,0.818626676064062,0.866639772411168
"PCLO","Q9Y6V0","0.632028644887986","0.530158724344618","0.607807532666469","134917.92925224","134350.634355597",0.822827959564133,1,0.75499549335317,0.816049494889311
"AKAP12","Q02952","0.124608140787557","0.125501174709793","0.113903253258349","174519.478409888","178144.914468631",0.360625189671841,1,0.357190016535028,0.358309187182262
"ANK3","Q12955","0.399979831807373","0.23716411360689","0.415200270656906","119195.90236715","118315.874272431",0.660470830763738,1,0.498842633573146,0.682818425833176
"MYH10","P35580","0.0375427709831834","0.201406632265042","0.04399870135043","245007.971458163","241364.828615001",0.190864809669873,1,0.45643602799276,0.220058291662847
"RYR2","Q92736","0.559753970838609","0.456866624952005","0.549054633020878","100122.338918254","99712.0585340411",0.781013360754759,1,0.699305740915762,0.782950243435533
