"Symbol","Uniprot","p_mesor","p_wilcox","p_ttest","mesor_CTL","mesor_AD","BHQ","Bonf","BHQ_wilcox","BHQ_ttest"
"MYH9","P35579","0.0772111746613103","0.343561174466925","0.105199986054757","215627.121765893","211494.467433612",0.279457657722823,1,0.606001584037145,0.343802882071046
"TLN1","Q9Y490","0.235809308781555","0.283733135517041","0.272804927541721","110046.494425725","108711.496151688",0.50086692475819,1,0.549737347118809,0.554985083002085
"NEFM","P07197","0.22122896991384","0.0997861442721871","0.197089023145091","632232.407270483","658676.034930963",0.486297089587956,1,0.316063612218431,0.473716895372421
"DMXL2","Q8TDJ6","0.318144118945896","0.309781737073363","0.322584457639418","125555.276192556","124718.978433497",0.58700782655094,1,0.572524714638424,0.602697702120041
"MYO5A","Q9Y4I1","0.697609513208715","0.712621960890272","0.706068545347591","199189.014765445","198648.235538794",0.860751288111986,1,0.873341907527695,0.869949481763809
"LRP1","Q07954","0.00378548983925783","0.0031116660803723","0.00597863539234144","91424.9132733021","93359.5853598596",0.0517601802171656,1,0.0436866738186533,0.0725625562858915
"FLNA","P21333","0.00418842050669996","0.00280531985810164","0.000609705679945291","120275.904671068","107919.411926874",0.0542758173123607,1,0.0420744133804342,0.0219550238852189
"SYN1","P17600","0.168685553503734","0.082269047262918","0.229497208308337","337795.236066774","343793.297757905",0.426521416500947,1,0.285965451651442,0.509158884459627
"FASN","P49327","0.0858756740597985","0.0418477160026404","0.0912572173222539","139038.504576408","141334.016210229",0.29613085485581,1,0.197462592297483,0.32164189839111
"ATP1A1","P05023","0.281747710395143","0.266512577650368","0.313772845515276","305302.138236155","302033.25098494",0.550364720474931,1,0.532888761965193,0.594179886772097
"ATP1A3","P13637","0.285958061228713","0.172045244766187","0.300495971857204","321309.336739554","318469.462522777",0.554758776391758,1,0.420638780539107,0.582938312833216
"DNM1","Q05193","0.0242929446748585","0.0373852022239304","0.0468238852520525","374758.075412031","381303.440579824",0.147608918887515,1,0.185125456386434,0.225992488795268
"PRKDC","P78527","0.205650381337132","0.194164564165621","0.216708650936096","100461.300555756","99745.108782387",0.469239590309214,1,0.448080893204419,0.496586920356204
"GFAP","P14136","0.0031777258177019","0.0164086366090917","0.00728324617653725","729623.25637223","824818.336865669",0.0461538095530161,1,0.118063615528032,0.0813018366049458
"ATP1A2","P50993","0.0176865478903976","0.0105782059034737","0.025954906264402","589483.083429511","576393.487843434",0.122903743390733,1,0.0910891804269234,0.163545202869734
"HUWE1","Q7Z6Z7","0.667659058023743","0.875532511703105","0.632457328431754","73144.0050251483","73300.8893701385",0.842416902857666,1,0.949800228578101,0.828503196037842
"AHNAK2","Q8IVF2","0.0740810846200644","0.0364992016614152","0.0800050939230135","49728.5102939235","48353.2161793273",0.273180554611224,1,0.183058255315981,0.299499265455034
"MAP6","Q96JE9","0.166367868752624","0.200544539625349","0.223238922981847","237887.642988203","240588.919028716",0.424035001841947,1,0.455274559161091,0.503285904264326
"CNTN1","Q12860","0.756097544628857","0.87649707966236","0.74665403816705","227426.255778518","226950.651696003",0.896668115606297,1,0.950318881709682,0.892972320308826
"UBR4","Q5T4S7","0.389825081309117","0.398467941593488","0.380993922089718","73132.5936221469","72879.039223095",0.651812832925802,1,0.654123633531831,0.651441248842244
"TUBB4B","P68371","0.316764272866434","0.520582167129283","0.332088210640617","816489.403714444","824044.613683905",0.585275812392141,1,0.747625262626028,0.611724959440307
"TUBB4A","P04350","0.0727735895350735","0.0345709179531831","0.0699834578510789","103025.169452609","105456.379361135",0.27052941418985,1,0.178190734093781,0.278176362331372
"TUBB2A","Q13885","0.776196389207039","0.768994309113382","0.787625536469439","176923.305146599","176331.060153742",0.907730343481403,1,0.900078120343314,0.918171854687781
"TUBB2B","Q9BVA1","0.44190748989511","0.164487679052368","0.454496779638915","5589.33845833673","5708.60312938088",0.693386571494054,1,0.411035089259739,0.715438726047236
"SPTBN4","Q9H254","0.0786184369711026","0.0837905498332113","0.0659316934121211","57337.2683653911","58035.7733744308",0.281934484851842,1,0.288813125891801,0.269989089506435
"VCP","P55072","0.475542500840831","0.334903429984142","0.487134568788055","151830.821276857","152680.023336914",0.720692222957768,1,0.597883345189876,0.738395775661473
"RTN4","Q9NQC3","0.00122337948480912","0.00621498809762906","0.00233156100160508","131628.762293246","127474.455866759",0.0276406737035359,1,0.0660733564556102,0.0442329845889526
"DPYSL2","Q16555","0.0824454574973259","0.0712705074903649","0.0995561151152047","547436.134402309","557277.085828015",0.288762350911746,1,0.262816302751162,0.333876173180347
"MYO18A","Q92614","0.180204822769215","0.24502209697963","0.183341453964416","92725.74520437","93302.9823734526",0.441832596522951,1,0.507179514118895,0.457819838908278
"TUBB","P07437","0.334369817275233","0.21830294669276","0.380457690831938","56255.8553663503","57002.367519977",0.600497759638858,1,0.475495147697632,0.650951696115779
"EPB41L3","Q9Y2J2","0.220180969070832","0.220139068082497","0.233110398161578","271803.797890135","269169.724304969",0.485192919435838,1,0.477293750831474,0.51257112297245
"TUBA1A","Q71U36","0.145669509272871","0.15468517551322","0.166553339825901","682796.022725491","693283.422020913",0.3960548174872,1,0.396818766073638,0.437903027388826
"MYH14","Q7Z406","0.912496408606911","0.828522544532095","0.897406479132086","49272.0023740568","49325.4975345048",0.965817170151842,1,0.924471678276994,0.96023342094269
"NEFL","P07196","0.0975167937910054","0.0573776090115596","0.102259979092242","319262.347115393","337596.738687496",0.315516546459321,1,0.234983562272708,0.33748147496805
"ACTN1","P12814","0.703469401781984","0.736478378556787","0.74650751962361","136657.577791966","136019.919827028",0.864970700601401,1,0.884780691730224,0.892972320308826
"VPS13C","Q709C8","0.811746509286437","0.649831146366902","0.820104809155444","49963.2433743615","50033.059916571",0.926393281615045,1,0.837364870994553,0.929970294299587
"ATP5F1B","P06576","0.921201854903061","0.794362087614604","0.928429867118361","260940.467215424","260698.115233331",0.968783257445195,1,0.909738436555843,0.973400104878958
"UBA1","P22314","0.0049579232420981","0.000434535375449352","0.0111466386521814","145023.75694149","148827.867224625",0.0591468888759612,1,0.0161935851484236,0.101852031573848
"DCTN1","Q14203","0.0766201254913591","0.104143767973497","0.0910728142902778","131344.313173027","132795.514012271",0.278858714759888,1,0.323313231205763,0.321433254050273
"SPTB","P11277","0.555834354242","0.425662547801265","0.64023279924237","50480.6928392562","50112.6379487767",0.778741831051807,1,0.678109510401444,0.83157897162232
"PYGB","P11216","0.369282241230452","0.293181556584283","0.377748387823221","214201.766505887","216483.22542509",0.631816631973283,1,0.559170291225186,0.648353027080128
"GAPDH","P04406","0.04091272090883","0.0345709179531831","0.0436809546575287","589274.958933337","601564.290810552",0.197964194355454,1,0.178190734093781,0.219265134550692
"ACO2","Q99798","0.414947365070052","0.301119433585999","0.40797621820315","211630.066945392","209922.606117957",0.672139036205926,1,0.56588438048124,0.676124320050777
"ADD2","P35612","0.858282839991529","0.890019651462766","0.895035513013397","158006.372071346","157777.778502786",0.942531792319549,1,0.956370925623482,0.959384720879443
"KIF21A","Q7Z4S6","0.768670024534761","0.924929833227107","0.724828495391816","95327.695026918","95172.3404171335",0.903487901882464,1,0.969546348628467,0.879883464811504
"ATP2B2","Q01814","0.124351406536408","0.0801344116992698","0.146989228720477","160285.720704561","157733.125804617",0.360433779458311,1,0.281748792376654,0.409004470192264
"HSPG2","P98160","0.0273538596961298","0.101307217956805","0.00879234197378664","52997.8028833337","50197.4462866244",0.159272026576422,1,0.31868542717974,0.0911185148317889
"EPB41L1","Q9H4G0","0.273836801797415","0.113311641363982","0.280545008753911","146660.600003432","147922.830142173",0.542792612321762,1,0.337945483060365,0.562963199384453
"ACTN4","O43707","1.68852158676384e-05","5.16492137204294e-05","9.2825666813648e-05","159631.79276517","154009.166568652",0.00196121171220415,0.131941076789726,0.00517419174373635,0.00814254432227258
"TUBB3","Q13509","0.306112843037954","0.739247974565794","0.35363679475386","133578.499580742","134976.17026002",0.574577409439965,1,0.886507623274573,0.630750493998325
"ITPR1","Q14643","0.0233227338963759","0.0766089715724362","0.0334377873724827","75571.9818882356","74295.7994086352",0.144484076270041,1,0.273718566011439,0.190023905838967
"TNR","Q92752","0.288153154770879","0.286490427047889","0.268952711256147","159957.694322417","158719.707848277",0.556507353282167,1,0.552749678259804,0.551021627098986
"HSPA4","P34932","0.392281778531227","0.374318001278881","0.450139061180538","137558.84167998","136540.286479733",0.653208315901575,1,0.633076615450268,0.711592785710861
"TUBA4A","P68366","0.712111573548464","0.77461131319189","0.717773243215467","70273.0975965427","69888.1906673381",0.869316644909231,1,0.903674649340315,0.876555462721701
"STXBP1","P61764","0.175056893880218","0.165978836475436","0.188240385807749","419651.066393547","413518.202346455",0.434114429952403,1,0.413307402236793,0.462397886228584
"LRPPRC","P42704","0.000227326105532009","0.000272066628540435","0.00113223775270139","122269.781937918","116645.991411585",0.00965394667732129,1,0.0120108962452823,0.0299908671173175
"HSP90AA1","P07900","0.90559539717354","0.701703793237532","0.862467330741127","184081.335120844","184418.78616005",0.962854974196095,1,0.866758368693973,0.947465165529477
"MYH11","P35749","0.00269630799448335","0.00052435324872753","0.00029145977116565","30038.4659582188","23521.968312761",0.0422223460298455,1,0.0178921235177158,0.0140703437296746
"OXR1","Q8N573","0.0359376922159628","0.0477075311207673","0.0459469905134964","112079.595838027","114362.502099264",0.18702290150979,1,0.211460679646306,0.224899843425555
"HSPD1","P10809","0.0333208728371286","0.0224041863488105","0.0541861494736392","302741.714941436","296482.323173641",0.178335137225564,1,0.142214713346552,0.244604605422887
"ATP2A2","P16615","0.501108852306591","0.506386301312906","0.555798523458686","174544.459366233","173405.462168839",0.739641966740405,1,0.737899643346611,0.786919670647975
"NFASC","O94856","0.616624453310436","0.575165965993611","0.621640635301682","172269.766461733","171365.245694967",0.814912932271625,1,0.787828176318317,0.824143183618484
"ATP2B4","P23634","0.429274631578706","0.324581168016186","0.436719754539617","201799.598639193","203309.985567549",0.68414276384989,1,0.587540912649856,0.702645776235941
"AP2B1","P63010","0.0413635619620616","0.156466167666333","0.0561761280108842","259761.562894156","254728.38997946",0.198655591709234,1,0.399681802597165,0.24870269930711
"FLNB","O75369","0.634053705850895","0.197548428237035","0.59309517433982","38826.0776711406","39088.9260941216",0.823119953887679,1,0.452150971952019,0.808519046057707
"AP2A1","O95782","0.063578455480972","0.0768127898346855","0.0669027926095593","181092.314339996","178538.563667824",0.249348104195439,1,0.274070840076818,0.271753873465557
"PKM","P14618","0.107928034327586","0.0247354323814818","0.12862200480867","495845.659133783","504020.528551887",0.335348782855446,1,0.150414528115875,0.381440615878468
"C3","P01024","0.337325946670551","0.409495817816674","0.327498044171292","76463.188397437","79187.2120897612",0.603034595130516,1,0.66491741792443,0.606463399624098
"CKB","P12277","0.0496777949201357","0.189168832355757","0.0783022204370242","365178.336524812","372020.829067677",0.217755577516447,1,0.442431983246898,0.296297118883732
"ALDOA","P04075","0.10795756149287","0.0730150512539242","0.127175564817085","413620.10726775","419725.761559024",0.335348782855446,1,0.266482769966447,0.378571376564077
"PI4KA","P42356","0.0142659512242586","0.0178903004672909","0.0135383834001772","94721.6762483846","93078.5595425626",0.109074503783128,1,0.124041533142335,0.114275224954776
"HSPH1","Q92598","0.973646022495444","0.890986822867233","0.974553046837805","120243.389450767","120187.087584013",0.988503466249627,1,0.956370925623482,0.989109950381947
"HK1","P19367","0.430115332353401","0.730949477974435","0.489547266233135","329692.309162345","327470.553205568",0.684541115760866,1,0.882378992876909,0.739907608964355
"GDI1","P31150","0.692557577906633","0.407414375344137","0.681609521785531","235786.389417058","236587.891036379",0.858123168532624,1,0.662270840220322,0.855597880037292
"HSP90AB1","P08238","0.554722414090444","0.513458693266958","0.634618111896569","302667.88582444","300135.501659288",0.77870085896874,1,0.743411354680167,0.829479640936326
"ATP2B1","P20020","0.576957184835823","0.908422268256343","0.622393207970802","103206.570852204","102730.989376095",0.792188269602376,1,0.963280174264495,0.824676525445798
"CKAP5","Q14008","0.761422370256176","0.835204865161822","0.751209377938655","94165.6897091839","94333.0753048192",0.899464079031968,1,0.927688815405043,0.895218862164504
"TUBA1C","Q9BQE3","0.587893990406145","0.662839725732117","0.622602155644618","5614.36822511937","5528.69306129179",0.798728840208967,1,0.845759245080138,0.824676525445798
"CTNNA2","P26232","0.0801888182806904","0.0844495592910488","0.112175440273333","98583.599035858","97362.6937254955",0.284945623485818,1,0.28954600481825,0.355402547906978
"NRCAM","Q92823","0.00520653520215422","0.0117481277973169","0.00718652385350767","113610.304899355","110745.024561639",0.0608129537662677,1,0.0974520919408007,0.0807992768220273
"HTT","P42858","0.553128857187227","0.48854779190613","0.538905717997183","41043.9746377345","40886.418834152",0.777930401697357,1,0.723287693435866,0.775498959711936
"CADPS","Q9ULU8","0.171171786268971","0.136098075118036","0.171234548852572","101325.696656871","100190.689094827",0.429550370510127,1,0.371323449361848,0.44526681022762
"PFKP","Q01813","0.279832631537776","0.179859666551885","0.2734600203911","123484.766150552","124877.914919695",0.548430709338266,1,0.430187766892081,0.555161496320097
"ALB","P02768","0.782767274082998","0.718103377679671","0.783612398144455","318093.05771725","314475.557315178",0.909869854924315,1,0.87607490916299,0.916364453621786
"BASP1","P80723","0.637975840798435","0.808551761345508","0.666628347237118","341389.684046235","338558.295814255",0.825461641267834,1,0.915203097472084,0.844662543426438
"ATP6V1B2","P21281","0.497735961381181","0.194164564165621","0.584097423669987","150259.528650747","151002.189797343",0.738289446133741,1,0.448080893204419,0.801339412969849
"NBEA","Q8NFP9","0.662276781482189","0.585220540311139","0.740498641221946","44248.688592529","44337.6834163883",0.839991895274689,1,0.79349528058151,0.890229302497618
"SYNJ1","O43426","0.699465078213556","0.750359888471341","0.714657076409239","143591.274482206","143138.806354361",0.861383630791138,1,0.890945474626206,0.87552403570447
"NCAM1","P13591","0.78000339543469","0.84860479069453","0.775014626110842","316205.632614105","315372.247084727",0.909693512227861,1,0.936317118679336,0.910842821464278
"CEP170B","Q9Y4F5","0.286730563214893","0.293743846812031","0.28026823306079","48395.6830675963","48064.9094518784",0.555377549881264,1,0.559681351430202,0.562552266410741
"PLCB1","Q9NQ66","0.0868404597659212","0.0568979038938018","0.11924940583447","116939.014117963","114631.820541495",0.297449733964462,1,0.233754059424904,0.367145333802423
"ENO1","P06733","0.206494214889532","0.159711081159549","0.266225676032643","394211.203306543","399884.505937504",0.470117288611756,1,0.404008542628914,0.548136425082455
"HSPA8","P11142","0.629657173790418","0.578508407546658","0.695203912239507","399492.313260806","397787.337362672",0.821945198710354,1,0.789049519387255,0.864056524612615
"NDUFS1","P28331","0.88765971006105","0.591968631475204","0.877959688652119","146808.29838326","146547.767869859",0.954715784192512,1,0.798685618541567,0.953165695248236
"CLASP2","O75122","0.23291575945343","0.43280617484368","0.317920112896977","66605.1918644573","66144.5179675965",0.497745777556492,1,0.682312268944256,0.598303844282362
"ACTN2","P35609","0.0167672580215506","0.0114653297469729","0.01027302647016","74633.9048678313","72307.834292038",0.119325459180689,1,0.0960236727147334,0.0978944254119881
"IMMT","Q16891","0.0679695859430351","0.0695602775142218","0.0937243885387326","180106.006531263","177506.927249602",0.258953849126707,1,0.259696134016306,0.325349787668439
"NSF","P46459","0.69871414457731","0.591123169153359","0.690054625046146","343687.639417118","345007.779020409",0.861139167454124,1,0.798174605799956,0.860530935223521
"OGDH","Q02218","0.801168773989317","0.854361274655677","0.807548400348738","94669.8303550071","94889.0252921223",0.919825565670368,1,0.938518718292971,0.925817724645277
"OPA1","O60313","0.0510329584234332","0.0855572228694725","0.0669626226363884","119040.133827057","116918.7552917",0.220681536868128,1,0.290292722319608,0.271816069236748
"EPRS1","P07814","0.0830353548904293","0.103105081820804","0.110134339616616","63086.9880003963","62464.4769282705",0.290348830740392,1,0.322394201419673,0.351548092223953
"APOB","P04114","0.635946969312048","0.401208007214151","0.573588901142265","23066.7194720083","23446.5454875787",0.823821223177112,1,0.65641527813471,0.796945887895743
"NUMA1","Q14980","0.843954777046414","0.578508407546658","0.894064394844506","42698.1613905613","42591.3947763754",0.936964759779275,1,0.789049519387255,0.959005736655227
"EPB41L2","O43491","0.603977906468114","0.77273765122974","0.691670854431729","93173.2384770769","92428.2592442749",0.808961837700007,1,0.902162260079066,0.861721310033407
"HSPA9","P38646","0.110612401613951","0.152919624473013","0.158182937791995","163673.245478089","161023.845289861",0.339190811769328,1,0.394100905551492,0.426115095821149
"VPS13A","Q96RL7","0.633698395985721","0.512670340360822","0.638767996200284","49421.0660766349","49577.849943499",0.823119953887679,1,0.743411354680167,0.83157897162232
"SYN2","Q92777","0.0550165483978003","0.0562634920843247","0.0825192812772347","118285.690600184","122048.203513549",0.230262083117521,1,0.232001544668556,0.304594792561906
"ROCK2","O75116","0.0440117839290443","0.0697486232316309","0.0544855173057579","100412.907188782","99177.5848238966",0.204829112341603,1,0.260150712139362,0.245247599209212
"KIF1A","Q12756","0.123002878774801","0.177095154251822","0.138217763120038","60510.7929873242","59851.2958759362",0.359131444231034,1,0.425660269247535,0.396019389868031
"ACACA","Q13085","0.640705445454233","0.518202030689577","0.6632775866308","37251.2381178111","37364.8327626029",0.826317624496615,1,0.745852029436057,0.843528824215727
"ITSN1","Q15811","0.0889060544852584","0.0348861225552245","0.158257257509629","68034.4575615926","68742.2845383513",0.301515716180792,1,0.178754204358377,0.426115095821149
"SBF1","O95248","0.312082870665137","0.179066553513586","0.364704166270584","54944.3556864508","55220.121740251",0.580313052191473,1,0.429210444526123,0.639966526149577
"ADD1","P35611","0.0292274202149428","0.0113064580927036","0.0275009042205822","120570.937792086","122736.099463701",0.165735168040322,1,0.0954089239053844,0.168712504741966
"EEA1","Q15075","0.000172972425536352","0.000309161540159392","0.000252905010844019","98067.8067291931","95812.1881406765",0.00877666579961724,1,0.0130583149989486,0.0135264039438961
"VIM","P08670","0.00837609351227276","0.012037095787872","0.00320234362063894","168113.500958153","153551.609297022",0.0795801207223538,1,0.0987738575737154,0.0507788317711299
"SRCIN1","Q9C0H9","0.0214663646985783","0.0639255939295404","0.0339437380915837","81644.8386085777","82610.255213033",0.137153044770802,1,0.247284450972985,0.190704429151115
"USP9X","Q93008","0.593513177219304","0.703519289513312","0.598782800385623","73321.9876008902","73084.6975586842",0.802788985077314,1,0.868236100038648,0.811884227349169
"GAP43","P17677","0.0955930480596386","0.25306098526418","0.13799962802457","247528.111922907","241028.676182733",0.311898499284872,1,0.517377953651047,0.395717098489538
"HECTD4","Q9Y4D8","0.871301824680617","0.827568927560145","0.813099373675761","29512.796887223","29491.6445845904",0.947222074625222,1,0.924067390676618,0.926701445120308
"A2M","P01023","0.936901542419889","0.953160690383263","0.91086897344475","75413.8454148834","75604.4578264204",0.974243117765738,1,0.98062216355537,0.965088835050478
"PC","P11498","0.533239173958225","0.596204245672787","0.556075968793784","76717.6001207364","76281.0567693304",0.763571054390245,1,0.8013547981915,0.78698324968128
"VCL","P18206","0.000183365312070525","0.000125507987287117","4.47314564739141e-05","102332.112373968","96575.0184594671",0.00912622005426167,1,0.0081455682620516,0.00552230570805807
"KIF5C","O60282","0.00443403504366545","0.00186661306589127","0.00885564031046444","54937.8517575812","53749.3739343076",0.0560617748731671,1,0.0338093160227637,0.0914107970752564
"ATP2B3","Q16720","0.30082608616192","0.447299701113062","0.278564196996714","54794.6246084285","55279.7969590809",0.569441627245456,1,0.691571006034323,0.560283303817844
"SEPTIN7","Q16181","0.000528788719938335","0.00224605937480696","0.0028805177080053","183108.7791419","178385.228177454",0.0162675395968431,1,0.0372626495854386,0.0477884615081813
"WDR7","Q9Y4E6","0.751458848671043","0.718103377679671","0.782738219002547","58297.7582383255","58408.9826381541",0.894152496347728,1,0.87607490916299,0.915890452723256
"ALDOC","P09972","0.442000328688647","0.641924169225454","0.472519351665048","188927.731437989","190445.788262173",0.693393007101604,1,0.832392210143992,0.730506748655025
"TRIO","O75962","0.94681083302041","0.796250228181799","0.979766479195222","46812.1169218883","46829.7485949764",0.978036887143865,1,0.910699543766478,0.99221037693513
"NEFH","P12036","0.0132839952811581","0.0181283582575744","0.0207279695213873","115106.131461894","127003.93683306",0.104295086325753,1,0.125026470807314,0.143971870080107
"DNM1L","O00429","0.0385649219126172","0.0210718171448928","0.04185414920393","148471.402687539","146082.292176899",0.192797378305801,1,0.138249520713847,0.215429908237654
"ANXA6","P08133","0.105792347352398","0.0953319901816515","0.126433457599627","212946.759073423","208914.373719922",0.33199253100869,1,0.309353891727336,0.377680990742232
"KTN1","Q86UP2","0.00678869405110146","0.00689333264179517","0.0170086897876776","74593.9711254626","72768.2909321796",0.06979849383593,1,0.0699538977441396,0.129543455505932
"ATP6V1A","P38606","0.656426843720532","0.757796873836607","0.644390762921603","210991.055785964","210207.060759356",0.836893352395535,1,0.895091887835522,0.833143253901623
"ENO2","P09104","0.0921345540652044","0.19040879141522","0.120329882656224","159693.674305543","164261.497120667",0.306748788012572,1,0.443870613400516,0.369120098425609
"AGL","P35573","0.30644547425531","0.446568532463375","0.309744302442831","68732.1982647072","67797.7611694001",0.574925554821367,1,0.690981240032279,0.591626003248174
"UTRN","P46939","0.694300635487498","0.533370680642025","0.658792801680633","25583.1901342972","25685.2643377043",0.859243770303977,1,0.757774272461233,0.841914987511863
"ALDH1L1","O75891","0.975910432017582","0.822804682155714","0.949714095626117","103517.728008866","103573.830269466",0.989244767381601,1,0.922703184036273,0.981301419331183
"SACS","Q9NZJ4","0.162727922589774","0.264411680607903","0.229116626035791","28183.58012654","28582.1489816861",0.418983616118747,1,0.530180362399321,0.508468422562815
"DNM3","Q9UQ16","0.414937371233897","0.53176347358934","0.43046466562306","80378.8042312886","79980.547308775",0.672139036205926,1,0.756315941504751,0.696832202703133
"MADD","Q8WXG6","0.768005577335471","0.81329593048396","0.745879264494697","52111.866546237","51952.657229316",0.90305330729185,1,0.917173387328859,0.892678905308862
"ATP5F1A","P25705","0.70400008641053","0.386948962577331","0.741499767579327","440950.110008781","439284.261496016",0.865218099278371,1,0.643049594551098,0.890229302497618
"HSPA4L","O95757","0.815765488098045","0.558592194656424","0.869073088737523","113043.266024473","112845.254104191",0.927111210393832,1,0.776247449590129,0.950978450552444
"CAND1","Q86VP6","0.653330955571606","0.587746884993907","0.603969768163866","127715.972217579","128235.467631811",0.83540188709161,1,0.795540301289172,0.81456621050994
"SHANK3","Q9BYB0","0.133970468783409","0.07223543196731","0.118583790473255","54787.0579546487","55647.9466267252",0.375347882062947,1,0.264750312097824,0.3656723515225
"PTPRD","P23468","0.619167331728569","0.742020956904058","0.663551613232592","35273.4888547845","35168.8261126348",0.81615612856394,1,0.88724586951007,0.843636886722986
"ACTB","P60709","0.722565336985737","0.805708622603509","0.748953979857727","692075.502896986","689408.222486304",0.875942748220618,1,0.913892753233244,0.894304156266546
"MYCBP2","O75592","0.0223055647383954","0.0137183915869391","0.0227408972110185","26607.412151067","26275.9071370508",0.140674481731898,1,0.106981548762816,0.151103206468451
"GOLGB1","Q14789","0.615093560388408","0.161169496464603","0.623141056010005","18021.8860678223","17868.4906855265",0.81380648169235,1,0.406251111411099,0.824979572906932
"AARS1","P49588","0.984580740749203","0.881322643107977","0.959482674064304","129765.803444082","129786.735604996",0.993865638575671,1,0.952642845932457,0.984109079077035
"CNP","P09543","0.846538478466786","0.69988999803752","0.876128601543104","282183.090745418","279722.421604143",0.937877735820143,1,0.865612605993223,0.952767971395463
"AGRN","O00468","0.910689599366619","0.912303112709893","0.921304759676213","35452.8950568981","35496.035289046",0.96489878365434,1,0.965168768306946,0.970095053511646
"CTNND2","Q9UQB3","0.966234156313154","0.704427672652812","0.893434038215613","52726.43377859","52746.7417938974",0.985695035742476,1,0.868475518161735,0.958837189207087
"TKT","P29401","0.204557044902859","0.267567321989412","0.229558068844544","124609.350749677","126467.681926999",0.468329548453249,1,0.533632224100374,0.509158884459627
"VPS13D","Q5THJ4","0.0520894851787863","0.104666219194064","0.0469050454291653","24284.6634508571","24065.5233395338",0.224133941182289,1,0.324012429922953,0.226244459866357
"MAPT","P10636","0.0575436146320467","0.0760001611583923","0.0776870608937782","225721.435409221","230279.276578775",0.235170399965906,1,0.27229035272429,0.295975959933683
"TPR","P12270","0.214441587060668","0.149089427251052","0.236974315627148","42439.9686739215","42704.8535784025",0.477936840071894,1,0.38806954848092,0.516374038569586
"DLG4","P78352","0.107977673107794","0.0926893412484667","0.124374750029196","83304.6936192968","82047.1179358626",0.335348782855446,1,0.30367904088701,0.375360965664583
