"Symbol","Uniprot","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"DST","Q03001",0.0495718034346293,"3.83198161592724","5.02092181223612","6054.29340280476","3819.72303495849",0.0918096962241354,1,0.460589757661653
"RTN4","Q9NQC3",0.941829756121521,"2.45647116821869","2.5767566158805","4300.07744024384","3773.2780456895",0.950264052444997,1,0.13068890009923
"UBA1","P22314",0.000870386891402115,"3.33725706455701","0.432550256295918","8298.00795806698","849.97234506231",0.0108959544182931,0.58838153858783,2.27856694619243
"LRPPRC","P42704",0.195100044085069,"1.65297019445132","1.94046880201236","7629.46407821288","3136.01777983129",0.271373723871413,1,0.889063832002026
"CKAP5","Q14008",0.000810381804032168,"3.52897355260323","5.93502260724803","3203.43869907914","1273.28843758995",0.0106386298048268,0.547818099525746,0.922621951414085
"CEP170B","Q9Y4F5",0.0195754381974147,"0.544090689390465","1.74193565814227","2085.54135913694","669.495706149648",0.0491932945035403,1,1.13625899360847
"CAND1","Q86VP6",0.00078138812137142,"3.44876582835631","5.38091969732009","7419.73437571214","1501.07674772341",0.0106386298048268,0.52821837004708,1.59796057571122
"PGK1","P00558",0.0109439011651753,"3.69715793083396","5.21545563818417","19850.7678792973","7363.97744969442",0.0337271427101895,1,0.991642489350384
"RANBP2","P49792",0.0225620280787828,"3.58788299690013","5.0997050343095","1332.94111618932","816.779923811211",0.0538937490503787,1,0.489773457828545
"SGIP1","Q9BQI5",0.0871684882558533,"1.07223927808008","1.17087045685","2955.33543521432","809.473163027047",0.141140179196115,1,1.29498381781462
"HSPA1B","P0DMV9",0.237314466494429,"4.22378559307171","5.16949029067596","9622.73248854539","7023.62781444518",0.317672434356899,1,0.314848399577493
"CASKIN1","Q8WXD9",0.29506754322284,"1.41718116200648","2.32477543705858","1950.26537038342","1547.73417690719",0.372298229742742,1,0.231173410615005
"KALRN","O60229",0.00205225463292048,"0.556209859893755","1.96813009852249","922.874002761635","354.722670787055",0.0140535772949769,1,0.956156441678745
"CIT","O14578",0.509183593473833,"4.62238870569329","5.14071473366734","1524.18542884973","2608.04437141755",0.582817561193055,1,-0.53714053516349
"NPEPPS","P55786",0.000539581852751853,"3.56314513474155","5.83667646525451","7582.88076501741","2027.70841431753",0.0106386298048268,0.364757332460253,1.31898688014031
"SNAP25","P60880",0.370227289908598,"1.66313932582843","2.51867738476566","4188.4661404447","5743.05578128185",0.450943509870653,1,-0.315656844106314
"CLIP1","P30622",0.000454851654211878,"3.33542447175308","4.90674696637862","2983.36023387564","882.433869969442",0.0104566598194116,0.30747971824723,1.21812168838082
"CCT2","P78371",0.00411886664003872,"3.70770124873481","5.61650031818993","3773.52423374577","610.290760773962",0.0184699990409688,1,1.82182915318244
"GDI2","P50395",0.0013343097433687,"3.38963260511824","5.12350958475577","4322.86209891596","403.467493291898",0.0123560737879074,0.901993386517241,2.37157706215327
"ADD3","Q9UEY8",0.0437242097102582,"3.38174862957815","4.55475703393771","3537.86988002634","1895.56827064593",0.0839703572844731,1,0.624006144679622
"SORBS1","Q9BX66",0.175602500938357,"3.84640354763383","3.95400171796661","720.262262700038","2357.4348722397",0.249385064357835,1,-1.18571398891696
"MSN","P26038",0.295745783094456,"3.99060230393733","4.67449879257189","3459.97545686497","2758.29152271776",0.372298229742742,1,0.226650021099809
