"Symbol","Uniprot","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"MAP2","P11137",0.554664198942901,"2.29277320930414","2.81793120973489","12583.1356606945","24324.7260483675",0.684925065187753,1,-0.659135888045831
"DST","Q03001",0.0495718034346293,"3.83198161592724","5.02092181223612","6054.29340280476","3819.72303495849",0.171163019406362,1,0.460589757661653
"MYH9","P35579",0.573070794954644,"3.70749838637835","4.32133529183913","7596.6666560411","8097.98775989534",0.69005411794576,1,-0.0639060529208169
"GFAP","P14136",0.439675416120641,"3.50647311279245","4.52170923722815","70240.8565270973","83366.347926781",0.581642899880077,1,-0.171314582313967
"KIF5C","O60282",0.336486120623487,"2.91462625536519","1.86131136182673","1144.43291526633","1290.24750463383",0.510306298956614,1,-0.119924820217761
"TPR","P12270",0.157661884494942,"3.68031024592639","5.31703167884277","1345.79591832166","961.071557582974",0.316574423802935,1,0.336692010065542
"RANBP2","P49792",0.0225620280787828,"3.58788299690013","5.0997050343095","1332.94111618932","816.779923811211",0.121099462998001,1,0.489773457828545
"HSPA1B","P0DMV9",0.237314466494429,"4.22378559307171","5.16949029067596","9622.73248854539","7023.62781444518",0.418924894229715,1,0.314848399577493
"KALRN","O60229",0.00205225463292048,"0.556209859893755","1.96813009852249","922.874002761635","354.722670787055",0.0467573550286843,1,0.956156441678745
"CIT","O14578",0.509183593473833,"4.62238870569329","5.14071473366734","1524.18542884973","2608.04437141755",0.6535848693771,1,-0.53714053516349
"DHX9","Q08211",0.00506565602026407,"3.48594088857377","5.50803546423565","4329.0757582675","1329.29125445748",0.0632055717073858,1,1.18070815967278
"SNAP25","P60880",0.370227289908598,"1.66313932582843","2.51867738476566","4188.4661404447","5743.05578128185",0.534881005683738,1,-0.315656844106314
"DCLK1","O15075",0.144025980970511,"0.813774514983088","2.5980940408084","1093.24295170391","2528.11874305825",0.306473889739576,1,-0.838326982141523
"LMO7","Q8WWI1",0.0255283148966803,"6.2301827594124","3.26613166872591","906.614514996706","1197.50209016354",0.127409498893432,1,-0.278275725979468
"SORBS1","Q9BX66",0.175602500938357,"3.84640354763383","3.95400171796661","720.262262700038","2357.4348722397",0.342711564212441,1,-1.18571398891696
"MSN","P26038",0.295745783094456,"3.99060230393733","4.67449879257189","3459.97545686497","2758.29152271776",0.466564468157633,1,0.226650021099809
"ARHGEF2","Q92974",0.0164374109819138,"0.92066014449279","2.3075856907489","1062.10792944498","1491.84388692498",0.110092903483995,1,-0.339757316743624
"SIPA1L1","O43166",0.0057003658167348,"0.337131057198203","2.65209514470287","826.40864960068","661.809921658348",0.0665851241146256,1,0.222110997049872
"HNRNPM","P52272",0.0140065481113679,"3.49188484424782","5.36041098254546","6636.21725243813","2551.00048270363",0.106149133666663,1,0.956056481873961
