"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"SPTAN1","Q13813","3.16166980114786","32509.2793408567","0.120585439800909","0.0310845784821532","-652.649749970939","-32502.7274481037",0.559866088297269,1
"PLEC","Q15149","3.43849210313651","30950.1410408729","0.0511027314541117","0.0479097274783073","-9054.67180665604","-29596.0157609715",0.449175189631528,1
"ANK2","Q01484","1.40613676249905","2320.58913742449","0.91615280032197","0.00474630988215931","2289.20134893617","380.38287127755",0.973271196095897,1
"DYNC1H1","Q14204","3.31731351718081","22420.2954645356","0.0104303184198562","0.0364497859898958","-3919.46999742823","-22075.04028663",0.30298330160876,1
"SPTBN1","Q01082","2.9609263986601","21524.643028937","0.116786144378156","0.0273870738162797","3867.65600683284","-21174.3121384373",0.551760554299368,1
"SYNE1","Q8NF91","3.17235559494046","3909.7348305264","0.0406853209502974","0.0191465988252566","-120.255973648735","-3907.88497090602",0.422544418215883,1
"MACF1","Q9UPN3","2.43794032322438","787.028709821998","0.764562877431303","0.00334365892753296","509.212959004096","-600.096952555478",0.922101300238957,1
"AHNAK","Q09666","3.57927571802748","17828.9386846467","0.249157930611341","0.0601372205413844","-7556.65432037191","-16148.3135374346",0.681511188961391,1
"MAP1B","P46821","2.74525740826063","26667.7217987581","0.00634113961330973","0.042281750066105","10294.814583748","-24600.4914305021",0.256002579122016,1
"MAP2","P11137","2.69602575397807","14581.8918152548","0.250769387100924","0.0285749225799078","6284.35063546535","-13158.2105927182",0.681806538206896,1
"DST","Q03001","4.04192304258383","4718.25895076048","0.0464541773219663","0.0259641163604424","-3696.90800441523","-2931.69553898797",0.438956492499356,1
"BSN","Q9UPA5","0.706572674682847","7652.59837629318","0.0465137444990753","0.0411530520011007","4968.30252654525","5820.50100193868",0.438956492499356,1
"MAP1A","P78559","3.41434487857426","13722.760200982","0.0252868020128494","0.0409726546249972","-3696.67745313843","-13215.4728761825",0.380672100585341,1
"CLTC","Q00610","2.53128921783318","2326.12185841302","0.93706400010293","0.00462358619650934","1333.13799052659","-1906.19673654153",0.979692011881763,1
"TLN2","Q9Y4G6","2.93291000184595","3897.61436880437","0.392955559969375","0.0207002592173715","807.473882523349","-3813.05437896616",0.763302080739254,1
"SPTBN2","O15020","2.37234673962146","2870.82043724475","0.207404218648621","0.0159004329024862","1996.92453632369","-2062.4990616072",0.646646348886121,1
"PCLO","Q9Y6V0","1.4248813272177","2894.54880121546","0.260882871241429","0.0214355365477542","2863.78924493518","420.860930963453",0.689711323085736,1
"AKAP12","Q02952","3.69264859823536","8318.24745585399","0.0968530443949575","0.0467405516826308","-4355.32752885184","-7086.91490376783",0.521970094768831,1
"ANK3","Q12955","3.84873662345074","2675.14316683434","0.162337985710864","0.0226993753138996","-1737.94745025664","-2033.69850843406",0.606370372745349,1
"MYH10","P35580","2.70620180188628","2371.61224052667","0.623658561447581","0.00981868479594202","1000.26261179914","-2150.35330279763",0.867519227568139,1
"RYR2","Q92736","0.200401692750939","1835.63603809426","0.254413369625443","0.0183624399991831","365.40721737785","1798.89889372321",0.685748903157369,1
"MYH9","P35579","3.62566127669677","5464.61248158436","0.348541216140528","0.0257512385434282","-2543.14426189335","-4836.77649236415",0.743391572269358,1
