"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"SMAD4 (human)",0.2817950947217,1.09254796105273,1.38379402840503,"['SERPINA3', 'SRXN1', 'IFI35', 'SLC2A4', 'IFI44L', 'LFNG', 'ENDOU', 'ZFP36', 'TRIM29', 'C1RL', 'PIM3', 'KIF21B', 'EPHB1', 'GPR39', 'PAQR6', 'TLE2', 'ST6GAL2', 'IZUMO4', 'APOBEC2', 'KCND3', 'FAM118A', 'ABCC9', 'ITPKC', 'TMBIM1', 'EMID1', 'PDZRN4', 'EPHA2', 'C17ORF58', 'AMIGO2', 'ATP2C2', 'SLC5A3', 'NDRG1', 'TTN', 'CYP3A7', 'NEU4', 'NNAT', 'RRS1', 'PLCG2', 'HMOX1', 'FSD2', 'BEND7', 'CACNG2', 'VASP', 'SEMA4A', 'HHATL', 'EGR3', 'BDNF', 'EGF', 'BTBD18', 'KCNJ14', 'AHNAK2', 'TDRD9', 'ORMDL1', 'VEGFA', 'RPS26', 'DNAJA1', 'PI15', 'PDCD4', 'IFT27', 'PTPN7']",0.917902487519789,0,0,60,"SMAD4",0.917902487519789,0.00948094290923484,0.116973986396078,NA,NA,NA,0.287455315256369,0.520685830140524,0.000285580676067794,0.720856604656473,0.106149133666663,0.004162226266235
"RORA 1 (human)",0.287027982577398,1.52029428268595,1.89759417937124,"['ADAM12', 'TRIM47', 'NRG1', 'PNPLA6']",0.917902487519789,0,0,4,"RORA 1",0.917902487519789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETS1 (mouse)",0.290360123650847,1.08863800144127,1.34624602677559,"['IFITM2', 'IRS1', 'PIK3CD', 'PTPRJ', 'PIK3C2A', 'ENDOU', 'GLIPR1', 'CHEK2', 'MAEL', 'ENPP3', 'TMSB10', 'DLGAP2', 'YWHAG', 'TSTD1', 'KCND3', 'HGF', 'ACTN1', 'PCDHGA1', 'BGN', 'FRMD4A', 'KCNAB1', 'ANO6', 'CARTPT', 'RBP4', 'VGF', 'PPP1R3C', 'CHDH', 'FKBP5', 'CDKL1', 'CEBPB', 'IGSF1', 'PON1', 'AMIGO2', 'SEZ6', 'GMPR', 'NOD1', 'U2AF1', 'VWCE', 'ATP2C2', 'GRAMD4', 'RANBP3L', 'DNAJB4', 'SLC19A3', 'PLCG2', 'GSG1L', 'HES1', 'UBE2B', 'GADD45A', 'GINS3', 'ABCA3', 'WNT7B', 'EPHX1', 'PCDHGC3', 'PLEKHA5', 'NFATC1', 'HIPK3', 'VEGFA', 'CAMK4', 'IFT27', 'RAD18']",0.917902487519789,0,0,60,"ETS1",0.917902487519789,0.0156428596999644,0.150616406740291,0.978312494874171,0.979049368808173,0.202372687093578,0.475838549619109,0.402592110990639,NA,NA,NA,NA
"RELA (human)",0.292510867205759,1.06454205187979,1.30859200075925,"['SEMA5A', 'IFITM3', 'PNMT', 'STEAP3', 'IFITM2', 'CSF1', 'CCNF', 'IFI35', 'SAT1', 'ELK3', 'RASSF3', 'TRIM29', 'PLCE1', 'OIP5', 'SAMD11', 'STARD3', 'ST6GAL2', 'SP110', 'IL1R1', 'ACTN1', 'EBF1', 'ZNF98', 'MMD2', 'PSG8', 'BCAM', 'RNF125', 'NUPR1', 'RIN2', 'FKBP5', 'EPHA2', 'SLC22A3', 'NUMBL', 'CHRNA4', 'WDR64', 'NDRG1', 'SOCS3', 'PRKAR2B', 'NACC2', 'RHPN1', 'PLCG2', 'SLC38A2', 'RHBDL2', 'BCL2L14', 'CD99', 'TMEM132D', 'VASP', 'HHATL', 'EGR1', 'XBP1', 'EGR3', 'HTR1E', 'FZD5', 'ABCA3', 'FZD9', 'PYCR1', 'NFATC1', 'NFKB2', 'BCL6', 'SLC26A8', 'RADIL', 'FGFR3', 'MYD88', 'PCSK1', 'PLEKHF1', 'C2CD2', 'PIK3CD', 'NRARP', 'RBM3', 'GLIPR2', 'NFKBIZ', 'RSPO3', 'A4GALT', 'C16ORF74', 'HSP90AA1', 'SLC39A14', 'DUSP22', 'ACTA2', 'MRAS', 'VSNL1', 'PALLD', 'CHI3L1', 'MAPRE2', 'RGS17', 'PPM1M', 'ATP1A4', 'HSD17B6', 'ZNF69', 'APOL6', 'PTCHD1', 'TRIM47', 'RPRML', 'HES1', 'FSD2', 'CD58', 'HES5', 'HES4', 'GABRA2', 'ZNF221', 'SEMA4A', 'HSD3B7', 'EGF', 'WNT7B', 'LIMK2', 'SAMD4A', 'ARID3A', 'PSMB9', 'TPPP3', 'SHKBP1', 'PNPLA3', 'PNPLA6', 'LTBR', 'PTPN7']",0.917902487519789,0,0,112,"RELA",0.917902487519789,0.170613102480137,0.0381971641795291,0.812473391339179,0.809723004699918,0.635341513978271,0.980010464437628,0.938948986662441,0.824840308810098,0.811313715497116,NA,0.996681573002696
"SP4 (human)",0.297007464401091,1.6338688085676,1.98351347865935,"['NEK5', 'SYTL4', 'VEGFA']",0.917902487519789,0,0,3,"SP4",0.917902487519789,0.0302861397899327,0.0987501514385667,NA,NA,NA,0.224068438435903,0.359908427175991,NA,NA,NA,NA
"NR2F1 (mouse)",0.29779246528908,1.12490465293669,1.36266276836327,"['DYRK3', 'CLIC4', 'SRXN1', 'SHC1', 'HSD17B6', 'TCEAL7', 'PLN', 'NEUROD6', 'C1QTNF7', 'NNAT', 'CDH23', 'GNRHR', 'OIP5', 'CACNG2', 'DLGAP2', 'SLC38A2', 'RAI2', 'FZD1', 'PAQR6', 'FZD5', 'BDNF', 'LIMK2', 'F11', 'SLC39A11', 'TDRD9', 'GFAP', 'BHLHE40', 'HIST1H4H', 'KCNQ4', 'ITM2A']",0.917902487519789,0,0,30,"NR2F1",0.917902487519789,0.426387902390956,0.524363103228266,NA,NA,NA,0.034759931424908,0.0703404928646255,0.891162856673555,0.73866648675633,NA,0.217321985134514
"RORB (mouse)",0.29779246528908,1.12490465293669,1.36266276836327,"['DYRK3', 'CLIC4', 'SRXN1', 'SHC1', 'HSD17B6', 'TCEAL7', 'PLN', 'NEUROD6', 'C1QTNF7', 'NNAT', 'CDH23', 'GNRHR', 'OIP5', 'CACNG2', 'DLGAP2', 'SLC38A2', 'RAI2', 'FZD1', 'PAQR6', 'FZD5', 'BDNF', 'LIMK2', 'F11', 'SLC39A11', 'TDRD9', 'GFAP', 'BHLHE40', 'HIST1H4H', 'KCNQ4', 'ITM2A']",0.917902487519789,0,0,30,"RORB",0.917902487519789,0.00015709008160046,0.00202436975484651,0.999138432879293,0.999012662045551,0.0225027526139709,0.631769014353864,0.335068710197761,NA,NA,NA,NA
"MIR138 (human)",0.302054084504129,1.09090095181606,1.30597119070543,"['PNMT', 'ITPRIP', 'PLEKHF1', 'HSPB2', 'NRARP', 'SLC2A4', 'BACH2', 'AKAP12', 'DOCK11', 'TCP11L2', 'HIST1H2AC', 'CALN1', 'HS3ST3B1', 'ST6GAL2', 'CHST7', 'BGN', 'CLDN4', 'TMBIM1', 'S100A6', 'FAM20C', 'CRYAB', 'SHANK2', 'PFN2', 'COLEC12', 'LAMA5', 'NRN1', 'IER5L', 'PRKX', 'HSD17B6', 'HSD17B8', 'PDLIM2', 'PTCHD1', 'CD59', 'METTL7B', 'BCL2L14', 'CCR10', 'GABRA2', 'HHATL', 'EGR3', 'GADD45A', 'EPHX1', 'KCNJ14', 'SAMD4A', 'TM6SF1', 'BCL6', 'FXYD3', 'FASN', 'CAMK4', 'APOC1', 'PNPLA6', 'FGFR3']",0.917902487519789,0,0,51,"MIR138",0.917902487519789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SREBF2 (human)",0.302813191759106,1.08960101292875,1.30168007418081,"['PNMT', 'SERPINA3', 'C2CD2', 'FAM89A', 'PIK3CD', 'LFNG', 'DOCK11', 'ADAMTS1', 'PLCE1', 'KIF21B', 'PDE8B', 'RSPO4', 'HS3ST3B1', 'ARG2', 'ACTN1', 'SLC39A11', 'MMD2', 'TNFRSF1A', 'BACE2', 'BCAM', 'ACAP1', 'VGF', 'SPATA12', 'SERPING1', 'PIGM', 'NUPR1', 'DNASE1L1', 'SLC43A3', 'DDN', 'NEU4', 'NKAIN3', 'PDLIM2', 'DNAJB5', 'SLC19A3', 'RELT', 'GABRA2', 'VASP', 'EGR3', 'RASL10A', 'RBPMS', 'ARHGEF37', 'CMTM5', 'KCNJ14', 'DGAT2L6', 'KLF2', 'NFKB2', 'DNAJA1', 'BCL6', 'TNIP2', 'IFT27', 'CD9', 'RADIL']",0.917902487519789,0,0,52,"SREBF2",0.917902487519789,0.0109819432861766,0.0403003510992183,NA,NA,NA,0.676370131301043,0.659441524609709,0.662497897646215,0.766827006063644,NA,0.956046951480586
"USF1 (mouse)",0.307508672541982,1.10224792666958,1.29982805961483,"['PFKFB2', 'SNAP25', 'SLC22A6', 'DYRK3', 'IRS1', 'STX19', 'CCNF', 'SLC1A2', 'TNFRSF11B', 'NOD1', 'IL1RAP', 'GLIPR1', 'LIPH', 'DNAJB4', 'TRIM47', 'RPRML', 'METTL7B', 'RXRG', 'TRPM4', 'TEAD3', 'SEMA4A', 'SLC14A2', 'CMTM5', 'HGF', 'NFATC2', 'NFATC1', 'TMC7', 'ABCC9', 'PSMB9', 'DAAM2', 'FASN', 'CHDH', 'CHI3L1', 'RADIL', 'KIFC3', 'NUPR1', 'RIN2', 'SLC29A3', 'HSPA1A']",0.920368931552776,0,0,39,"USF1",0.920368931552776,0.00254390327296352,0.041875112458919,0.869747856287668,0.867735083596728,0.0282859115983646,0.773006489568784,0.964210770654331,NA,NA,NA,NA
