"",matched_features
Phenylalanine metabolism,cpd:C00079; hsa:221
Glycolysis or Gluconeogenesis,hsa:221; hsa:3948
"Phenylalanine, tyrosine and tryptophan biosynthesis",cpd:C00079
Histidine metabolism,hsa:221
beta-Alanine metabolism,hsa:221
Pyruvate metabolism,hsa:3948
Propanoate metabolism,hsa:3948
Cysteine and methionine metabolism,hsa:3948
Aminoacyl-tRNA biosynthesis,cpd:C00079
Arachidonic acid metabolism,hsa:240
Tyrosine metabolism,hsa:221
Drug metabolism - cytochrome P450,hsa:221
Metabolism of xenobiotics by cytochrome P450,hsa:221
Steroid hormone biosynthesis,hsa:3291
