"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"E2F1","E2F1","MA0024.3","3.44119",0.000288958,0.81605,0.7698,0.0479771,12,"False",0.1227471596,NA,NA,NA,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","3.38831",0.000351195,0.881407,0.827514,0.0421297,12,"False",0.1227471596,0.05268283287503,0.0543740573207601,0.838684928213607,0.846127841581837,0.460241212242317,0.831346061001201,1
"NRF1","NRF1","MA0506.1","3.26207",0.000552085,0.910743,0.844252,0.0671729,12,"False",0.1227471596,3.58224966932471e-05,0.0648675988669415,NA,NA,NA,0.719991786825469,0.995397726935177
"ELK1","ELK1","MA0028.2","3.22985",0.000618427,0.861361,0.805366,0.0514522,12,"False",0.1227471596,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","3.16561",0.000772967,0.888408,0.840666,0.0398652,12,"False",0.1227471596,NA,NA,NA,NA,NA,NA,NA
"CTCF","CTCF","MA0139.1","3.0504",0.00114126,0.817778,0.779428,0.0376244,12,"False",0.15102674,0.0284099809550743,0.316063337380249,NA,NA,NA,0.80486262941615,0.968101601404686
"ZNF341","ZNF341","MA1655.1","2.85425",0.00215092,0.863834,0.822091,0.07215,12,"False",0.195501733846154,NA,NA,NA,NA,NA,NA,NA
"ERG","ERG","MA0474.2","2.82572",0.00235661,0.889866,0.84857,0.0392819,12,"False",0.195501733846154,NA,NA,NA,NA,NA,NA,NA
"ERF","ERF","MA0760.1","2.81949",0.00240225,0.872141,0.83128,0.044437,12,"False",0.195501733846154,NA,NA,NA,NA,NA,NA,1
"ETV3","ETV3","MA0763.1","2.79687",0.00257623,0.874755,0.835857,0.0498005,12,"False",0.195501733846154,NA,NA,NA,NA,NA,NA,NA
"E2F4","E2F4","MA0470.2","2.75879",0.00289632,0.783069,0.747338,0.0480464,12,"False",0.195501733846154,NA,NA,NA,NA,NA,NA,0.985501378612174
"ETS2","ETS2","MA1484.1","2.73838",0.00308364,0.889408,0.848397,0.0474064,12,"False",0.195501733846154,0.0850434529816162,0.178498560423973,0.783060670835138,0.794110527969494,0.376129085359705,0.683920525390624,0.64381147880767
