"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"HOXD9","HOXD9","MA0913.2","-0.763931",0.778295,0.810881,0.814017,0.0642692,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"VAX1","VAX1","MA0722.1","-0.764477",0.778574,0.854399,0.857371,0.0653869,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZBTB7B","ZBTB7B","MA0694.1","-0.76831",0.779545,0.794068,0.796231,0.0424382,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RORA","RORA","MA0071.1","-0.780063",0.783272,0.820986,0.823488,0.0562461,288,"False",1,0.00026187565143236,0.0305690143925184,0.7660431599895,0.77673464209602,-0.205763872122669,0.948695976015574,1
"CLOCK","CLOCK","MA0819.1","-0.793206",0.787198,0.806167,0.808379,0.0507047,288,"False",1,0.252082832100264,0.0984799092653004,NA,NA,NA,0.642389498531967,0.918631063890852
"MEF2B","MEF2B","MA0660.1","-0.796475",0.78803,0.743699,0.747181,0.0747107,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"GATA6","GATA6","MA1104.2","-0.797355",0.788308,0.775867,0.778888,0.0655542,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"TFEB","TFEB","MA0692.1","-0.800507",0.789173,0.81918,0.821723,0.053459,288,"False",1,0.0362561204116377,0.0442397122686302,NA,NA,NA,0.95752197652685,1
"CEBPG","CEBPG","MA0838.1","-0.804918",0.790568,0.772931,0.775369,0.0542703,288,"False",1,0.269136418738359,0.267590726941234,NA,NA,NA,0.683737845799799,0.799217469169761
"Stat5a","Stat5a::Stat5b","MA0519.1","-0.816548",0.793914,0.844576,0.847036,0.0539897,288,"False",1,0.247925835921688,0.161802754295959,NA,0.892319432004325,NA,0.105132337484809,0.279167401965045
"Stat5b","Stat5a::Stat5b","MA0519.1","-0.816548",0.793914,0.844576,0.847036,0.0539897,288,"False",1,0.00932168928192519,0.0018857161028781,0.665227301400385,0.676210121770699,0.50547876843514,0.922030771616177,1
"CREB3","CREB3","MA0638.1","-0.819696",0.794668,0.758125,0.760337,0.0447324,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEIS1","MEIS1","MA1639.1","-0.820206",0.794742,0.777243,0.780327,0.0596892,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"CDX1","CDX1","MA0878.2","-0.824927",0.796081,0.780407,0.783456,0.0584941,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"TEF","TEF","MA0843.1","-0.829569",0.797493,0.767565,0.770451,0.0582733,288,"False",1,0.254751907416132,0.000853120320037845,0.601305391012551,0.606756377200644,0.913064122429104,0.506636240103034,NA
"GBX2","GBX2","MA0890.1","-0.835441",0.799154,0.828054,0.831573,0.0706527,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEF2A","MEF2A","MA0052.4","-0.842375",0.800997,0.762323,0.766248,0.0734314,288,"False",1,0.06541369124686,0.185875047569481,NA,NA,NA,0.845723552180759,0.978140588001681
"MLXIPL","MLXIPL","MA0664.1","-0.843453",0.80138,0.792495,0.795318,0.0554037,288,"False",1,0.0225276056418904,0.174093745551583,0.984929066677863,0.983926712472533,0.123438267252026,0.812712320092618,0.89202980051265
"SHOX","SHOX","MA0630.1","-0.845334",0.801864,0.853735,0.857587,0.0735936,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"GATA5","GATA5","MA0766.2","-0.849935",0.803244,0.843499,0.846353,0.0573022,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"BCL6","BCL6","MA0463.2","-0.85276",0.804101,0.73678,0.738985,0.0458217,288,"True",1,3.68677161169342e-06,0.00349031649115,0.952975179850448,0.952776802093433,0.11846914771692,0.979638759644307,1
"SMAD3","SMAD3","MA0795.1","-0.854911",0.804711,0.750279,0.752813,0.0528551,288,"False",1,0.144756738356305,0.623171646413718,NA,NA,NA,0.96912235183743,1
"BARHL1","BARHL1","MA0877.2","-0.857763",0.805344,0.881482,0.884044,0.048967,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"PPARG","PPARG","MA0066.1","-0.857322",0.805474,0.739241,0.740964,0.0374983,288,"False",1,0.385032283371562,0.824902043000426,NA,NA,NA,0.49299440509704,0.767795818956056
"HES6","HES6","MA1493.1","-0.86147",0.806274,0.798937,0.801229,0.0412027,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"UNCX","UNCX","MA0721.1","-0.863901",0.807066,0.851529,0.855265,0.0721481,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"PAX3","PAX3","MA1546.1","-0.8642",0.807077,0.747109,0.749015,0.0352897,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXG1","FOXG1","MA0613.1","-0.871059",0.80904,0.82173,0.825753,0.0775538,288,"False",1,0.00215328889663029,0.0543892017785555,0.69954447390401,0.709593673559342,-0.289453944636539,0.408662072333748,NA
"MNX1","MNX1","MA0707.1","-0.876779",0.810544,0.854248,0.857582,0.061886,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"POU3F3","POU3F3","MA0788.1","-0.87813",0.81085,0.757835,0.761638,0.0679,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"TEAD2","TEAD2","MA1121.1","-0.879211",0.811197,0.799305,0.802032,0.0502571,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"SRY","SRY","MA0084.1","-0.881317",0.811755,0.871286,0.874533,0.059235,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ARGFX","ARGFX","MA1463.1","-0.882533",0.812156,0.770793,0.775068,0.0811896,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"NKX6-1","NKX6-1","MA0674.1","-0.891266",0.814499,0.859737,0.863258,0.0658504,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEIS2","MEIS2","MA1640.1","-0.892589",0.814857,0.749912,0.753406,0.0653748,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"GBX1","GBX1","MA0889.1","-0.894739",0.815513,0.813811,0.817305,0.0680806,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"MEF2C","MEF2C","MA0497.1","-0.897684",0.816174,0.799388,0.802844,0.0626595,288,"False",1,0.00020625221679259,0.00656523538801468,NA,NA,NA,0.569762939563036,0.595459985130088
"FOXP2","FOXP2","MA0593.1","-0.901332",0.817216,0.821643,0.825244,0.0676112,288,"False",1,0.0737066025760739,0.45200925380439,0.894639597731492,0.900062076485166,-0.201473352115982,0.959799575518654,1
"NFATC2","NFATC2","MA0152.1","-0.902766",0.817627,0.900316,0.903213,0.0551927,288,"False",1,0.000927909687317297,0.000252875193980379,0.863019468222488,0.868419617666429,0.177792218201602,0.891667321571463,1
"POU3F2","POU3F2","MA0787.1","-0.907235",0.818652,0.763328,0.767246,0.0677702,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"TBX2","TBX2","MA0688.1","-0.910771",0.819674,0.816954,0.819378,0.0440247,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RAX2","RAX2","MA0717.1","-0.912379",0.820102,0.85538,0.859182,0.0691077,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"EN1","EN1","MA0027.2","-0.919098",0.821839,0.862037,0.86567,0.0645828,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"PAX6","PAX6","MA0069.1","-0.920334",0.822208,0.765862,0.767996,0.0388752,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZSCAN29","ZSCAN29","MA1602.1","-0.923927",0.823184,0.782015,0.784442,0.0449501,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Dlx1","Dlx1","MA0879.1","-0.929524",0.824527,0.852428,0.856185,0.06499,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXA6","HOXA6","MA1497.1","-0.931936",0.825322,0.844598,0.84754,0.0556865,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"BHLHE41","BHLHE41","MA0636.1","-0.933868",0.825752,0.772382,0.775543,0.0576508,288,"False",1,0.454498244132381,0.530467525093203,NA,NA,NA,0.801307705087362,0.870237454210262
"HOXB6","HOXB6","MA1500.1","-0.934856",0.825949,0.884881,0.887805,0.0516044,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"NKX6-2","NKX6-2","MA0675.1","-0.935027",0.825957,0.865849,0.869819,0.0685873,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"LBX1","LBX1","MA0618.1","-0.938945",0.827101,0.842291,0.845877,0.0664897,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Rxra","Rxra","MA0512.2","-0.943951",0.828353,0.720365,0.722924,0.0464292,288,"False",1,0.139761153277898,0.721367296732927,NA,NA,NA,0.749963235226969,0.907141144164529
"RARA","RARA::RXRA","MA0159.1","-0.948394",0.829195,0.795619,0.797519,0.0285759,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RXRA","RARA::RXRA","MA0159.1","-0.948394",0.829195,0.795619,0.797519,0.0285759,288,"False",1,0.139761153277898,0.721367296732927,NA,NA,NA,0.749963235226969,0.907141144164529
"SOX14","SOX14","MA1562.1","-0.948297",0.829362,0.775826,0.778832,0.0513619,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZNF384","ZNF384","MA1125.1","-0.949094",0.829478,0.795162,0.801516,0.102804,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"SOX12","SOX12","MA1561.1","-0.952908",0.83053,0.762293,0.765074,0.0471964,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Hmx1","Hmx1","MA0896.1","-0.952591",0.830577,0.755431,0.758219,0.0507839,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RXRB","RXRB","MA0855.1","-0.958844",0.832152,0.71712,0.719728,0.0470566,288,"False",1,0.0264005613470877,0.598985031450657,0.786366199610922,0.796315113829642,-0.761333291455104,0.661988387176816,0.957291793147474
"NFATC1","NFATC1","MA0624.1","-0.963438",0.833268,0.877006,0.879874,0.0504611,288,"False",1,0.0528481056981024,0.660443026516999,0.787186833706947,0.797162435572516,-0.701672395276373,0.988597853062605,1
"HOXA2","HOXA2","MA0900.2","-0.964351",0.833544,0.828739,0.833052,0.0777064,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Ddit3","Ddit3::Cebpa","MA0019.1","-0.968932",0.834503,0.82363,0.826143,0.0405275,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Cebpa","Ddit3::Cebpa","MA0019.1","-0.968932",0.834503,0.82363,0.826143,0.0405275,288,"False",1,0.095210391575564,0.128137370439723,0.710804652961764,0.722015162730796,0.259513012100828,0.983744787855001,1
"EMX1","EMX1","MA0612.2","-0.975008",0.836183,0.830227,0.834392,0.0734994,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"RFX2","RFX2","MA0600.2","-0.985317",0.838811,0.713736,0.716721,0.0543261,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Msx3","Msx3","MA0709.1","-0.986176",0.838866,0.840735,0.845244,0.0756567,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"NFATC3","NFATC3","MA0625.1","-0.989666",0.839776,0.858753,0.861871,0.0537262,288,"False",1,0.00574131169356228,0.364692903683268,NA,NA,NA,0.945828923338707,1
"RORA","RORA","MA0072.1","-1.00225",0.842825,0.761663,0.76483,0.053662,288,"False",1,0.00026187565143236,0.0305690143925184,0.7660431599895,0.77673464209602,-0.205763872122669,0.948695976015574,1
"Pou5f1","Pou5f1::Sox2","MA0142.1","-1.00998",0.844589,0.745648,0.749041,0.0540433,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Sox2","Pou5f1::Sox2","MA0142.1","-1.00998",0.844589,0.745648,0.749041,0.0540433,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"Ptf1a","Ptf1a","MA1620.1","-1.01316",0.845295,0.829927,0.833191,0.0501449,288,"False",1,NA,NA,NA,NA,NA,NA,NA
"SMAD5","SMAD5","MA1557.1","-1.01751",0.846518,0.779015,0.781728,0.0461945,288,"False",1,0.245245971448242,0.878756380508236,NA,NA,NA,0.340391772616767,0.448940582493931
