"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ZFP57","ZFP57","MA1583.1","4.49662",3.39549e-06,0.851514,0.822293,0.0495906,72,"False",0.00269601906,NA,NA,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","3.97454",3.48438e-05,0.79162,0.7698,0.0397979,72,"False",0.0138329886,NA,NA,NA,NA,NA,NA,NA
"E2F2","E2F2","MA0864.2","3.76375",8.25686e-05,0.775071,0.755513,0.0424999,72,"False",0.01724700995,NA,NA,NA,NA,NA,NA,NA
"ZBTB33","ZBTB33","MA0527.1","3.74983",8.68867e-05,0.796712,0.772676,0.0610695,72,"False",0.01724700995,NA,NA,NA,NA,NA,NA,NA
"ZBED1","ZBED1","MA0749.1","3.61877",0.000144824,0.719428,0.700738,0.0557247,72,"False",0.0229980512,NA,NA,NA,NA,NA,NA,NA
"NRF1","NRF1","MA0506.1","3.38316",0.0003546,0.872424,0.844252,0.065842,72,"False",0.0469254,3.58224966932471e-05,0.0648675988669415,NA,NA,NA,0.719991786825469,0.995397726935177
"Gmeb1","Gmeb1","MA0615.1","3.31335",0.00045677,0.83432,0.817285,0.0387783,72,"False",0.0518107685714286,NA,NA,NA,NA,NA,NA,1
"E2F4","E2F4","MA0470.2","3.2512",0.000568851,0.764541,0.747338,0.0428236,72,"False",0.05645846175,NA,NA,NA,NA,NA,NA,0.985501378612174
"HINFP","HINFP","MA0131.2","3.11764",0.000904105,0.840125,0.819262,0.0507353,72,"False",0.075819457,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","3.10141",0.000954905,0.873031,0.852902,0.0502638,72,"False",0.075819457,0.0180179403871596,0.365325373394781,NA,NA,NA,0.979638759644307,1
"GLIS1","GLIS1","MA0735.1","2.93909",0.00163238,0.717008,0.701599,0.0421683,72,"False",0.113499653333333,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","2.92408",0.00171536,0.849949,0.829929,0.0509408,72,"False",0.113499653333333,0.000186674779545553,0.129715591367388,0.833385288013133,0.841453210022725,-0.368486136769713,0.903170878061804,0.995397726935177
"ELK3","ELK3","MA0759.1","2.80716",0.00248141,0.845755,0.827514,0.0505633,72,"False",0.146464416,0.05268283287503,0.0543740573207601,0.838684928213607,0.846127841581837,0.460241212242317,0.831346061001201,1
"TFAP2A","TFAP2A","MA0872.1","2.79046",0.00261726,0.82461,0.804318,0.0498984,72,"False",0.146464416,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","2.77171",0.00276696,0.857443,0.835763,0.063886,72,"False",0.146464416,NA,NA,NA,NA,NA,NA,NA
"ELK1","ELK1","MA0028.2","2.74938",0.00296531,0.824839,0.805366,0.0548309,72,"False",0.14715350875,NA,NA,NA,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","2.68443",0.0036088,0.89171,0.860109,0.0921212,72,"False",0.16651371,NA,NA,NA,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","2.66955",0.00377487,0.87047,0.849665,0.0584506,72,"False",0.16651371,NA,NA,NA,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","2.63635",0.00416105,0.868006,0.851358,0.0516411,72,"False",0.168905351428571,0.00147000234799666,0.0116377514333398,0.855783435227596,0.861569328569659,0.309481241470309,0.942754260117685,0.985501378612174
"TFAP2C","TFAP2C","MA0815.1","2.62608",0.00429746,0.828197,0.809526,0.0490225,72,"False",0.168905351428571,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","2.61232",0.00446727,0.870038,0.853063,0.0518462,72,"False",0.168905351428571,0.034707610349347,0.114072584070988,NA,0.947322784731604,NA,0.916598761890717,1
"ZNF148","ZNF148","MA1653.1","2.50475",0.00609371,0.873781,0.850645,0.0698538,72,"False",0.219927533636364,0.0719421351824657,0.593364751702459,NA,NA,NA,0.807372254627712,0.995397726935177
"TFAP2B","TFAP2B","MA0813.1","2.46315",0.00685608,0.832852,0.816155,0.0465888,72,"False",0.2359817625,NA,NA,NA,NA,NA,NA,NA
"MAZ","MAZ","MA1522.1","2.44874",0.00713295,0.899941,0.877914,0.0657024,72,"False",0.2359817625,0.302148443241299,0.194181902338888,NA,NA,NA,0.983065549235966,1
