"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"Wt1","Wt1","MA1627.1","3.94182",3.89909e-05,0.846689,0.828844,0.0580223,188,"False",0.0309587746,NA,NA,NA,NA,NA,NA,NA
"ZNF148","ZNF148","MA1653.1","3.44459",0.000277409,0.870367,0.850645,0.0762261,188,"False",0.1099362872,0.0719421351824657,0.593364751702459,NA,NA,NA,0.807372254627712,0.995397726935177
"MAZ","MAZ","MA1522.1","3.21783",0.000628782,0.895856,0.877914,0.0742508,188,"False",0.1099362872,0.302148443241299,0.194181902338888,NA,NA,NA,0.983065549235966,1
"Znf281","Znf281","MA1630.1","3.2131",0.000638057,0.834744,0.819408,0.0657936,188,"False",0.1099362872,NA,NA,NA,NA,NA,NA,NA
"KLF16","KLF16","MA0741.1","3.18986",0.000692294,0.886316,0.870747,0.0666338,188,"False",0.1099362872,NA,NA,NA,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","3.08786",0.000981768,0.882643,0.860109,0.100279,188,"False",0.117413317142857,NA,NA,NA,NA,NA,NA,NA
"KLF5","KLF5","MA0599.1","3.07276",0.00103513,0.941334,0.92756,0.0592239,188,"False",0.117413317142857,NA,NA,NA,NA,NA,NA,NA
"EGR1","EGR1","MA0162.4","2.87456",0.0019815,0.827117,0.812172,0.0676029,188,"False",0.188374735555556,NA,NA,NA,NA,NA,NA,NA
"SPIB","SPIB","MA0081.2","2.84981",0.00213523,0.787763,0.777921,0.0488246,188,"False",0.188374735555556,NA,NA,NA,NA,NA,NA,NA
"NFIB","NFIB","MA1643.1","2.788",0.00259115,0.721162,0.711735,0.0477816,188,"False",0.20573731,0.808193715473083,2.07582449117581e-05,0.229686516960842,0.224662653601413,1.99090663944404,0.909789492517843,1
"E2F6","E2F6","MA0471.2","2.71075",0.0033017,0.863656,0.852237,0.0515841,188,"False",0.238322709090909,NA,NA,NA,NA,NA,NA,NA
"SP8","SP8","MA0747.1","2.58187",0.00482241,0.880314,0.870403,0.0523197,188,"False",0.307723774285714,NA,NA,NA,NA,NA,NA,NA
"KLF11","KLF11","MA1512.1","2.55942",0.0051433,0.876661,0.865068,0.0629045,188,"False",0.307723774285714,NA,NA,NA,NA,NA,NA,NA
"SP9","SP9","MA1564.1","2.54119",0.00542586,0.877411,0.865208,0.0649647,188,"False",0.307723774285714,NA,NA,NA,NA,NA,NA,NA
"SP3","SP3","MA0746.2","2.47493",0.00654558,0.864463,0.852593,0.0663223,188,"False",0.346479368,0.00668403130228064,0.273407951218111,NA,NA,NA,0.613704027134799,0.636816781010561
"SP4","SP4","MA0685.1","2.42509",0.00751658,0.80288,0.791926,0.0637511,188,"False",0.361933223529412,0.0347569114072693,0.795992268780344,0.693506164981703,0.704989586522857,-1.08973556750617,0.984215435344917,1
"ETV4","ETV4","MA0764.2","2.4136",0.0077492,0.894798,0.883767,0.0667931,188,"False",0.361933223529412,NA,NA,NA,NA,NA,NA,NA
"KLF4","KLF4","MA0039.4","2.37048",0.00873522,0.89155,0.879556,0.0704616,188,"False",0.364070438,NA,NA,NA,NA,NA,NA,NA
"SPI1","SPI1","MA0080.5","2.36391",0.00888701,0.759706,0.751331,0.050239,188,"False",0.364070438,0.113612884367349,0.569181732892748,NA,NA,NA,0.984215435344917,1
"TFDP1","TFDP1","MA1122.1","2.35381",0.00917054,0.861032,0.849665,0.0597902,188,"False",0.364070438,NA,NA,NA,NA,NA,NA,NA
