"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"ELK1","ELK1","MA0028.2","10.5439",1.62641e-26,0.845512,0.805366,0.0699958,251,"False",1.29136954e-23,0.00158906358864242,0.00303798375119974,0.574064472595197,0.575660380656649,0.486387404755736,0.879801610123535,0.852046911199861
"ELK3","ELK3","MA0759.1","10.288",2.48535e-25,0.863448,0.827514,0.0633159,251,"False",9.8668395e-23,NA,NA,NA,NA,NA,NA,NA
"FEV","FEV","MA0156.2","10.1083",1.64404e-24,0.874135,0.840666,0.0585056,251,"False",3.77990052e-22,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","10.094",1.98709e-24,0.888095,0.852902,0.0585355,251,"False",3.77990052e-22,0.379764053330191,0.180806311354717,NA,NA,NA,0.648036873391849,0.597582024855895
"FLI1","FLI1","MA0475.2","10.0723",2.38029e-24,0.863411,0.82927,0.0599177,251,"False",3.77990052e-22,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","9.86547",1.99621e-23,0.878441,0.846278,0.0556902,251,"False",2.64165123333333e-21,0.0277094862463311,0.00364508157153728,0.645169618814241,0.646783083282732,0.586921721259125,0.92349159644547,0.756565992420676
"ERG","ERG","MA0474.2","9.70573",9.71415e-23,0.879706,0.84857,0.0554616,251,"False",1.10186215714286e-20,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","9.33576",3.54712e-21,0.885654,0.853063,0.0595885,251,"False",3.5205166e-19,1.55710763469331e-65,3.92862471590314e-30,0.566279651364164,0.567394843946028,-0.0991789326619443,0.522678906783712,0.403126347872561
"ETV6","ETV6","MA0645.1","9.25824",7.64924e-21,0.882752,0.851358,0.0549316,251,"False",6.74832951111111e-19,0.00254558615242309,0.11529977794899,NA,NA,NA,0.0985824253984127,0.459487113852795
"ERF","ERF","MA0760.1","9.23158",9.11067e-21,0.860658,0.83128,0.0576135,251,"False",7.23387198e-19,0.0300425814501729,0.166927784293228,0.605677040606972,0.606958728307776,0.614180698836712,0.163773530339404,0.119192288847875
"ETS2","ETS2","MA1484.1","9.14361",2.10519e-20,0.878462,0.848397,0.058505,251,"False",1.51956441818182e-18,0.44585198642316,0.383108184826108,NA,NA,NA,0.338498973129538,0.576760118198673
"ZBTB7A","ZBTB7A","MA0750.2","8.96313",1.18441e-19,0.862887,0.829929,0.0595161,251,"False",7.83684616666667e-18,1.02652146461004e-08,4.29478012571766e-07,0.496541238105794,0.499031780348777,0.401455401368414,0.0134068361578396,0.404503886701976
"ETV2","ETV2","MA0762.1","8.87099",2.62593e-19,0.833073,0.805106,0.0546363,251,"False",1.60383724615385e-17,NA,NA,NA,NA,NA,NA,NA
"ELF2","ELF2","MA1483.1","8.50998",6.52049e-18,0.818214,0.790052,0.0564951,251,"False",3.69804932857143e-16,3.67868709383811e-12,0.000550557409944469,NA,NA,NA,0.5868245754344,0.908071014187523
"ETV3","ETV3","MA0763.1","8.4835",7.79498e-18,0.861769,0.835857,0.056592,251,"False",4.12614274666667e-16,0.00250706931348498,0.00184111286956937,0.799273361705527,0.799619672407888,0.369060773288238,0.371919648238596,0.329456421841823
"ZBTB33","ZBTB33","MA0527.1","8.29683",4.01364e-17,0.801241,0.772676,0.0601052,251,"False",1.99176885e-15,0.0393061091653766,0.00595092762497336,0.568551551213686,0.570581068380403,0.725928074085639,0.253906250737912,0.360091955411573
"ELF4","ELF4","MA0641.1","8.18481",1.04237e-16,0.80739,0.779983,0.0573606,251,"False",4.86848105882353e-15,NA,NA,NA,NA,NA,NA,NA
"YY2","YY2","MA0748.2","7.58494",1.36189e-14,0.851873,0.821895,0.0629636,251,"False",6.00744811111111e-13,NA,NA,NA,NA,NA,NA,NA
