Gene_Symbols,Sine_Coefficient,Cosine_Coefficient,Weighted_Average,Fit_Average,Fit_Average_1,Amplitude,Amplitude_Ratio,Offset_Plus_Minus_Amplitude_Ratio,Acrophase,F_Statistic,P_Statistic,BHQ_Statistic,Bonferroni_Statistic,R_Squared
NOC2L,-0.24677103316937626,-3.5613899557264173,-127.59247904966844,28.67996662821677,-4.883513927433914,3.5699291813088525,-0.027979150557292422,0.945564750915183,3.2107727316276327,2.621259367613923,0.07476661187084865,0.11699313472854404,1.0,0.1518754213243768
KLHL17,0.018408720087711467,0.8742633672235542,12.914287327007173,7.325342492691315,0.17465452607237114,0.8744571551793346,0.06771238187883699,1.1452607126013268,0.02105315274500007,0.42319702656600094,0.6554313476386013,0.7213304508602029,1.0,0.04186923192266878
HES4,-5.344843560646659,-4.4840484717518905,60.73187114644827,20.76488989929901,1.2489681639734151,6.976678535292172,0.11487672623273329,1.259572264423224,4.014345975380029,6.583805978542895,0.001642364489122916,0.003833719984255702,1.0,0.2726455558063232
ISG15,-0.7975055606630407,-1.8715339883048163,-21.51593844261575,5.502584979228461,-0.8443288569326316,2.0343683512748134,-0.09455169044569407,0.8272321147168604,3.544414958973154,1.6680798353517265,0.19076118107997608,0.26164791015812877,1.0,0.07781282448919835
AGRN,-1.1660571219254474,0.4531855813551324,-183.93405217026634,17.59069902688355,-6.297648474910933,1.2510261319178138,-0.0068014928022123305,0.9864889099771159,5.08307086890421,0.5059500392585862,0.6035662207633987,0.6751946880451198,1.0,0.12479649912794466
C1orf159,-0.6576163798126915,7.3674271662701765,-41.36331933879512,30.576974300866787,-2.248134176239437,7.396718350274921,-0.17882313287506052,0.6966073571377507,6.194161258281492,16.357943077595213,2.1629912594356426e-7,1.0154996001089385e-6,0.0028789413663088403,0.3224974517582344
SDF4,0.1511713864660717,-4.588358112273244,-88.73189255669217,37.04485297473617,-3.9305232978571336,4.5908477381143635,-0.05173841789953032,0.90161352477195,3.1086578389612067,3.7299272912102035,0.025379330705919134,0.045305645345464544,1.0,0.17427881045067706
B3GALT6,-0.7764531520535362,-3.1048868060912524,-44.25313385832399,8.348689758402834,-1.643806988022713,3.2005002071509714,-0.07232256629321086,0.8651104274654696,3.386641474498937,22.689913607548636,9.234846221062298e-10,6.870642996217954e-9,1.2291580320233919e-5,0.43157108912579656
UBE2J2,0.21223892187568627,0.32004657573497974,-154.21940671452683,27.538737905021243,-5.679942019360877,0.38402496090572,-0.002490120855000971,0.9950321288894554,0.585564111344775,0.8754436007246682,0.41798708100277704,0.5029751422246599,1.0,0.13909699503847361
SCNN1D,-0.5887533428291332,2.2067333626295165,-30.142951617851054,10.27499927961006,-1.2630609655456608,2.2839226415171447,-0.07576970797261193,0.8591339625738171,6.022459757428073,3.931653076893905,0.020871301880182047,0.03813797748836121,1.0,0.11793036332611251
