GENE_SYMBOLS,refseq_ids
ACOT7,NM_007274
PITHD1,NM_020362
C1orf216,NM_001348691
ANKRD36B,NM_001353337
SLC6A1,NM_001348250
SLC6A6,NM_001134367
MYRIP,NM_001284423
KCNMB2,NM_001278911
UFSP2,NM_018359
REEP2,NM_001271803
GALNT10,NM_017540
RNF44,NM_014901
TBPL1,NM_001253676
CCZ1,NM_015622
BZW2,NM_001159767
STX1A,NM_001165903
SGCE,NM_001099400
GOLGA7,NM_001002296
TPD52,NM_001025252
NFIB,NM_001190737
PSMD5,NM_001270427
ARHGAP19,NM_001204300
C11orf87,NM_207645
IL18,NM_001243211
CD163L1,NM_001297650
OSGEP,NM_017807
STXBP6,NM_001304476
ADAMTS17,NM_139057
CACNG3,NM_006539
HLF,NM_001330375
CAPNS1,NM_001003962
DBP,NM_001352
COL18A1,NM_001379500
