TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
IRF4,IRF4,MA1419.1,4.24824,1.06469e-05,0.732936,0.700638,0.0518617,38.0,False,0.00719597436
FEV,FEV,MA0156.2,4.05105,2.51567e-05,0.875022,0.840666,0.0645869,38.0,False,0.00719597436
ERG,ERG,MA0474.2,3.93792,4.06103e-05,0.88093,0.84857,0.0606864,38.0,False,0.00719597436
ETV6,ETV6,MA0645.1,3.93024,4.19843e-05,0.885512,0.851358,0.0605434,38.0,False,0.00719597436
FLI1,FLI1,MA0475.2,3.91146,4.53147e-05,0.863228,0.82927,0.0653561,38.0,False,0.00719597436
ELK4,ELK4,MA0076.2,3.85868,5.6375e-05,0.887371,0.852902,0.0647673,38.0,False,0.007442434228571428
ELK1,ELK1,MA0028.2,3.82081,6.56134e-05,0.842618,0.805366,0.0791546,38.0,False,0.007442434228571428
ETS1,ETS1,MA0098.3,3.73498,9.28874e-05,0.877473,0.846278,0.0608726,38.0,False,0.008757387711111111
ELK3,ELK3,MA0759.1,3.71783,9.92651e-05,0.860769,0.827514,0.0703835,38.0,False,0.008757387711111111
CREB3L4,CREB3L4,MA1474.1,3.59696,0.000159543,0.822181,0.795119,0.052538,38.0,False,0.0126677142
ETV5,ETV5,MA0765.2,3.48209,0.000246077,0.884208,0.853063,0.0708932,38.0,False,0.01776228527272727
ELF5,ELF5,MA0136.2,3.447,0.000281634,0.889561,0.864397,0.0444166,38.0,False,0.01825650307692308
ETV2,ETV2,MA0762.1,3.43004,0.00029891,0.832806,0.805106,0.0605448,38.0,False,0.01825650307692308
IRF8,IRF8,MA0652.1,3.39689,0.000338112,0.742815,0.716154,0.0541372,38.0,False,0.01917578057142857
ZBTB33,ZBTB33,MA0527.1,3.34288,0.000410918,0.802156,0.772676,0.0655744,38.0,False,0.020636903625
ELF2,ELF2,MA1483.1,3.33988,0.000415857,0.818365,0.790052,0.0587871,38.0,False,0.020636903625
ERF,ERF,MA0760.1,3.30257,0.000474296,0.858195,0.83128,0.0648595,38.0,False,0.022152413176470587
IRF6,IRF6,MA1509.1,3.28677,0.000503696,0.818183,0.792275,0.048738,38.0,False,0.022218590222222223
Ahr,Ahr::Arnt,MA0006.1,3.21454,0.000650688,0.94702,0.913397,0.0534094,38.0,False,0.025832313599999997
Arnt,Ahr::Arnt,MA0006.1,3.21454,0.000650688,0.94702,0.913397,0.0534094,38.0,False,0.025832313599999997
GMEB2,GMEB2,MA0862.1,3.12523,0.000882839,0.839636,0.813104,0.0561874,38.0,False,0.03337972219047619
YY1,YY1,MA0095.2,3.10714,0.000936945,0.826926,0.796807,0.073722,38.0,False,0.03353128166666667
ETS2,ETS2,MA1484.1,3.08762,0.000999748,0.874401,0.848397,0.0683242,38.0,False,0.03353128166666667
ZBTB7A,ZBTB7A,MA0750.2,3.08417,0.00101354,0.858992,0.829929,0.0668172,38.0,False,0.03353128166666667
Gmeb1,Gmeb1,MA0615.1,3.04964,0.00114157,0.838859,0.817285,0.0357701,38.0,False,0.0362562632
