TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
NFIC,NFIC::TLX1,MA0119.1,-0.710577,0.761431,0.733002,0.738771,0.0482987,38.0,False,0.9808576972010178
TLX1,NFIC::TLX1,MA0119.1,-0.710577,0.761431,0.733002,0.738771,0.0482987,38.0,False,0.9808576972010178
TFAP4,TFAP4,MA0691.1,-0.712518,0.762031,0.78924,0.795801,0.054329,38.0,False,0.9808576972010178
VAX2,VAX2,MA0723.1,-0.715695,0.762986,0.848908,0.856277,0.0518273,38.0,False,0.9808576972010178
Dux,Dux,MA0611.1,-0.718914,0.764004,0.839085,0.847694,0.0696261,38.0,False,0.9808576972010178
MTF1,MTF1,MA0863.1,-0.733835,0.76855,0.724143,0.728912,0.0322567,38.0,False,0.9808576972010178
HOXB4,HOXB4,MA1499.1,-0.741316,0.770856,0.846282,0.85515,0.0712891,38.0,False,0.9808576972010178
GLI2,GLI2,MA0734.2,-0.746364,0.772379,0.759229,0.764694,0.0427468,38.0,False,0.9808576972010178
TAL1,TAL1::TCF3,MA0091.1,-0.746625,0.772456,0.807071,0.812849,0.0446643,38.0,False,0.9808576972010178
TCF3,TAL1::TCF3,MA0091.1,-0.746625,0.772456,0.807071,0.812849,0.0446643,38.0,False,0.9808576972010178
VSX1,VSX1,MA0725.1,-0.752421,0.774197,0.826534,0.836006,0.0709015,38.0,False,0.9808576972010178
NRL,NRL,MA0842.2,-0.754536,0.774861,0.773247,0.779201,0.0505697,38.0,False,0.9808576972010178
JUND,JUND,MA0492.1,-0.756114,0.775332,0.788232,0.794849,0.0555573,38.0,False,0.9808576972010178
EMX2,EMX2,MA0886.1,-0.761584,0.776945,0.815378,0.82385,0.0633679,38.0,False,0.9808576972010178
TCF7L2,TCF7L2,MA0523.1,-0.766983,0.778594,0.806933,0.81315,0.0550181,38.0,False,0.9808576972010178
GBX2,GBX2,MA0890.1,-0.772535,0.780212,0.822645,0.831573,0.069586,38.0,False,0.9808576972010178
Dlx4,Dlx4,MA0881.1,-0.773921,0.780612,0.862695,0.871196,0.0627933,38.0,False,0.9808576972010178
