"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"NHLH1","NHLH1","MA0048.2","3.40952",0.000318891,0.845663,0.828809,0.0542004,126,"False",0.253199454,NA,NA,NA,NA,NA,NA,NA
"NHLH2","NHLH2","MA1529.1","2.91867",0.00172894,0.748887,0.736319,0.0493156,126,"False",0.302773373333333,NA,NA,NA,NA,NA,NA,NA
"STAT1","STAT1","MA0137.3","2.88501",0.00192491,0.839876,0.82571,0.0569439,126,"False",0.302773373333333,0.123796198889056,0.607484615271347,NA,NA,NA,0.459110960373848,0.0961324881063038
"ZNF449","ZNF449","MA1656.1","2.84882",0.00216013,0.813647,0.800995,0.0505933,126,"False",0.302773373333333,0.902725515917228,0.699199911971734,NA,NA,NA,0.781719213951585,0.753350131898515
"STAT3","STAT3","MA0144.2","2.83335",0.00226582,0.87021,0.857659,0.0519446,126,"False",0.302773373333333,0.000120462363250935,0.0371097973096874,0.983381057301372,0.983029110164458,-0.108369886135233,0.982885488676231,1
"Stat4","Stat4","MA0518.1","2.82998",0.00228796,0.845215,0.832738,0.0530131,126,"False",0.302773373333333,0.837757102648725,0.629928145857266,NA,NA,NA,0.411149985861218,NA
"NFIC","NFIC","MA1527.1","2.6778",0.0036481,0.755422,0.743314,0.0545054,126,"False",0.350750382222222,0.168808373261836,0.521507960788378,NA,NA,NA,0.712331712524958,0.987973423306276
"ZNF682","ZNF682","MA1599.1","2.66919",0.00375072,0.779482,0.766683,0.053966,126,"False",0.350750382222222,0.341644324290734,0.280753649410911,NA,NA,NA,0.019796635558506,0.0289060573292352
"GLIS2","GLIS2","MA0736.1","2.65013",0.00397576,0.799022,0.7882,0.0432447,126,"False",0.350750382222222,0.0569560481446592,0.888443637890693,0.64812518232225,NA,-1.29435893130682,0.084540090904246,0.0130872745054411
"Wt1","Wt1","MA1627.1","2.58057",0.00487101,0.843107,0.828844,0.0614645,126,"False",0.386758194,NA,NA,NA,NA,NA,NA,NA
"IRF9","IRF9","MA0653.1","2.44172",0.00719877,0.700385,0.68948,0.0577508,126,"False",0.488028791666667,0.00181205787737731,0.965441115310256,0.497157099601979,0.481106493592139,-2.70866561208965,0.569130489807487,0.458330619075464
"ZNF75D","ZNF75D","MA1601.1","2.43331",0.00737575,0.849406,0.837522,0.0611729,126,"False",0.488028791666667,0.000320778203586557,0.0414912207770975,0.521296616648109,0.511305819164506,-0.0223086194325276,0.292011595945558,0.271497128959544
"TBP","TBP","MA0108.2","2.40015",0.00809559,0.832222,0.819899,0.0602073,126,"False",0.48814871875,0.232434246580958,0.106633342388587,NA,0.882927208809765,NA,0.762451893275524,0.873617675632993
"Ascl2","Ascl2","MA0816.1","2.37572",0.00867378,0.848524,0.83739,0.049354,126,"False",0.48814871875,NA,NA,NA,NA,NA,NA,NA
"ASCL1","ASCL1","MA1100.2","2.34536",0.00940563,0.885247,0.874797,0.0495655,126,"False",0.48814871875,0.0114331723152735,0.338889177029372,0.989433919918226,0.988948396273375,-0.0496270113018202,0.53248047301097,0.745851689634817
"BHLHE22","BHLHE22","MA1635.1","2.32878",0.00983675,0.872775,0.85853,0.0669504,126,"False",0.48814871875,NA,NA,NA,NA,NA,NA,NA
"ZBTB14","ZBTB14","MA1650.1","2.27196",0.0114268,0.835313,0.820331,0.0747278,126,"False",0.507908566666667,0.0105869063059409,0.018621184991423,0.730035877787582,0.739865598995616,0.208162396697937,0.428192456839048,0.660847043985408
"IRF3","IRF3","MA1418.1","2.26842",0.0115143,0.714458,0.705022,0.0508153,126,"False",0.507908566666667,0.300484900111461,0.647133004393466,NA,NA,NA,0.192872851506702,0.282262765128103
