"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"FOXP1","FOXP1","MA0481.3","-1.0396",0.851819,0.81192,0.816202,0.0752186,316,"False",1,1.44363375854115e-06,0.00780089765044992,0.964725620424511,0.964394262802359,0.143404405247843,0.866584064353054,0.971340996088756
"BHLHE22","BHLHE22","MA0818.1","-1.04055",0.851895,0.790086,0.793098,0.0491994,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Six3","Six3","MA0631.1","-1.04125",0.852129,0.727188,0.729997,0.0475872,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"VENTX","VENTX","MA0724.1","-1.04065",0.852139,0.817661,0.821439,0.0686108,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"LHX6","LHX6","MA0658.1","-1.04132",0.852229,0.803552,0.80722,0.0646301,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"NEUROG2","NEUROG2","MA1642.1","-1.04245",0.852312,0.829237,0.832284,0.0490574,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"FOXD1","FOXD1","MA0031.1","-1.04268",0.85259,0.8303,0.834363,0.0730184,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"CEBPB","CEBPB","MA0466.2","-1.04742",0.853651,0.808606,0.811598,0.0526905,316,"True",1,1.50013090335586e-05,0.0186575280591426,0.986635528434537,0.986739222069397,0.0951056514021384,0.754416656038673,0.974322646261424
"EN2","EN2","MA0642.1","-1.04897",0.853999,0.861383,0.86434,0.0518351,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"NR2F6","NR2F6","MA1539.1","-1.05057",0.854242,0.719469,0.722049,0.0424955,316,"False",1,0.466310874791439,0.231327534944188,NA,NA,NA,0.535531709662165,0.804653325676906
"NEUROD1","NEUROD1","MA1109.1","-1.05797",0.855839,0.82115,0.824118,0.0460728,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"GBX1","GBX1","MA0889.1","-1.05802",0.856144,0.813358,0.817305,0.070843,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"HOXA5","HOXA5","MA0158.2","-1.06066",0.856745,0.86007,0.863656,0.0642098,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","-1.06367",0.856972,0.826445,0.829929,0.048574,316,"False",1,0.000832177703774841,0.567759892470954,NA,NA,NA,0.986468400133509,0.782311720637924
"FOXA3","FOXA3","MA1683.1","-1.0647",0.857575,0.809051,0.81337,0.07415,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Dlx1","Dlx1","MA0879.1","-1.0699",0.858809,0.852051,0.856185,0.0725672,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"VSX2","VSX2","MA0726.1","-1.08033",0.861209,0.815561,0.820343,0.0855602,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"TGIF1","TGIF1","MA0796.1","-1.08193",0.861288,0.693651,0.696999,0.0525002,316,"False",1,0.0213311330219601,0.339710069141464,0.963820660216457,0.963484868192521,0.085083653879822,0.9701418286692,0.90959187135617
"Twist2","Twist2","MA0633.1","-1.08179",0.861555,0.801791,0.805608,0.0687978,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"Ptf1a","Ptf1a","MA1618.1","-1.08429",0.861888,0.814268,0.817587,0.0540502,316,"False",1,NA,NA,NA,NA,NA,NA,NA
"RXRB","RXRB","MA0855.1","-1.08525",0.862029,0.71691,0.719728,0.0441784,316,"False",1,0.00334132073976178,0.160338578651606,NA,NA,NA,0.723201833875779,0.794284554923711
"OLIG1","OLIG1","MA0826.1","-1.08789",0.862696,0.770544,0.773932,0.0553333,316,"False",1,0.00211246767991158,0.525822209648358,0.757391459464291,0.767220238559874,-0.774619904876291,0.516452365261022,0.759400959612516
"LIN54","LIN54","MA0619.1","-1.09742",0.86476,0.843714,0.848971,0.0839169,316,"False",1,0.473609023676831,0.818947065607556,NA,NA,NA,0.949476966178018,0.984697656012178
"NR3C2","NR3C2","MA0727.1","-1.1009",0.865726,0.718281,0.7212,0.0511366,316,"False",1,0.0177634378570755,0.217982083798429,NA,NA,NA,0.903043003151185,0.886037329996457
