"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"ELF2","ELF2","MA1483.1","6.36682",9.32069e-11,0.840801,0.790052,0.0631833,43,"False",7.40062786e-08,4.86986407050099e-30,5.33712701371437e-12,0.825169800534343,0.824638352818643,-0.0859817096243307,0.152482983805996,0.765425224508755
"ELF4","ELF4","MA0641.1","6.09349",5.34007e-10,0.82913,0.779983,0.0659087,43,"False",2.12000779e-07,NA,NA,NA,NA,NA,NA,NA
"ELK1","ELK1","MA0028.2","5.86252",2.21477e-09,0.859095,0.805366,0.0717348,43,"False",5.86175793333333e-07,2.97076636837325e-12,6.01933715300983e-10,0.68506901964184,0.684763681333511,0.277192937522881,0.847078702109006,0.949378598943762
"ELK3","ELK3","MA0759.1","5.67854",6.61205e-09,0.875262,0.827514,0.0656459,43,"False",1.312491925e-06,0.0027507281077751,0.000660199956491278,0.462471187976226,0.461226951289718,0.0954431541811112,0.749215042049724,0.846745811353226
"FEV","FEV","MA0156.2","5.38053",3.62905e-08,0.883561,0.840666,0.0605741,43,"False",5.7629314e-06,NA,NA,NA,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","5.30069",5.63393e-08,0.894667,0.851358,0.06383,43,"False",7.45556736666667e-06,1.07339403374884e-26,4.82365060683996e-15,0.925760487759896,0.925990582903923,0.0135696363681327,0.00279586140758891,0.529135172295357
"ETS1","ETS1","MA0098.3","5.26737",6.76846e-08,0.887637,0.846278,0.0596952,43,"False",7.67736748571429e-06,1.11190689416626e-08,0.0156237668955435,0.921851112214014,0.921851579102261,-0.157274766391784,0.596309380328159,0.665255812069739
"ELK4","ELK4","MA0076.2","5.23339",8.15518e-08,0.89685,0.852902,0.0613582,43,"False",8.09401615e-06,1.42221194356722e-12,4.4050556670906e-06,0.888151243010812,0.887960029285804,-0.00308464721569026,0.897232152848274,0.883266743859059
"ETV5","ETV5","MA0765.2","5.19756",9.86703e-08,0.896765,0.853063,0.0660554,43,"False",8.70491313333333e-06,1.33366577609804e-88,4.7648423290615e-57,0.743959247840043,0.744899344831683,-0.0294534921578857,0.0506272357464406,0.12131107956551
"ETV3","ETV3","MA0763.1","5.14705",1.29438e-07,0.873696,0.835857,0.0569905,43,"False",1.02773772e-05,6.56380568644574e-13,4.17280711918231e-10,0.799178246054465,0.799335850457266,0.228446958486085,0.00136187842686355,0.0236324919449185
"ERF","ERF","MA0760.1","5.10904",1.58561e-07,0.870419,0.83128,0.0583038,43,"False",1.14452212727273e-05,3.46832588186105e-16,1.32385343477526e-14,0.82418112007084,0.823636510425337,0.119866620777697,0.0129437787697362,0.0653044926785429
"FLI1","FLI1","MA0475.2","5.07362",1.90912e-07,0.870681,0.82927,0.0642563,43,"False",1.26320106666667e-05,NA,NA,NA,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","5.02535",2.47197e-07,0.874445,0.829929,0.0604276,43,"False",1.50980321538462e-05,0.763404268301703,0.308476160028187,NA,NA,NA,0.627230583146274,0.894529047097813
"ERG","ERG","MA0474.2","4.80291",7.67083e-07,0.885676,0.84857,0.0597858,43,"False",4.35045644285714e-05,NA,NA,NA,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","4.64964",1.6361e-06,0.885204,0.848397,0.0578493,43,"False",8.66042266666667e-05,2.39557833566981e-35,3.568637157862e-20,0.716056867281458,0.716627027243831,0.0467641558885695,0.383045069873415,0.759223793398908
"ETV2","ETV2","MA0762.1","4.58656",2.21598e-06,0.839926,0.805106,0.0571843,43,"False",0.0001099680075,NA,NA,NA,NA,NA,NA,NA
"ELF5","ELF5","MA0136.2","3.99997",3.1327e-05,0.891851,0.864397,0.0480081,43,"False",0.00146315517647059,NA,NA,NA,NA,NA,NA,NA
"SPDEF","SPDEF","MA0686.1","3.48194",0.000246668,0.826897,0.801715,0.0521333,43,"False",0.0108807995555556,NA,NA,NA,NA,NA,NA,0.268700914112174
"NRF1","NRF1","MA0506.1","3.33394",0.000424338,0.880172,0.844252,0.0804311,43,"False",0.0177328616842105,2.74347443311857e-31,8.59133325468693e-19,0.874750737979355,0.874394120357568,-0.0497595083636545,2.34689533833632e-05,0.199374015749818
"IRF8","IRF8","MA0652.1","3.21639",0.000645104,0.739883,0.716154,0.0471174,43,"False",0.0256106288,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","2.9679",0.00149238,0.837025,0.817285,0.0393819,43,"False",0.0564261771428571,3.77167188916094e-09,8.46459077146043e-06,0.617102408901761,0.615884088465098,0.0240705562492343,0.56090407777414,0.571117373217602
"YY2","YY2","MA0748.2","2.84584",0.00220258,0.848994,0.821895,0.0645838,43,"False",0.0794931145454545,NA,NA,NA,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","2.79996",0.00254623,0.843499,0.819262,0.048075,43,"False",0.087900287826087,3.5499471007754e-05,0.00198346011571128,0.946142431211178,NA,0.0440920451064368,0.00147766888954681,0.00928888263736649
"ZIC3","ZIC3","MA0697.1","2.57811",0.00494046,0.804887,0.786209,0.0532348,43,"False",0.163446885,NA,NA,NA,NA,NA,NA,NA
"EHF","EHF","MA0598.3","2.37384",0.00877119,0.821842,0.803084,0.0505428,43,"False",0.2785729944,NA,NA,NA,NA,NA,NA,NA
"RUNX2","RUNX2","MA0511.2","2.35019",0.00933259,0.84801,0.830783,0.0580533,43,"False",0.285002940769231,0.607793932449425,0.443187089076673,NA,NA,NA,0.0906038518050832,0.202998133535586
"ELF1","ELF1","MA0473.3","2.29384",0.0108617,0.825469,0.80716,0.0524382,43,"False",0.319414437037037,2.77194461713883e-06,4.41994729960438e-05,0.807196198565776,0.807110192083218,0.215154578138121,0.0232585554425803,0.269710107506938
"ETV1","ETV1","MA0761.2","2.24678",0.0122829,0.831411,0.813569,0.0538497,43,"False",0.339320006896552,5.52584604090286e-43,4.33859243795113e-28,0.844900588840312,0.844432277067563,-0.0992928915311504,0.051855289746216,0.0658243656882262
"STAT3","STAT3","MA0144.2","2.24377",0.0123933,0.874648,0.857659,0.0421813,43,"False",0.339320006896552,8.85339666577899e-06,4.06211265877431e-07,0.449693635549799,0.448388864110944,0.61472669855231,0.262825567879919,0.456062576950469
"GABPA","GABPA","MA0062.3","2.20858",0.0135519,0.823665,0.806282,0.054937,43,"False",0.3544416,1.74291081731392e-09,3.66120498390137e-05,0.516358308410148,0.515023300414082,0.0652975289145844,0.737005379893044,0.693229263114178
"ARNT","ARNT::HIF1A","MA0259.1","2.18493",0.0144097,0.910616,0.890666,0.0537064,43,"False",0.3544416,1.51105203783505e-26,1.48243248784216e-10,0.688214207856375,0.687918348431228,-0.218100744073382,0.000143185190249365,0.467617557982635
"HIF1A","ARNT::HIF1A","MA0259.1","2.18493",0.0144097,0.910616,0.890666,0.0537064,43,"False",0.3544416,0.524431052539902,0.00186529445025647,0.333119346825934,0.332395158408244,1.84590119513897,0.000607543792814419,0.0107428676317449
"Arnt","Arnt","MA0004.1","2.17579",0.0147312,0.883632,0.86117,0.0731138,43,"False",0.3544416,1.51105203783505e-26,1.48243248784216e-10,0.688214207856375,0.687918348431228,-0.218100744073382,0.000143185190249365,0.467617557982635
"PRDM4","PRDM4","MA1647.1","2.15876",0.0153881,0.860371,0.842234,0.0539073,43,"False",0.359357394117647,0.575082113736356,0.444292018631803,NA,NA,NA,0.607441397707545,0.65332843038518
"Atf1","Atf1","MA0604.1","2.12068",0.0169063,0.857448,0.839285,0.0648787,43,"False",0.383531491428571,2.35649791519914e-23,2.00885891370503e-20,0.59433283617009,0.592950603130273,0.233544088495708,8.37725598696489e-06,0.160076184638697
"ZIC1","ZIC1","MA0696.1","2.06288",0.0194885,0.789526,0.774242,0.0556454,43,"False",0.429829694444444,NA,NA,NA,NA,NA,NA,NA
