"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"SIX2","SIX2","MA1119.1","-11.3672",1,0.729423,0.737451,0.0474588,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXC10","HOXC10","MA0905.1","-11.3634",1,0.817172,0.827346,0.0607542,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXD11","HOXD11","MA0908.1","-11.3883",1,0.801182,0.811412,0.0611698,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXH1","FOXH1","MA0479.1","-11.418",1,0.810681,0.8201,0.0559649,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TBX20","TBX20","MA0689.1","-11.4124",1,0.792445,0.800256,0.0466131,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXC8","HOXC8","MA1505.1","-11.4242",1,0.862237,0.871986,0.0584024,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOX13","SOX13","MA1120.1","-11.5071",1,0.81856,0.829006,0.0619577,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXF2","FOXF2","MA0030.1","-11.5015",1,0.765755,0.775928,0.0610599,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JDP2","JDP2","MA0655.1","-11.5588",1,0.759282,0.769973,0.0619954,5404,"False",1,7.40170879657255e-13,0.0397643256576456,0.638593953593869,0.632520376786809,-0.691008847006312,0.985358844975288,0.345326256661723,NA,NA,NA,NA
"Arid3a","Arid3a","MA0151.1","-11.5453",1,0.875823,0.890637,0.0881685,5404,"True",1,9.64137213900409e-20,1.25475870446839e-06,0.99450983274825,0.994557230861818,0.0114709060685044,2.60408240290789e-05,0.00872898213165665,NA,NA,NA,NA
"LMX1A","LMX1A","MA0702.2","-11.5715",1,0.783087,0.797493,0.0842097,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLTF","HLTF","MA0109.1","-11.4528",1,0.939492,0.944413,0.0312109,5404,"False",1,0.000207409198506527,0.0747586313735702,NA,NA,NA,0.898856374459121,0.466670611862504,0.719396137852316,0.930568097310651,NA,0.206969414282189
"FOSL2","FOSL2::JUNB","MA1138.1","-11.5956",1,0.789342,0.799716,0.0599774,5404,"True",1,3.67036778227155e-09,6.26494993260788e-11,0.541570865768531,0.535802792685866,0.506590290798041,0.159990642359286,0.568821763633005,NA,NA,NA,NA
"JUNB","FOSL2::JUNB","MA1138.1","-11.5956",1,0.789342,0.799716,0.0599774,5404,"True",1,1.71651947299704e-09,3.07732628127162e-06,0.666067664759128,0.6614838129841,0.429778884694637,0.131157135251313,0.140447835024639,NA,NA,NA,NA
"MEF2B","MEF2B","MA0660.1","-11.5685",1,0.73475,0.747181,0.0733775,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLF","HLF","MA0043.3","-11.5824",1,0.760577,0.771213,0.062768,5404,"True",1,7.99016674626295e-18,4.1327078729102e-13,0.817691405792093,0.816919294971463,0.135205794405733,0.0292241592157469,0.180551230745427,NA,NA,NA,NA
"ONECUT3","ONECUT3","MA0757.1","-11.6148",1,0.710715,0.723323,0.0738773,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dlx1","Dlx1","MA0879.1","-11.608",1,0.844645,0.856185,0.0679719,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXO6","FOXO6","MA0849.1","-11.5866",1,0.841897,0.853485,0.0694603,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BACH2","BACH2","MA1101.2","-11.7077",1,0.701018,0.709513,0.048102,5404,"True",1,1.02990746098416e-25,1.00278511112725e-11,0.710190240249039,0.706521797556148,-0.021136049547482,0.515232220509385,0.638732853084696,NA,NA,NA,NA
"VAX1","VAX1","MA0722.1","-11.7257",1,0.846187,0.857371,0.0642689,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NKX6-1","NKX6-1","MA0674.1","-11.7629",1,0.851866,0.863258,0.0647699,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF317","ZNF317","MA1593.1","-11.7612",1,0.787322,0.796164,0.0512119,5404,"False",1,0.0025639130107808,0.000736330308367155,0.793282328508442,0.790767692454086,0.519797586130938,0.368737067723898,0.57463429605148,NA,NA,NA,NA
"MEF2C","MEF2C","MA0497.1","-11.7514",1,0.791711,0.802844,0.0650453,5404,"False",1,0.667500614363482,0.0436658664762416,NA,NA,NA,0.520081397819558,0.0305825358835964,0.970259810195614,0.718500551150925,NA,0.264491423143049
"JUN","JUN","MA0489.1","-11.778",1,0.791482,0.800788,0.0534979,5404,"True",1,1.95464093539373e-15,1.69279725686929e-13,0.862360725823685,0.862890819087094,0.103383842939547,0.00057011959572875,0.0518057619844582,NA,NA,NA,NA
"FOSL1","FOSL1::JUNB","MA1137.1","-11.797",1,0.787515,0.796883,0.0531666,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUNB","FOSL1::JUNB","MA1137.1","-11.797",1,0.787515,0.796883,0.0531666,5404,"True",1,1.71651947299704e-09,3.07732628127162e-06,0.666067664759128,0.6614838129841,0.429778884694637,0.131157135251313,0.140447835024639,NA,NA,NA,NA
"OLIG3","OLIG3","MA0827.1","-11.828",1,0.811027,0.819075,0.0455184,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXB3","HOXB3","MA0903.1","-11.8077",1,0.859382,0.870484,0.0642271,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOSL1","FOSL1","MA0477.2","-11.8536",1,0.770852,0.78171,0.0615632,5404,"False",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
