TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
ELK1,ELK1,MA0028.2,12.0278,4.42043e-34,0.841831,0.805366,0.0700543,398.0,False,3.5098214200000003e-31
ELK3,ELK3,MA0759.1,11.8076,6.518150000000001e-33,0.860355,0.827514,0.063953,398.0,False,2.5877055500000004e-30
FLI1,FLI1,MA0475.2,11.7176,1.9650700000000001e-32,0.860899,0.82927,0.061383,398.0,False,5.2008852666666675e-30
FEV,FEV,MA0156.2,11.6739,3.3777e-32,0.871443,0.840666,0.0593401,398.0,False,6.7047345e-30
ELK4,ELK4,MA0076.2,11.2074,8.40912e-30,0.884011,0.852902,0.0600651,398.0,False,1.335368256e-27
ETS1,ETS1,MA0098.3,11.1788,1.12757e-29,0.875297,0.846278,0.0572905,398.0,False,1.4921509666666667e-27
ERG,ERG,MA0474.2,11.0293,6.02043e-29,0.876744,0.84857,0.0570822,398.0,False,6.828887742857143e-27
ERF,ERF,MA0760.1,10.7443,1.4064e-27,0.858501,0.83128,0.0572947,398.0,False,1.395852e-25
ETS2,ETS2,MA1484.1,10.5128,1.7708100000000001e-26,0.875916,0.848397,0.0585664,398.0,False,1.5622479333333336e-24
ETV3,ETV3,MA0763.1,10.1126,1.15245e-24,0.86045,0.835857,0.0561184,398.0,False,9.150453000000001e-23
ZBTB7A,ZBTB7A,MA0750.2,10.0181,3.59704e-24,0.859243,0.829929,0.059534,398.0,False,2.596408872727273e-22
ETV5,ETV5,MA0765.2,9.73978,5.42043e-23,0.880136,0.853063,0.0613418,398.0,False,3.5865178499999996e-21
ELF2,ELF2,MA1483.1,9.50265,5.4263e-22,0.8151,0.790052,0.0596811,398.0,False,3.314217076923077e-20
ETV2,ETV2,MA0762.1,9.20188,9.63846e-21,0.828212,0.805106,0.0571491,398.0,False,5.466383742857143e-19
ETV6,ETV6,MA0645.1,8.83492,2.96938e-19,0.875222,0.851358,0.0596908,398.0,False,1.5717918133333334e-17
ELF4,ELF4,MA0641.1,8.66879,1.28245e-18,0.803104,0.779983,0.0605821,398.0,False,6.364158125000001e-17
NRF1,NRF1,MA0506.1,8.19336,9.27675e-17,0.87338,0.844252,0.0657129,398.0,False,4.33278794117647e-15
ZBTB33,ZBTB33,MA0527.1,8.00185,4.33765e-16,0.79458,0.772676,0.0542892,398.0,True,1.9133856111111112e-14
HINFP,HINFP,MA0131.2,7.74652,3.78874e-15,0.841373,0.819262,0.0467138,398.0,False,1.583294505263158e-13
YY2,YY2,MA0748.2,7.6759,5.98919e-15,0.846032,0.821895,0.0621115,398.0,False,2.3777084299999996e-13
ZBTB14,ZBTB14,MA1650.1,7.57751,1.45914e-14,0.848489,0.820331,0.057455,398.0,False,5.516938857142858e-13
