"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"KLF15","KLF15","MA1513.1","22.2359",2.97482e-117,0.898479,0.860109,0.0847162,3576,"False",2.36200708e-114,5.969363429168e-08,0.000338094080089978,0.945841357828434,0.945509343834557,0.124600303183484,0.0160797725476181,0.441869334481169
"NRF1","NRF1","MA0506.1","20.9801",2.46277e-106,0.870072,0.844252,0.0672156,3576,"False",9.7771969e-104,2.74347443311857e-31,8.59133325468693e-19,0.874750737979355,0.874394120357568,-0.0497595083636545,2.34689533833632e-05,0.199374015749818
"ZBTB14","ZBTB14","MA1650.1","20.1966",2.26546e-97,0.846167,0.820331,0.0639671,3576,"True",5.99591746666667e-95,3.86720109801658e-15,1.23476190670445e-11,0.890708323267785,0.890522601767746,0.156372637440344,0.101728286782842,0.39458133947101
"SP9","SP9","MA1564.1","19.8673",3.17601e-94,0.88779,0.865208,0.0565349,3576,"False",6.30437985e-92,NA,NA,NA,NA,NA,NA,NA
"HINFP","HINFP","MA0131.2","19.5647",7.20677e-92,0.838518,0.819262,0.0505683,3576,"False",1.144435076e-89,3.5499471007754e-05,0.00198346011571128,0.946142431211178,NA,0.0440920451064368,0.00147766888954681,0.00928888263736649
"TCFL5","TCFL5","MA0632.2","18.9531",6.05424e-87,0.857641,0.835763,0.061979,3576,"False",8.0117776e-85,0.0283337398141171,0.0324511169230012,NA,NA,NA,0.605823259364659,0.506651864165682
"SP3","SP3","MA0746.2","18.9459",2.46809e-86,0.874156,0.852593,0.0586889,3576,"False",2.79951922857143e-84,1.4872053433794e-08,0.000905925663962031,NA,NA,NA,0.00134596625525008,0.104608259278037
"KLF14","KLF14","MA0740.1","18.7732",3.60838e-85,0.837274,0.818128,0.0540697,3576,"False",3.58131715e-83,NA,NA,NA,NA,NA,NA,NA
"SP4","SP4","MA0685.1","18.4959",2.60753e-83,0.811863,0.791926,0.0595823,3576,"False",2.30042091111111e-81,7.94148800599718e-17,2.66803165184359e-08,0.749355041539165,0.749979835424336,-0.189712334059202,0.0182265724551141,0.609795804116856
"SP1","SP1","MA0079.4","18.2834",2.07705e-81,0.832947,0.812589,0.0613365,3576,"False",1.6491777e-79,3.01832286015746e-20,3.57204136236744e-06,0.388320844870781,0.386408126477945,-0.478615930845522,0.264000400677414,0.988113407521202
"EGR1","EGR1","MA0162.4","18.0692",1.81022e-78,0.834433,0.812172,0.0621109,3576,"True",1.30664970909091e-76,7.27742019341422e-27,1.90977031975995e-12,0.359060497769574,0.356766579311231,-0.226727657799351,0.000977641118538206,0.0328488510611074
"TFDP1","TFDP1","MA1122.1","17.9309",2.00227e-77,0.870205,0.849665,0.0583733,3576,"False",1.32483531666667e-75,2.28187356940214e-14,0.000253655129743399,0.536438497373239,0.534808941120891,-0.1705397930249,0.287498534079942,0.552761203745471
"KLF16","KLF16","MA0741.1","17.9099",2.51137e-77,0.891483,0.870747,0.0594074,3576,"True",1.53386752307692e-75,3.15217017169705e-15,7.7401958666831e-16,0.703189725668247,0.703541561615633,0.259971474430746,0.000214331309427123,0.110479287987431
