GENE_SYMBOLS,refseq_ids
C1QB,NM_000491
FAM229A,NM_001167676
NTNG1,NM_001113226
AMPD2,NM_001257361
HORMAD1,NM_001199829
RAB13,NM_001272038
AXDND1,NM_144619
PTGS2,NM_000963
ERVMER61-1,NM_001012274
C1orf53,NM_001024594
DYRK3,NM_001004023
CIB4,NM_001029881
C2orf16,NM_032266
EPAS1,NM_001430
IL1R1,NM_000877
LYPD1,NM_001077427
TTC30B,NA
NABP1,NM_001031716
MARS2,NM_138395
IGFBP5,NM_000599
SLC26A6,NM_001040454
USP19,NM_001199160
SLC38A3,NM_006841
FOXP1-IT1,NA
POPDC2,NM_001308333
ZBBX,NM_001199201
HGFAC,NM_001297439
CLNK,NM_052964
SLC10A4,NM_152679
ENPEP,NM_001379611
NPY1R,NM_000909
HOMER1,NM_001277077
RASGRF2,NM_006909
CD74,NM_001025158
CDHR2,NM_001171976
RAB24,NM_001031677
GMNN,NM_001251989
HIST1H2BE,NA
HLA-DRA,NM_019111
MDGA1,NM_153487
CRYBG1,NM_001371242
SYTL3,NM_001009991
SNX8,NM_013321
SVOPL,NM_001139456
TCAF2,NM_001130025
TEX15,NM_001350162
GAS1RR,NR_049794
COL5A1,NM_000093
ZNF487,NM_001355444
NPFFR1,NM_022146
VSIR,NM_022153
MMRN2,NM_024756
EMX2,NM_001165924
ZNF511,NM_145806
IFITM3,NM_021034
OR6A2,NM_003696
KCNA4,NM_002233
RAB3IL1,NM_001271686
C11orf95,NA
FERMT3,NM_001382361
RELA-DT,NR_183625
GAL3ST3,NM_033036
FZD4-DT,NR_038905
ZBTB44-DT,NM_001039787
NRIP2,NM_031474
RBMS2,NM_001414459
C12orf42,NM_001099336
C12orf49,NA
B3GNT4,NM_001330492
SHISA2,NM_001007538
DIAPH3,NM_001042517
LRP10,NM_001329226
C14orf119,NM_017924
PCK2,NM_001018073
NID2,NM_007361
SAMD4A,NM_001161576
AK7,NM_001350888
CGNL1,NM_001252335
ANXA2,NM_001002857
PPCDC,NM_001301101
NR2F2,NM_001145155
ERVK13-1,NM_001012731
NUDT16L1,NM_001193452
NPIPB2,NM_001355514
DCUN1D3,NM_173475
SCNN1G,NM_001039
NUPR1,NM_001042483
SALL1,NM_001127892
TMEM98,NM_001033504
DCAKD,NM_001128631
TMEM100,NM_001099640
CARD14,NM_001257970
TMEM200C,NM_001080209
CCDC178,NM_001105528
SYT4,NM_020783
SLC14A1,NM_001128588
C18orf54,NM_001288980
TNFSF9,NM_003811
PLEKHF1,NM_024310
KPTN,NM_001291296
FUT2,NM_000511
MAVS,NM_001206491
ADRA1D,NM_000678
ADAMTS5,NM_007038
DNAJC28,NM_001040192
SLC5A3,NM_006933
ERG,NM_001136154
ADORA2A,NM_000675
CHEK2,NM_001005735
MCHR1,NM_005297
PIM3,NM_001001852
ARMCX6,NM_001009584
