"Ensembl","Gene_Symbols","p","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"ENSG00000049246","PER3",0.252187396368764,"1.65089556450013","1.46315041348871","26.2361202103395","18.926997695119",0.777778248461482,1,0.326547743026802
"ENSG00000130775","THEMIS2",0.705588300238553,"4.0728171911605","4.30384572195992","22.9025719156345","15.7987130371578",0.94927246551351,1,0.37132073160924
"ENSG00000142920","AZIN2",0.356248985156843,"1.55679314830528","1.50920584923188","43.0227397562068","34.403997688452",0.777778248461482,1,0.223556037950255
"ENSG00000132122","SPATA6",0.240130852448678,"4.93786645373396","4.52501759933085","125.4449171651","98.9629020721285",0.777778248461482,1,0.237121701810053
"ENSG00000162645","GBP2",0.370573878626687,"4.91031766222229","4.93364811075872","10.669670065465","5.58371456285181",0.777778248461482,1,0.647550895950196
"ENSG00000188641","DPYD",0.530398240998445,"5.04515592919614","4.96688710071599","344.482040444134","261.926331994273",0.82635354654004,1,0.273978668227694
"ENSG00000163191","S100A11",0.163621715958426,"4.49011483997591","4.00752807497113","13.9836740831066","6.437865055434",0.777778248461482,1,0.775693540205309
"ENSG00000158869","FCER1G",0.25333145357509,"4.29683186698746","4.15872366764103","17.1609443361548","9.20448618276545",0.777778248461482,1,0.62294513002582
"ENSG00000203747","FCGR3A",0.0450445809500649,"4.85398459271779","4.07392760224371","53.5430503373358","68.6352528386619",0.702981436587063,1,-0.248320282988356
"ENSG00000135842","NIBAN1",0.507829576344392,"4.60453380084975","4.67288411614818","100.852241194797","70.7481517498987",0.82635354654004,1,0.354530074699546
"ENSG00000263528","IKBKE",0.129438769026756,"4.65876052517763","4.24259812755398","14.5635362959743","9.789490084124",0.702981436587063,1,0.397211520944008
"ENSG00000133019","CHRM3",0.417053556781646,"0.642822090407196","0.380607461323478","18.0986335081062","22.1239403726282",0.819212343678233,1,-0.20082385835249
"ENSG00000162849","KIF26B",0.599416558298279,"1.25349683024915","1.02899512618501","30.835284077333","36.8584924867762",0.881659691318494,1,-0.17842643183222
"ENSG00000204634","TBC1D8",0.381818412881091,"4.84358705250119","4.58308402351856","84.7548857782178","70.8688679161755",0.777778248461482,1,0.178932155295764
"ENSG00000163162","RNF149",0.866935348811511,"4.55541039966674","4.50030486140846","159.630906440204","141.086248044432",0.94927246551351,1,0.123492924011256
"ENSG00000152128","TMEM163",0.507900268770513,"4.6722919320595","4.37781798265994","384.88069636486","308.149690283379",0.82635354654004,1,0.222347734369605
"ENSG00000144331","ZNF385B",0.224346631030746,"0.105415708905234","0.328858913665696","10.9207912571789","17.2456721904641",0.777778248461482,1,-0.456892797350188
"ENSG00000231672","DIRC3",0.278091347802371,"5.16623357435356","6.06206838085923","25.5530290947142","28.9551395367358",0.777778248461482,1,-0.124991854566947
"ENSG00000018280","SLC11A1",0.985220742212979,"4.31734624018739","4.27424754026897","160.363926794842","156.374778925572",0.985220742212979,1,0.0251902198049399
"ENSG00000153823","PID1",0.358774302107941,"1.40087682419839","1.28487243998029","34.0241244954964","24.8558658904777",0.777778248461482,1,0.31397604037657
"ENSG00000168329","CX3CR1",0.322512980075749,"1.66627837856876","1.72277550855996","102.590312195728","133.318135539775",0.777778248461482,1,-0.261994763256631
"ENSG00000010327","STAB1",0.495775955050035,"4.52964198174368","4.60493257155438","60.4536270035148","41.9527774448708",0.82635354654004,1,0.365331936138107
"ENSG00000187672","ERC2",0.711486663569533,"4.94926583318605","4.67467493100976","87.2381159461192","90.1296944440079",0.94927246551351,1,-0.0326083375086431
"ENSG00000188313","PLSCR1",0.780916197515893,"4.4458124443389","4.41818071721205","73.0082883801541","58.3905849156298",0.94927246551351,1,0.223418314518269
"ENSG00000113916","BCL6",0.871604718335132,"4.6816425019872","4.60834595625492","54.1431939245809","48.0942741042373",0.94927246551351,1,0.11846914771692
"ENSG00000072274","TFRC",0.571961559056368,"4.17021291298416","3.89057568004831","27.5125641294009","13.2206219987992",0.872046149391956,1,0.732864894618313
"ENSG00000132405","TBC1D14",0.82362658295517,"4.70737906781473","4.56081829000694","136.398593464623","128.523467881487",0.94927246551351,1,0.0594699164247894
"ENSG00000185774","KCNIP4",0.167799712238449,"0.698452371090969","0.254522829775708","145.502643724608","154.099601200878",0.777778248461482,1,-0.0574048980234501
"ENSG00000145287","PLAC8",0.298013707981577,"4.85744985607065","4.45387696010724","21.7376253148141","13.221740689536",0.777778248461482,1,0.497182147903913
"ENSG00000118785","SPP1",0.174117237674731,"4.02540635768705","3.6962296267355","894.117039196816","372.141612372857",0.777778248461482,1,0.876562222677096
"ENSG00000269893","SNHG8",0.00260176817541158,"3.92631275375062","3.3381290917158","9.02378425900022","27.8504386761274",0.143097249647637,0.286194499295274,-1.12698493063525
"ENSG00000164136","IL15",0.131198046562681,"5.18754517172722","5.18958965167754","27.0668286421393","15.1150628549273",0.702981436587063,1,0.582617156127274
"ENSG00000145428","RNF175",0.528316878190125,"3.85257816709908","4.11766091840907","18.9175715219495","19.1133622988921",0.82635354654004,1,-0.0102964869406023
"ENSG00000151726","ACSL1",0.73947574595974,"4.64758394628004","4.79319067334976","203.742040690291","158.558934812739",0.94927246551351,1,0.250728334583419
"ENSG00000145526","CDH18",0.0508806481899782,"0.654003776061041","6.26394829335339","17.1634895523869","19.1594295052073",0.702981436587063,1,-0.110010569542167
"ENSG00000145703","IQGAP2",0.0792030793230225,"5.6305666574781","6.02892964538368","7.44878270004839","22.6373193577642",0.702981436587063,1,-1.11154922032496
