"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"GATA2 (human)",0.0237743717439644,1.23499415382644,4.61782480381966,"['IFITM3', 'IFITM2', 'RPL34', 'CXCL17', 'ARHGAP39', 'IL1RAP', 'RPL10A', 'RPL9', 'ICAM1', 'RGS4', 'ZFYVE28', 'DOCK11', 'LCNL1', 'UBASH3B', 'RPS18', 'C1RL', 'PIM1', 'PDE8B', 'GYG2', 'STK32A', 'TMSB10', 'ZNF442', 'HES6', 'ST6GAL1', 'IL1R1', 'ACTN1', 'MMD2', 'KCTD3', 'CARTPT', 'SYTL4', 'OVOL2', 'RUNX1', 'TANC1', 'TPST1', 'FNDC4', 'COL4A1', 'S100A6', 'SERPING1', 'CTXN3', 'TRIB1', 'DSC2', 'CPB2', 'NXPH3', 'KCNE4', 'GPR87', 'C5ORF49', 'GMPR', 'TMTC1', 'ART4', 'HSD11B1', 'ARL17B', 'HSPH1', 'CDH23', 'ARSF', 'BCL2L14', 'BANP', 'HHATL', 'SMAD1', 'CAV3', 'NEK5', 'C9ORF153', 'SNHG8', 'SNHG9', 'BTBD11', 'CDC7', 'ABCA7', 'BMX', 'DGAT2L6', 'GFAP', 'EFNA1', 'BCL6', 'P4HA2', 'PSMG4', 'ID3', 'TMCC2', 'RADIL', 'GCLM', 'FGFR3', 'MAP3K14', 'BEX5', 'GALK1', 'SYNM', 'DYRK3', 'PTPRR', 'MAFIP', 'C2CD2', 'LMOD1', 'WFDC1', 'PIK3CD', 'SUMO4', 'PYGM', 'PYGL', 'SLC7A10', 'SHB', 'RND3', 'LFNG', 'SPRED3', 'DEC1', 'AIFM3', 'CA1', 'CALB1', 'C1QTNF7', 'ADAMTS1', 'TMSB4X', 'CHST9', 'SERPINB1', 'VWA5A', 'IL18', 'ANO6', 'ABCC9', 'OSMR', 'TNFRSF1A', 'CLDN11', 'VCAN', 'PLSCR1', 'PALLD', 'TMBIM1', 'ARHGEF3', 'CHI3L1', 'TLCD1', 'MAPRE2', 'CRYAB', 'PDZRN4', 'MATN2', 'COLEC12', 'C1R', 'LRRC19', 'TMPRSS3', 'SLC3A1', 'NOD1', 'PPM1E', 'CRYZ', 'TCEAL7', 'GNA14', 'NT5E', 'RPS15A', 'RASD1', 'PLN', 'IFI16', 'NFIL3', 'DDT', 'WIF1', 'EPS8L2', 'RPS27A', 'FILIP1L', 'RPL17', 'GBP1', 'APOL3', 'PIRT', 'HES4', 'P2RY12', 'SEMA4A', 'YTHDF1', 'EGF', 'GINS3', 'WNT7B', 'P2RY14', 'LIMK2', 'PLEKHA5', 'SAMD4A', 'WNT7A', 'ZIC4', 'LHFPL1', 'SOD2', 'SULF1', 'RAB11A', 'TTLL6', 'KLF6', 'FAP', 'NEDD4', 'VEPH1', 'APOC1', 'SPAG1', 'SYCP3', 'C16ORF86', 'SLC28A2', 'HSPA1A']",0.324773991558211,0,0,177,"GATA2",0.324773991558211,NA,NA,NA,NA,NA,NA,NA
"MIR133B (human)",0.0273014015993761,1.43088016249154,5.15233795385715,"['IFITM2', 'CEBPD', 'NXPH3', 'TNFRSF11B', 'LFNG', 'TCEAL7', 'AIFM3', 'HELB', 'PTCHD1', 'DDT', 'TMSB4X', 'C1RL', 'PDPN', 'JUNB', 'HHATL', 'OST4', 'CHST9', 'WARS', 'CCDC78', 'LIMK2', 'ARHGEF38', 'ANO6', 'ZIC4', 'ATP11A', 'SLC39A14', 'ACTA2', 'TTLL6', 'PLSCR1', 'CEACAM1', 'SMTN', 'FNDC4', 'PALLD', 'FXYD3', 'PNPLA3', 'CD9', 'RADIL', 'TLCD1', 'MAPRE2', 'SHANK2']",0.324773991558211,0,0,39,"MIR133B",0.324773991558211,NA,NA,NA,NA,NA,NA,NA
"SNAI2 (human)",0.0276633999365168,1.47442641343762,5.28971861109152,"['CDKN1A', 'LXN', 'LRRC19', 'KCNE4', 'IER5L', 'ARHGAP39', 'ATP2C2', 'ZFYVE28', 'AIFM3', 'LCNL1', 'NWD1', 'ZFP36', 'PDLIM2', 'RASGEF1A', 'TMSB4X', 'RNF19A', 'SPDYE2', 'ATOH8', 'CDH23', 'EPS8L2', 'PIM3', 'HES5', 'CHST6', 'C9ORF153', 'ABCA7', 'PTP4A3', 'SMTN', 'VEPH1', 'S100A6', 'PNPLA3', 'C6ORF118', 'RADIL', 'NUPR1']",0.324773991558211,0,0,33,"SNAI2",0.324773991558211,NA,NA,NA,NA,NA,NA,NA
"SNAI1 (human)",0.0281392628064876,1.47216178476327,5.25648530055309,"['CDKN1A', 'LXN', 'LRRC19', 'KCNE4', 'IER5L', 'ARHGAP39', 'ATP2C2', 'ZFYVE28', 'AIFM3', 'LCNL1', 'NWD1', 'ZFP36', 'PDLIM2', 'RASGEF1A', 'TMSB4X', 'RNF19A', 'SPDYE2', 'ATOH8', 'CDH23', 'EPS8L2', 'PIM3', 'HES5', 'CHST6', 'C9ORF153', 'ABCA7', 'PTP4A3', 'SMTN', 'VEPH1', 'S100A6', 'PNPLA3', 'C6ORF118', 'RADIL', 'NUPR1']",0.324773991558211,0,0,33,"SNAI1",0.324773991558211,NA,NA,NA,NA,NA,NA,NA
"TCF3 (human)",0.0281392628064876,1.47216178476327,5.25648530055309,"['CDKN1A', 'LXN', 'LRRC19', 'KCNE4', 'IER5L', 'ARHGAP39', 'ATP2C2', 'ZFYVE28', 'AIFM3', 'LCNL1', 'NWD1', 'ZFP36', 'PDLIM2', 'RASGEF1A', 'TMSB4X', 'RNF19A', 'SPDYE2', 'ATOH8', 'CDH23', 'EPS8L2', 'PIM3', 'HES5', 'CHST6', 'C9ORF153', 'ABCA7', 'PTP4A3', 'SMTN', 'VEPH1', 'S100A6', 'PNPLA3', 'C6ORF118', 'RADIL', 'NUPR1']",0.324773991558211,0,0,33,"TCF3",0.324773991558211,0.13263111539582,0.397607051196671,NA,NA,NA,0.596688344503463,0.888076822383027
"SREBF2 (human)",0.0295528069689367,1.44938731615698,5.10412838321792,"['SERPINA3', 'C2CD2', 'LRRC19', 'PIK3CD', 'RPL9', 'LFNG', 'ARL17B', 'DOCK11', 'AIFM3', 'LCNL1', 'PDLIM2', 'DDT', 'ADAMTS1', 'PLCE1', 'PDE8B', 'P2RY12', 'HS3ST3B1', 'OST4', 'RASL10A', 'RBPMS', 'KCNJ13', 'ACTN1', 'RFTN1', 'ARID5A', 'MMD2', 'DGAT2L6', 'TNFRSF1A', 'ACAP1', 'BCL6', 'CD9', 'SERPING1', 'RADIL', 'NUPR1', 'SLC28A2', 'GALK1']",0.327445101215818,0,0,35,"SREBF2",0.327445101215818,0.0342344219286821,0.0121659911238645,NA,NA,NA,0.682057537663521,0.709393685629683
"PGR (human)",0.0325462461413942,1.43703419882197,4.92197612419465,"['WDR49', 'PROS1', 'CXCL17', 'SUMO4', 'PYGM', 'NOD1', 'CYP3A5', 'PLN', 'HSPH1', 'GRK5', 'RPS18', 'C1QTNF7', 'PLCE1', 'RPS27A', 'TRIM22', 'SLC38A4', 'P2RY12', 'P2RY14', 'KCNJ13', 'ATP11A', 'LHFPL1', 'SYTL4', 'ITPKC', 'CEACAM1', 'BCL6', 'FAP', 'PALLD', 'P4HA2', 'NEDD4', 'RPL37A', 'ARHGEF3', 'COL21A1', 'GCLM', 'CD44', 'PDZRN4']",0.346742699275623,0,0,35,"PGR",0.346742699275623,NA,NA,NA,NA,NA,NA,NA
"TBP (human)",0.0365498130471817,1.32171949151782,4.37367448790925,"['WDR49', 'DYRK3', 'CDKN1A', 'MAFIP', 'CXCL17', 'SUMO4', 'PYGM', 'PRSS23', 'ZFYVE28', 'SPRED3', 'CA1', 'TMSB4X', 'RNF19A', 'GPR171', 'PIM1', 'IL13RA1', 'VWA5A', 'IL18', 'ANO6', 'ABCC9', 'KCTD3', 'TNFRSF1A', 'CYP39A1', 'ACTA2', 'TANC1', 'CRISPLD1', 'NUP210L', 'CTXN3', 'SHANK2', 'CD44', 'FKBP5', 'LRRC19', 'PLA2G5', 'COX7A1', 'NDRG1', 'TCEAL7', 'RPS15A', 'HSPH1', 'CNTNAP3B', 'FILIP1L', 'GBP1', 'RAI2', 'PIRT', 'P2RY12', 'EGLN3', 'RFTN1', 'PLEKHA5', 'SAMD4A', 'RPL23A', 'LHFPL1', 'BMX', 'RPS26', 'NEDD4', 'SERPINI2', 'TMCC2', 'C6ORF118', 'SYCP3']",0.352796595246683,0,0,57,"TBP",0.352796595246683,0.232434246580958,0.106633342388587,NA,0.882927208809765,NA,0.762451893275524,0.873617675632993
"NFIA (human)",0.040806456168134,1.43014070650031,4.57489851619628,"['ITIH4', 'TMPRSS3', 'PYGM', 'GLRX', 'PLA2G5', 'LFNG', 'SOCS3', 'NWD1', 'PDLIM2', 'APOL6', 'HSPH1', 'TMSB4X', 'ATOH8', 'HES5', 'BANP', 'HHATL', 'P2RY14', 'LIMK2', 'ACTN1', 'BGN', 'RPL23A', 'BTBD11', 'F3', 'VASN', 'ITPKC', 'TTLL6', 'ACAP1', 'SYCP3', 'CTXN3', 'PTPN7', 'CRYAB', 'FKBP5']",0.352796595246683,0,0,32,"NFIA",0.352796595246683,8.47708636440557e-05,0.0209334175170827,0.996731799950454,0.996720380544101,0.0174603912694519,0.603933712070445,0.791197972066884
"REL (mouse)",0.0408841009564333,1.38844552335677,4.43887980581605,"['RASL12', 'SHC1', 'IRS2', 'IL1RAP', 'ART4', 'RPL7A', 'UGCG', 'UBASH3B', 'NFIL3', 'RASGEF1B', 'RPS27A', 'PDE8B', 'GBP2', 'A4GALT', 'TMSB10', 'RAI2', 'SEMA4A', 'HHATL', 'EGLN3', 'CAV3', 'KCND3', 'IL1R1', 'GINS3', 'WNT7B', 'LIMK2', 'IL18', 'ABCC9', 'RUNX1', 'PSMB9', 'CYP39A1', 'ITPKC', 'CEACAM1', 'PTP4A3', 'RPS27', 'PNPLA3', 'CTXN3', 'FGFR3', 'MATN2']",0.352796595246683,0,0,38,"REL",0.352796595246683,0.0137868433374607,0.871721687809075,0.706952598372212,0.714566893443672,-1.04531052169803,0.742839001611727,0.973137312105603
