"Ensembl","Gene_Symbols"
"ENSG00000235098","ANKRD65"
"ENSG00000241563","CORT"
"ENSG00000173369","C1QB"
"ENSG00000198830","HMGN2"
"ENSG00000130770","ATP5IF1"
"ENSG00000197982","C1orf122"
"ENSG00000168653","NDUFS5"
"ENSG00000143545","RAB13"
"ENSG00000177954","RPS27"
"ENSG00000163170","BOLA3"
"ENSG00000168894","RNF181"
"ENSG00000135940","COX5B"
"ENSG00000125611","CHCHD5"
"ENSG00000153246","PLA2R1"
"ENSG00000115844","DLX2"
"ENSG00000172428","COPS9"
"ENSG00000188542","DUSP28"
"ENSG00000163513","TGFBR2"
"ENSG00000144681","STAC"
"ENSG00000162244","RPL29"
"ENSG00000164086","DUSP7"
"ENSG00000114902","SPCS1"
"ENSG00000270170","NCBP2AS2"
"ENSG00000182899","RPL35A"
"ENSG00000163682","RPL9"
"ENSG00000163297","ANTXR2"
"ENSG00000163322","ABRAXAS1"
"ENSG00000109475","RPL34"
"ENSG00000145494","NDUFS6"
"ENSG00000188725","SMIM15"
"ENSG00000164405","UQCRQ"
"ENSG00000164587","RPS14"
"ENSG00000177556","ATOX1"
"ENSG00000204287","HLA-DRA"
"ENSG00000214736","TOMM6"
"ENSG00000171462","DLK2"
"ENSG00000112695","COX7A2"
"ENSG00000112297","CRYBG1"
"ENSG00000112306","RPS12"
"ENSG00000146469","VIP"
"ENSG00000164651","SP8"
"ENSG00000106244","PDAP1"
"ENSG00000241468","ATP5MF"
"ENSG00000160999","SH2B2"
"ENSG00000128609","NDUFA5"
"ENSG00000104679","R3HCC1"
"ENSG00000147571","CRH"
"ENSG00000147669","POLR2K"
"ENSG00000137154","RPS6"
"ENSG00000107262","BAG1"
"ENSG00000137054","POLR1E"
"ENSG00000204860","FAM201A"
"ENSG00000226237","GAS1RR"
"ENSG00000136942","RPL35"
"ENSG00000167136","ENDOG"
"ENSG00000054148","PHPT1"
"ENSG00000197889","MEIG1"
"ENSG00000107738","VSIR"
"ENSG00000174721","FGFBP3"
"ENSG00000166136","NDUFB8"
"ENSG00000173915","ATP5MD"
"ENSG00000142089","IFITM3"
"ENSG00000184933","OR6A2"
"ENSG00000110700","RPS13"
"ENSG00000182255","KCNA4"
"ENSG00000211450","SELENOH"
"ENSG00000134825","TMEM258"
"ENSG00000173511","VEGFB"
"ENSG00000168061","SAC3D1"
"ENSG00000149806","FAU"
"ENSG00000168040","FADD"
"ENSG00000229117","RPL41"
"ENSG00000135452","TSPAN31"
"ENSG00000170855","TRIAP1"
"ENSG00000111786","SRSF9"
"ENSG00000173141","MRPL57"
"ENSG00000165502","RPL36AL"
"ENSG00000100632","ERH"
"ENSG00000100628","ASB2"
"ENSG00000140264","SERF2"
"ENSG00000184508","HDDC3"
"ENSG00000103254","ANTKMT"
"ENSG00000162004","CCDC78"
"ENSG00000103363","ELOB"
"ENSG00000214967","NPIPA7"
"ENSG00000134419","RPS15A"
"ENSG00000168701","TMEM208"
"ENSG00000131143","COX4I1"
"ENSG00000127774","EMC6"
"ENSG00000006042","TMEM98"
"ENSG00000166292","TMEM100"
"ENSG00000125458","NT5C"
"ENSG00000262814","MRPL12"
"ENSG00000183684","ALYREF"
"ENSG00000177576","C18orf32"
"ENSG00000267100","ILF3-DT"
"ENSG00000104979","C19orf53"
"ENSG00000099795","NDUFB7"
"ENSG00000188051","TMEM221"
"ENSG00000105171","POP4"
"ENSG00000161281","COX7A1"
"ENSG00000188766","SPRED3"
"ENSG00000118162","KPTN"
"ENSG00000188334","BSPH1"
"ENSG00000124172","ATP5F1E"
"ENSG00000171858","RPS21"
"ENSG00000185608","MRPL40"
"ENSG00000161179","YDJC"
"ENSG00000198832","SELENOM"
"ENSG00000187051","RPS19BP1"
"ENSG00000241343","RPL36A"
"ENSG00000180964","TCEAL8"
"ENSG00000171155","C1GALT1C1"
