GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
SPRED3,NM_001039616
SPRY4,NM_001127496
FNDC4,NM_022823
SPATA2L,NM_152339
PER2,NM_003894
NRN1,NM_001278710
CDIPT,NM_001286585
MIEF1,NM_001304564
COPS7A,NM_001164093
PLEKHJ1,NM_001300836
ATP6V0E2,NM_001100592
NEU1,NM_000434
SSR2,NM_003145
RETREG2,NM_001321109
DNAJB9,NM_012328
TAF13,NM_005645
THEM6,NM_001363000
PGAM1,NM_001317079
SELENOH,NM_001321335
SNRNP25,NM_024571
ANAPC15,NM_001278485
TINF2,NM_001099274
STK16,NM_001008910
SNAPC5,NM_001329613
ABRACL,NM_021243
NUDT15,NM_001304745
SMKR1,NM_001195243
NAT8L,NM_178557
NDUFB5,NM_001199957
ITM2C,NM_001012514
SELENOW,NM_003009
TRIB2,NM_021643
GLRX5,NM_016417
TGOLN2,NM_001206840
HDDC3,NM_001286451
FITM2,NM_001080472
C1orf216,NM_001348691
CD59,NM_000611
PIGS,NM_033198
RPL41,NM_001035267
SULT4A1,NM_014351
HEIH,NR_045680
TMEM203,NM_053045
POLR2K,NM_005034
LGI3,NM_139278
KTI12,NM_138417
PDE10A,NM_001130690
CCDC85B,NM_006848
IDH3B,NM_001258384
C3orf80,NM_001168214
AAMP,NM_001087
NSG1,NM_001040101
POLE3,NM_001278255
ALYREF,NM_005782
SPRED2,NM_001128210
PMM1,NM_002676
SEPHS2,NM_012248
TUSC2,NM_007275
ISCU,NM_001301140
PSAP,NM_001042465
PARD6A,NM_001037281
PNMA8A,NM_001103149
OXLD1,NM_001039842
RPS27,NM_001030
AHCY,NM_000687
DUSP4,NM_001394
VPS25,NM_032353
TMA7,NM_001329417
NCBP2AS2,NM_001355243
C18orf32,NM_001035005
NEUROD6,NM_022728
POLD4,NM_001256870
SNHG15,NR_003697
RPSA,NM_001304288
GMPR2,NM_001002000
TCEAL7,NM_001348258
NEIL2,NM_001135746
C16orf91,NA
TMEM251,NA
ERP29,NM_001034025
DBNDD2,NM_001048221
SLC39A7,NM_001077516
ATP6AP1,NM_001183
ACP2,NM_001131064
PRAF2,NM_007213
ATP6AP2,NM_005765
PINK1,NM_032409
SNN,NM_003498
SUPT4H1,NM_003168
CYCS,NM_018947
RPS28,NM_001031
MOAP1,NM_022151
COPS9,NM_001163424
TOMM5,NM_001001790
GOT1,NM_002079
LAMTOR5,NM_001382293
TBCC,NM_003192
TIMM13,NM_012458
TMEM141,NM_032928
DHCR24,NM_014762
MCHR1,NM_005297
RPS19BP1,NM_194326
CRH,NM_000756
OTUB1,NM_017670
OPRL1,NM_000913
NPM3,NM_006993
VDAC1,NM_001401008
ANTKMT,NM_001271285
FJX1,NM_014344
MFSD3,NM_138431
RNASEK,NM_001004333
MOCS3,NM_014484
RPL15,NM_001253379
CCNQ,NM_001130997
GRINA,NM_000837
SET,NM_001122821
RPL18A,NM_000980
RPL7A,NM_000972
SHISA4,NM_198149
SDHAF1,NM_001042631
TMEM160,NM_017854
GUK1,NM_000858
SNHG29,NM_152350
FEN1,NM_004111
RGS4,NM_001102445
LSM10,NM_032881
NPTN-IT1,NR_103844
RPLP2,NM_001004
CCDC115,NM_001321118
EMC6,NM_001014764
RPL3,NM_000967
MAP1LC3A,NM_032514
BRK1,NM_018462
THAP7,NM_001008695
SLC25A5,NM_001152
RPP25L,NM_148178
BOLA3,NM_001035505
FAM174C,NM_017914
RPLP1,NM_001003
MRPL49,NM_004927
SARAF,NM_001284239
SHC4,NM_203349
PELI3,NM_001098510
REX1BD,NM_001100418
SOWAHB,NM_001029870
GABARAPL1,NM_001363598
TPRG1L,NM_182752
FAM89B,NM_001098784
RPL29,NM_000992
ALDOC,NM_005165
FAM32A,NM_014077
LY6E,NM_001127213
MAGEF1,NM_022149
UBXN1,NM_001286077
PFN2,NM_002628
RPS14,NM_001025070
OAZ1,NM_001301020
ANKRD65,NM_001145210
LSM2,NM_021177
SNHG32,NM_001040437
RSL24D1,NM_016304
FDX2,NM_001031734
MYADM,NM_001020818
HTR1E,NM_000865
BHLHE40,NM_003670
TMEM155,NA
H2AFZ,NA
BAX,NM_001291428
RPL34,NM_000995
C6orf163,NM_001010868
NDUFAF8,NM_001086521
RNF5,NM_006913
SPCS1,NM_014041
BEX4,NM_001080425
SYNC,NM_001161708
RPL10A,NM_007104
RAB5IF,NM_001199534
THY1,NM_001311160
BAG1,NM_001172415
MRPS24,NM_032014
RPS15,NM_001018
TOMM22,NM_020243
ATP6V1B2,NM_001693
SNRPE,NM_001304464
PYURF,NM_032906
TIMM8B,NM_012459
DRAP1,NM_006442
PEG13,NR_144431
SURF2,NM_001278928
COA3,NM_001040431
POMP,NM_015932
SALL2,NM_001291446
TIMM8A,NM_001145951
BEX5,NM_001012978
SMDT1,NM_033318
UQCRFS1,NM_006003
PGK1,NM_000291
PLPP6,NM_203453
RHOV,NM_133639
TMEM208,NM_001318217
MRPS17,NM_015969
RPL39,NM_001000
SCN1B,NM_001037
TCEAL8,NM_001006684
PNMA1,NM_006029
FAU,NM_001997
MICOS10,NM_001032363
RPS15A,NM_001019
CAMK2N2,NM_033259
EIF1B,NM_005875
POLR2I,NM_006233
TRIAP1,NM_016399
ADO,NM_032804
DIRAS1,NM_145173
MRPL51,NM_016497
FUT1,NM_000148
UBL4A,NM_014235
RPS4X,NM_001007
ZBTB22,NM_001145338
CBLN4,NM_080617
MZT1,NM_001071775
MRPS12,NM_021107
ATOX1,NM_004045
LAMTOR1,NM_017907
TMSB10,NM_021103
C20orf27,NA
OCEL1,NM_024578
ATP5MPL,NA
RRS1,NM_015169
RPL36AL,NM_001001
ENO2,NM_001975
MAGEL2,NM_019066
RPS16,NM_001020
KDM7A-DT,NR_024451
AP2M1,NM_001025205
TMEM17,NM_198276
PHLDA2,NM_003311
UQCRH,NM_001297565
PCSK1,NM_000439
CCDC184,NM_001013635
ZNF428,NM_182498
RPL10,NM_001256577
RPRML,NM_203400
ARF6,NM_001663
RPS25,NM_001028
UBE2S,NM_014501
TOMM6,NM_001134493
KRT10,NM_000421
ISCA2,NM_001272007
FTH1,NM_002032
NAP1L5,NM_153757
CFL2,NM_001243645
RPL35A,NM_000996
ABCC12,NM_001392028
RPL30,NM_000989
SNHG8,NR_003584
RPL14,NM_001034996
MRFAP1,NM_001272053
BTF3,NM_001037637
RPL32,NM_000994
TUSC1,NM_001004125
EEF1B2,NM_001037663
TTC9B,NM_152479
RPS2,NM_002952
RANBP1,NM_001278639
RPL11,NM_000975
TSR3,NM_001001410
RPL18,NM_000979
