GENE_SYMBOLS,refseq_ids
COA4,NM_016565
RPS23,NM_001025
TBXAS1,NM_001061
RPL7A,NM_000972
STOX1,NM_001130159
NRIP2,NM_031474
PARD6A,NM_001037281
TCEAL7,NM_001348258
VPS25,NM_032353
MRPL14,NM_001318767
EMC4,NM_001286420
SSR2,NM_003145
CHCHD7,NM_001011667
SLIRP,NM_001267863
COA8,NM_001302652
ATP5MC1,NM_001002027
MRPL34,NM_001382342
DOCK11,NM_144658
CISD2,NM_001008388
RPS18,NM_022551
TAFA3,NM_001004440
SUMO1,NM_001005781
TOMM6,NM_001134493
COX8A,NM_004074
KRT10,NM_000421
RPL18,NM_000979
RWDD2B,NM_001320724
ALYREF,NM_005782
NUDT15,NM_001304745
PADI2,NM_007365
BCAN,NM_021948
KLHDC9,NM_001007255
OST4,NM_001134693
COX5B,NM_001862
SSNA1,NM_003731
RPS5,NM_001009
NDUFS5,NM_001184979
ATP5PF,NM_001003696
COA5,NM_001008215
RPL27A,NM_000990
DRAP1,NM_006442
ISCA2,NM_001272007
NUBP2,NM_001284501
NME2,NM_001018137
TRIR,NM_001329738
TXN,NM_001244938
RPS24,NM_001026
TMEM203,NM_053045
BICDL2,NM_001103175
SYF2,NM_015484
MED7,NM_001100816
SCGN,NM_006998
SRSF9,NM_003769
SMIM26,NM_001348957
UQCC3,NM_001085372
RPS25,NM_001028
NAA38,NM_001320924
ANAPC11,NM_001002244
C6orf226,NM_001008739
ROMO1,NM_080748
CCDC85B,NM_006848
ATP5MF,NM_001003713
NDUFB10,NM_004548
TXNDC17,NM_032731
RPL19,NM_000981
C1QA,NM_001347465
RPL24,NM_000986
C9orf16,NA
TMEM256,NM_152766
ECHDC3,NM_024693
TMEM208,NM_001318217
NT5C3B,NM_052935
TMSB4X,NM_021109
NENF,NM_013349
UFC1,NM_016406
RASEF,NM_152573
IGFBP6,NM_002178
UXT,NM_004182
PIEZO2,NM_001378183
SELENOM,NM_080430
CLMP,NM_024769
ZNF622,NM_033414
PCDHA13,NM_018904
DPM2,NM_001378436
PSMG3,NM_001134340
SNRPE,NM_001304464
HRAS,NM_001130442
LAMTOR2,NM_001145264
GLRX2,NM_001243399
PRDX5,NM_001358511
MFGE8,NM_001114614
NT5C,NM_001252377
APEX1,NM_001244249
PLCXD3,NM_001005473
HCRTR1,NM_001525
S100A6,NM_014624
GUK1,NM_000858
FBXL15,NM_001387294
NDUFA12,NM_001258338
PRTG,NM_173814
MRPL54,NM_172251
SCN1B,NM_001037
MRPS12,NM_021107
DLL3,NM_016941
ZNF576,NM_001145347
IDH3B,NM_001258384
LGALS1,NM_002305
TCEAL5,NM_001012979
CCNI,NM_001348132
PET100,NM_001171155
HLA-B,NM_005514
ZNF516,NM_014643
PDRG1,NM_030815
CD74,NM_001025158
PPIL1,NM_016059
CHMP3,NM_001005753
CARD16,NM_001017534
BTF3,NM_001037637
BORCS7,NM_001136200
TEX55,NM_152539
RBIS,NM_001099670
COX6C,NM_004374
ITGA8,NM_001291494
LENG1,NM_024316
PMM1,NM_002676
SLC25A5,NM_001152
PNMA5,NM_001103150
RPL23A,NM_000984
TBC1D10C,NM_001256508
ATP5MC2,NM_001002031
DOCK9-DT,NR_047482
BEGAIN,NM_001159531
POLE3,NM_001278255
HSD11B2,NM_000196
PYDC1,NM_152901
C8orf33,NM_023080
SURF1,NM_001280787
RPS26,NM_001029
RPL23,NM_000978
TCEAL4,NM_001006935
CYCS,NM_018947
FABP6,NM_001040442
EMP2,NM_001424
TPRG1,NM_198485
RPL7,NM_000971
RPS4X,NM_001007
COX7B,NM_001866
NFKBIL1,NM_001144961
RPL27,NM_000988
HLA-DRB1,NM_001243965
RPL13,NM_000977
RGR,NM_001012720
NUDT22,NM_001128612
RPSA,NM_001304288
HIST1H3E,NA
CHCHD2,NM_001320327
U2AF1L4,NM_001040425
SLC38A2,NM_001307936
ELOB,NM_007108
C16orf74,NM_206967
DSP,NM_001008844
PEX16,NM_004813
PHLDA2,NM_003311
ISCU,NM_001301140
UBXN8,NM_001282189
CENPBD1,NA
MGAT4C,NM_001351282
GLRX5,NM_016417
MRPS7,NM_015971
SERF2,NM_001018108
NDUFB7,NM_004146
CLEC11A,NM_002975
MCOLN2,NM_001330647
COLEC11,NM_001255982
ANXA3,NM_005139
CCDC125,NM_001297696
AIF1,NM_001318970
ZNHIT1,NM_006349
CHRNB3,NM_000749
MMP26,NM_001384608
MRPL21,NM_181512
DCTN2,NM_001261412
GMPR2,NM_001002000
CHURC1,NM_001204063
MICOS13,NM_001308240
COX6B1,NM_001863
ZNF574,NM_001330519
RNF181,NM_016494
NME1,NM_000269
RND2,NM_005440
BEX4,NM_001080425
ABCF1,NM_001025091
KDM7A-DT,NR_024451
LOH12CR2,NR_024061
ZNF511,NM_145806
APLNR,NM_005161
FXYD1,NM_001278717
LYPLAL1-DT,NR_038845
CPT1B,NM_001145134
MARCH2,NA
ETFB,NM_001014763
C12orf10,NA
HMGN2,NM_005517
COPS6,NM_006833
C9orf116,NA
SCGB2B2,NM_001025591
ERP29,NM_001034025
PARK7,NM_001123377
STK16,NM_001008910
POLR2L,NM_021128
SAC3D1,NM_001367485
COA3,NM_001040431
SAMMSON,NR_110000
GTF3C6,NM_138408
GDF15,NM_004864
TMEM108,NM_001136469
PCDHA9,NM_014005
ENDOD1,NM_015036
PRELP,NM_002725
RNF7,NM_001201370
NHP2,NM_001034833
MRPS18A,NM_001193343
FAM71E1,NA
TRAPPC2B,NM_001355204
FIRRE,NR_026975
CHCHD4,NM_001098502
GAS5,NR_002578
OTOS,NM_148961
FOXF2,NM_001452
