GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
SPRED3,NM_001039616
MIEF1,NM_001304564
PEX11B,NM_001184795
WDR19,NM_001317924
KAT5,NM_001206833
SPRY4,NM_001127496
FNDC4,NM_022823
CASP8AP2,NM_001137667
MANEAL,NM_001031740
FAAH2,NM_001353840
CDIPT,NM_001286585
MCFD2,NM_001171506
NEU1,NM_000434
TOR1A,NM_000113
ZNF133,NM_001083330
ZNF782,NM_001001662
LAMP1,NM_005561
COPS7A,NM_001164093
UBFD1,NM_019116
RETREG2,NM_001321109
SPECC1L,NM_001145468
NEIL2,NM_001135746
KBTBD4,NM_001318716
BRF2,NM_018310
DUBR,NR_028301
TMEM14B,NM_001127711
TINF2,NM_001099274
DCAF11,NM_001163484
EAF1,NM_033083
GABBR1,NM_001319053
OPRL1,NM_000913
WASF2,NM_001201404
ATP6V0E2,NM_001100592
PSAP,NM_001042465
RTN4,NM_001321859
STX8,NM_004853
ACP2,NM_001131064
BAIAP2-DT,NM_001004336
WDR77,NM_001317062
MCPH1,NM_001172574
ARCN1,NM_001142281
SLC39A7,NM_001077516
C3orf18,NM_001171740
C2CD2L,NM_001290474
C1orf216,NM_001348691
TGOLN2,NM_001206840
TAF13,NM_005645
NAT8L,NM_178557
ANKRD26,NM_001256053
PDSS2,NM_020381
AAMP,NM_001087
PTGES2,NM_001256335
GNL1,NM_005275
PGAM1,NM_001317079
IRAK1BP1,NM_001010844
MAL2,NM_052886
SULT4A1,NM_014351
ANTXR1,NM_001410840
XRN1,NM_001042604
DNAJB9,NM_012328
TMEM9B,NM_001286094
PLEKHJ1,NM_001300836
ATP6AP1,NM_001183
PNMA8A,NM_001103149
EHMT1,NM_001039765
NPM3,NM_006993
B4GALT7,NM_007255
ARMCX3,NM_016607
TUSC2,NM_007275
RESF1,NM_018169
HMGN4,NM_006353
SYNM,NM_015286
BCL2L2,NM_001199839
TMX4,NM_021156
CNTRL,NM_001330762
CLPTM1L,NM_030782
NICN1,NM_032316
MFN2,NM_001127660
ATP6AP2,NM_005765
FAM222B,NM_001077498
PPEF1,NM_001377986
MOCS3,NM_014484
TTPAL,NM_001039199
SSR2,NM_003145
KIZ,NM_001163022
C3orf80,NM_001168214
FEZ1,NM_005103
CCDC30,NM_001080850
TAF7,NM_005642
FARSA,NM_004461
NECAP1,NM_015509
ZC4H2,NM_001178032
PIGS,NM_033198
MMP24OS,NM_001355003
ITM2C,NM_001012514
B3GALNT1,NM_001038628
PER2,NM_003894
CRADD,NM_001320099
NRN1,NM_001278710
TM2D3,NM_001307960
MRPL49,NM_004927
PEX19,NM_001131039
FITM2,NM_001080472
SHISA4,NM_198149
UBE3D,NM_001304437
ATP6V1D,NM_015994
NDEL1,NM_001025579
DHCR24,NM_014762
ASB1,NM_001040445
OAZ2,NM_001301302
PLK3,NM_004073
APEX1,NM_001244249
MYADM,NM_001020818
CCNQ,NM_001130997
PPT1,NM_000310
RBL1,NM_001323281
CCDC180,NM_001348010
USP5,NM_001098536
STK16,NM_001008910
ATG9A,NM_001077198
LRTM2,NM_001039029
SARAF,NM_001284239
OTUB1,NM_017670
TIMM17A,NM_006335
SOWAHB,NM_001029870
GLRX5,NM_016417
KAT2B,NM_003884
HTR1E,NM_000865
ATXN7L1,NM_001318229
PINK1,NM_032409
THEM6,NM_001363000
ANAPC15,NM_001278485
LGI3,NM_139278
FAM32A,NM_014077
CAPZA2,NM_006136
POLE3,NM_001278255
MAK16,NM_032509
FBXO42,NM_018994
RBM41,NM_001171080
MEF2D,NM_001271629
LRRC47,NM_020710
NCBP2AS2,NM_001355243
KBTBD11,NM_014867
KMO,NM_001410944
NSG1,NM_001040101
SNAPC5,NM_001329613
SPATA2L,NM_152339
STMN3,NM_001276310
BBS9,NM_001033604
RAD9A,NM_001243224
BLOC1S6,NM_001311255
N4BP2,NM_001318359
NSG2,NM_015980
BHLHE40,NM_003670
HDDC3,NM_001286451
TMEM208,NM_001318217
CDK20,NM_001039803
TBCC,NM_003192
CD59,NM_000611
ARPC5L,NM_030978
SLC30A3,NM_001318949
TMEM155,NA
LRRC37B,NM_001321350
NFATC3,NM_004555
CAPN1,NM_001198868
SELENOW,NM_003009
FRMD4A,NM_001318336
ACTG1,NM_001199954
SMKR1,NM_001195243
SYVN1,NM_032431
SEPHS2,NM_012248
AZIN1,NM_001301668
KDELR2,NM_001100603
WSB2,NM_001278557
ZNF345,NM_001242472
MAP1LC3A,NM_032514
TWISTNB,NA
HEIH,NR_045680
COQ10B,NM_001320818
CCDC115,NM_001321118
DNAJC5,NM_025219
ABRACL,NM_021243
SNN,NM_003498
TMEM167A,NM_174909
STRAP,NM_007178
CDKN2AIPNL,NM_080656
MRTO4,NM_016183
SNHG15,NR_003697
PLA2G15,NM_001363551
PMM1,NM_002676
MOAP1,NM_022151
SRPRA,NM_001177842
MNS1,NM_018365
PIP4P1,NM_001100814
BOD1,NM_001159651
ACLY,NM_001096
RNF112,NM_007148
RNPC3,NM_017619
RGS4,NM_001102445
FRMD6,NM_001042481
MYDGF,NM_019107
APH1A,NM_001077628
PNMA1,NM_006029
MLX,NM_013383
KLHDC3,NM_001242872
FJX1,NM_014344
MUL1,NM_024544
SUPT4H1,NM_003168
GABRD,NM_000815
FEN1,NM_004111
RPS6KA5,NM_001322227
ARF4,NM_001660
RTL6,NM_032287
TMEM130,NM_001134450
MSI2,NM_001322250
PPCDC,NM_001301101
NCBP2,NM_001042540
ISCU,NM_001301140
VDAC1,NM_001401008
STBD1,NM_003943
IFT140,NM_014714
NPTN-IT1,NR_103844
CAMKV,NM_001320147
POLR2K,NM_005034
ATP6V1B2,NM_001693
PEG13,NR_144431
EMC7,NM_020154
CNDP2,NM_001168499
ADO,NM_032804
TMED2,NM_001321445
CRPPA,NM_001101417
BRD2,NM_001113182
ZPR1,NM_001317086
SNRNP25,NM_024571
SDHAF1,NM_001042631
VPS25,NM_032353
MAGEF1,NM_022149
PLPP6,NM_203453
RORA,NM_002943
SH2D5,NM_001103160
GMPR2,NM_001002000
SUV39H1,NM_001282166
TIGD3,NM_145719
TPRG1L,NM_182752
ZCWPW2,NM_001040432
NPM1,NM_001037738
TRAPPC4,NM_001318486
CBLN4,NM_080617
GID8,NM_017896
FNDC5,NM_001171940
ABCF2,NM_007189
PELI3,NM_001098510
ALYREF,NM_005782
RBMS3,NM_001003792
MPI,NM_001289155
BPGM,NM_001293085
ZNF587B,NM_001204818
AHCY,NM_000687
PRAF2,NM_007213
IDH3B,NM_001258384
LRRTM1,NM_178839
NFS1,NM_001198989
