GENE_SYMBOLS,refseq_ids
ANKRD65,NM_001145210
RPL22,NM_000983
CAMTA1-DT,NR_149049
MICOS10,NM_001032363
RPL11,NM_000975
SYF2,NM_015484
ATP5IF1,NM_016311
LSM10,NM_032881
C1orf122,NM_001142726
NDUFS5,NM_001184979
RPS8,NM_001012
UQCRH,NM_001297565
LAMTOR5,NM_001382293
TAFA3,NM_001004440
POLR3GL,NM_001330685
MRPS21,NM_018997
RIIAD1,NM_001144956
RPS27,NM_001030
HAX1,NM_001018837
SSR2,NM_003145
BCAN,NM_021948
TSTD1,NM_001113205
KLHDC9,NM_001007255
UFC1,NM_016406
RNF2,NM_007212
C1orf53,NM_001024594
NENF,NM_013349
RPS7,NM_001011
POMC,NM_000939
OST4,NM_001134693
FNDC4,NM_022823
MRPL33,NM_004891
MORN2,NM_001145450
RPS27A,NM_001135592
FANCL,NM_001114636
SNRPG,NM_001317165
PRADC1,NM_032319
BOLA3,NM_001035505
TMSB10,NM_021103
COX5B,NM_001862
COA5,NM_001008215
CHCHD5,NM_001304353
MZT2B,NM_001330282
MZT2A,NM_001085365
R3HDM1,NM_001282798
NDUFB3,NM_001257102
SUMO1,NM_001005781
EEF1B2,NM_001037663
RPL37A,NM_000998
COPS9,NM_001163424
DUSP28,NM_001033575
BRK1,NM_018462
RPL32,NM_000994
LSM3,NM_014463
RPL14,NM_001034996
TMA7,NM_001329417
RPL29,NM_000992
SPCS1,NM_014041
RPL24,NM_000986
IGSF11,NM_001015887
COX17,NM_001382002
RYK,NM_001005861
RPL22L1,NM_001099645
MRPL47,NM_020409
DNAJC19,NM_001190233
RPL39L,NM_052969
NCBP2AS2,NM_001355243
RPL35A,NM_000996
ATP5ME,NM_007100
SMIM20,NM_001145432
RPL9,NM_000661
OCIAD2,NM_001014446
MRPS18C,NM_001297767
H2AFZ,NA
CISD2,NM_001008388
RPL34,NM_000995
SNHG8,NR_003584
RNF150,NM_020724
RPS3A,NM_001006
MRPL36,NM_032479
NDUFS6,NM_004553
DNAH5,NM_001369
RPL37,NM_000997
MRPS36,NM_033281
AK6,NM_001015891
RPS23,NM_001025
COX7C,NM_001867
UQCRQ,NM_014402
PCDHAC1,NM_018898
RPS14,NM_001025070
ATOX1,NM_004045
MED7,NM_001100816
RPL26L1,NM_001317980
HEIH,NR_045680
NRN1,NM_001278710
NHLRC1,NM_198586
MRPS18B,NM_014046
LSM2,NM_021177
RPS18,NM_022551
RPS10,NM_001014
RPL10A,NM_007104
TOMM6,NM_001134493
C6orf226,NM_001008739
MRPL2,NM_001300848
DNPH1,NM_006443
MRPL14,NM_001318767
COX7A2,NM_001366292
SH3BGRL2,NM_031469
FAM229B,NM_001033564
RWDD1,NM_001007464
HDDC2,NM_016063
RPS12,NM_001016
ABRACL,NM_021243
GTF2H5,NM_207118
NUDT1,NM_001367553
ZDHHC4,NM_001134387
TOMM7,NM_019059
PDE1C,NM_001191056
MRPS24,NM_032014
SNHG15,NR_003697
SEC61G,NM_001012456
RFC2,NM_001278791
BRI3,NM_001159491
PDAP1,NM_014891
ATP5MF,NM_001003713
LAMTOR4,NM_001008395
FIS1,NM_016068
IFT22,NM_001130820
NDUFA5,NM_001282419
SMKR1,NM_001195243
STMP1,NM_001130929
NDUFB2,NM_004546
MRPS33,NM_016071
C8orf48,NM_001007090
TNFRSF10B,NM_003842
CCDC25,NM_001304529
SMIM19,NM_001135674
CHCHD7,NM_001011667
CRH,NM_000756
SNHG6,NR_002599
ELOC,NM_001204857
UQCRB,NM_001199975
RPL30,NM_000989
POLR2K,NM_005034
COMMD5,NM_001081003
DMAC1,NM_001318058
BAG1,NM_001172415
NUDT2,NM_001161
RPP25L,NM_148178
HINT2,NM_032593
TOMM5,NM_001001790
DAPK1,NM_001288729
SEC61B,NM_006808
TXN,NM_001244938
CDC26,NM_139286
RPL35,NM_007209
RPL12,NM_000976
C9orf16,NA
URM1,NM_001135947
RPL7A,NM_000972
TMEM141,NM_032928
SSNA1,NM_003731
TMEM203,NM_053045
FRMPD2,NM_001017929
CHCHD1,NM_203298
RPS24,NM_001026
NDUFB8,NM_001284367
ATP5MD,NA
