NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SSR4	1	SSR4	
TMEM141	1	TMEM141	
FITM2	1	FITM2	
CHCHD1	1	CHCHD1	
KPNA2	1	KPNA2	
NDUFS5	1	NDUFS5	
CDR1	1	CDR1	
UFC1	1	UFC1	
UCP3	1	UCP3	
TRMT11	1	TRMT11	
BRK1	1	BRK1	
EXOSC4	1	EXOSC4	
MACROD2	1	MACROD2	
EEF1B2	1	EEF1B2	
CALY	1	CALY	
IRF3	1	IRF3	
ACP2	1	ACP2	
OTOGL	1	OTOGL	
PSMC1	1	PSMC1	
SH2B2	1	SH2B2	
STAR	1	STAR	
TOP3B	1	TOP3B	
ZMYM4	1	ZMYM4	
MED7	1	MED7	
FJX1	1	FJX1	
SF3B5	1	SF3B5	
BCL2L11	1	BCL2L11	
MRPL40	1	MRPL40	
AP1S1	1	AP1S1	
NAA38	1	NAA38	
PIK3C2B	1	PIK3C2B	
OAZ2	1	OAZ2	
NEDD8	1	NEDD8	
MIF	1	MIF	
ATOX1	1	ATOX1	
NUDT12	1	NUDT12	
PHLDB3	1	PHLDB3	
OR2L5	1	OR2L5	
SLC35A4	1	SLC35A4	
UQCRFS1	1	UQCRFS1	
TYR	1	TYR	
INSM1	1	INSM1	
SRP14	1	SRP14	
GOT1	1	GOT1	
LIN7B	1	LIN7B	
SCIMP	1	SCIMP	
FAM242A	1	FAM242A	
DHRS7	1	DHRS7	
TSIX	1	TSIX	
OR2M2	1	OR2M2	
NDUFA1	1	NDUFA1	
SNU13	1	SNU13	
ROMO1	1	ROMO1	
POU2F2	1	POU2F2	
LMF1	1	LMF1	
GPS1	1	GPS1	
ATP5MK	1	ATP5MD	
TIMM8B	1	TIMM8B	
B3GNT4	1	B3GNT4	
GPN3	1	GPN3	
ASB18	1	ASB18	
TIMM13	1	TIMM13	
CKB	1	CKB	
FAM241B	1	FAM241B	
TRAPPC2L	1	TRAPPC2L	
IGFBP2	1	IGFBP2	
GLI4	1	GLI4	
EDN1	1	EDN1	
MYL12B	1	MYL12B	
PXN	1	PXN	
CHURC1	1	CHURC1	
ANTKMT	1	ANTKMT	
FAM50B	1	FAM50B	
HINT3	1	HINT3	
MANBAL	1	MANBAL	
L3MBTL1	1	L3MBTL1	
PRAF2	1	PRAF2	
CLEC2D	1	CLEC2D	
SCYL1	1	SCYL1	
DERL1	1	DERL1	
LRPAP1	1	LRPAP1	
ATP6V1D	1	ATP6V1D	
PPIB	1	PPIB	
ZNRD2	1	ZNRD2	
SPARCL1	1	SPARCL1	
CRTC2	1	CRTC2	
GAS8	1	GAS8	
MRPS6	1	MRPS6	
TCEAL8	1	TCEAL8	
MDH1	1	MDH1	
PLEKHH1	1	PLEKHH1	
IMP4	1	IMP4	
RAB5IF	1	RAB5IF	
CASP8	1	CASP8	
NDUFA4	1	NDUFA4	
LKAAEAR1	1	LKAAEAR1	
HSD17B1	1	HSD17B1	
CAPN14	1	CAPN14	
ITM2C	1	ITM2C	
CBLB	1	CBLB	
FAM81B	1	FAM81B	
TAF13	1	TAF13	
DNAJC8	1	DNAJC8	
MED10	1	MED10	
ATP5PB	1	ATP5PB	
RNF141	1	RNF141	
NLE1	1	NLE1	
VDAC1	1	VDAC1	
DRAIC	1	DRAIC	
AP2M1	1	AP2M1	
NICOL1	1	C4orf48	
GZF1	1	GZF1	
COX7A1	1	COX7A1	
NPFF	1	NPFF	
LSM4	1	LSM4	
GARIN2	1	FAM71D	
PHB1	1	PHB	
YBX3	1	YBX3	
ARMCX3	1	ARMCX3	
SURF1	1	SURF1	
TNNI3K	1	TNNI3K	
SNAPC2	1	SNAPC2	
RNF169	1	RNF169	
ATP6V1F	1	ATP6V1F	
HACD4	1	HACD4	
NMT2	1	NMT2	
DMD	1	DMD	
BEX3	1	BEX3	
GARIN5A	1	FAM71E1	
RPS17	1	RPS17	
PSMA4	1	PSMA4	
AP2S1	1	AP2S1	
PFKM	1	PFKM	
ARFIP2	1	ARFIP2	
ADH5	1	ADH5	
STIP1	1	STIP1	
C1QTNF4	1	C1QTNF4	
BUD31	1	BUD31	
ASMTL	1	ASMTL	
TSR3	1	TSR3	
MISFA	1	SPTY2D1OS	
ZFTRAF1	1	CYHR1	
ADK	1	ADK	
FFAR4	1	FFAR4	
GKAP1	1	GKAP1	
WDR24	1	WDR24	
STARD3NL	1	STARD3NL	
COQ10B	1	COQ10B	
LHFPL6	1	LHFPL6	
HLA-DPB1	1	HLA-DPB1	
UBL7	1	UBL7	
FSTL5	1	FSTL5	
CCDC184	1	CCDC184	
SPRED3	1	SPRED3	
ZBTB21	1	ZBTB21	
SUPT4H1	1	SUPT4H1	
DUSP1	1	DUSP1	
ALKBH7	1	ALKBH7	
NMNAT1	1	NMNAT1	
ESYT1	1	ESYT1	
TUBB2A	1	TUBB2A	
SULT1A2	1	SULT1A2	
XRCC3	1	XRCC3	
MRPL14	1	MRPL14	
KRTCAP2	1	KRTCAP2	
KCNT2	1	KCNT2	
ATP5MC3	1	ATP5MC3	
NDUFB2	1	NDUFB2	
PANK4	1	PANK4	
PCDHB7	1	PCDHB7	
SLC11A1	1	SLC11A1	
RER1	1	RER1	
ADAMTS13	1	ADAMTS13	
ZNF830	1	ZNF830	
SP140	1	SP140	
R3HCC1	1	R3HCC1	
ELOC	1	ELOC	
RHOJ	1	RHOJ	
ERLEC1	1	ERLEC1	
TTLL7-IT1	1	TTLL7-IT1	
CBR1	1	CBR1	
WNT2B	1	WNT2B	
DDX24	1	DDX24	
PARK7	1	PARK7	
HSPA1A	1	HSPA1A	
PDGFB	1	PDGFB	
LDLRAP1	1	LDLRAP1	
LAMTOR5	1	LAMTOR5	
ANKRD31	1	ANKRD31	
RTF2	1	RTF2	
SERPINE3	1	SERPINE3	
OTUB1	1	OTUB1	
NDP	1	NDP	
PHLDA3	1	PHLDA3	
DRAP1	1	DRAP1	
NFS1	1	NFS1	
ZBTB3	1	ZBTB3	
HIGD2A	1	HIGD2A	
NDUFA2	1	NDUFA2	
TSR2	1	TSR2	
ENO1	1	ENO1	
CLPP	1	CLPP	
HAX1	1	HAX1	
CERS2	1	CERS2	
BEX1	1	BEX1	
LAGE3	1	LAGE3	
PSMA7	1	PSMA7	
SNRPD2	1	SNRPD2	
KCNF1	1	KCNF1	
KBTBD4	1	KBTBD4	
RAD23B	1	RAD23B	
TCEAL6	1	TCEAL6	
SLFNL1	1	SLFNL1	
ZCCHC3	1	ZCCHC3	
CELF3	1	CELF3	
MRPL18	1	MRPL18	
CCT5	1	CCT5	
ATP5MC2	1	ATP5MC2	
TUBB6	1	TUBB6	
FKBP2	1	FKBP2	
SNCG	1	SNCG	
SF3A1	1	SF3A1	
DPYD	1	DPYD	
MRPS10	1	MRPS10	
DDX21	1	DDX21	
CGREF1	1	CGREF1	
NAA20	1	NAA20	
ZNF787	1	ZNF787	
EDF1	1	EDF1	
C3orf18	1	C3orf18	
SLC39A3	1	SLC39A3	
SLC25A4	1	SLC25A4	
RGMA	1	RGMA	
PUSL1	1	PUSL1	
ANKRD65	1	ANKRD65	
HOMER2	1	HOMER2	
KCND2	1	KCND2	
SLC8B1	1	SLC8B1	
FAM66C	1	FAM66C	
ATP6V0E2	1	ATP6V0E2	
PGK1	1	PGK1	
MANBA	1	MANBA	
NUDT10	1	NUDT10	
ATP8B4	1	ATP8B4	
LUNAR1	1	LUNAR1	
MOAP1	1	MOAP1	
NDUFB4	1	NDUFB4	
SAP18	1	SAP18	
PDE6C	1	PDE6C	
ATP6V1A	1	ATP6V1A	
RABAC1	1	RABAC1	
WBP11	1	WBP11	
ZNF428	1	ZNF428	
ZSWIM4	1	ZSWIM4	
GABARAPL2	1	GABARAPL2	
VWF	1	VWF	
C12orf57	1	C12orf57	
PINK1	1	PINK1	
SUB1	1	SUB1	
PSEN2	1	PSEN2	
BBC3	1	BBC3	
MAP1LC3B	1	MAP1LC3B	
ECHS1	1	ECHS1	
ANKRD53	1	ANKRD53	
SPACA9	1	SPACA9	
RNF166	1	RNF166	
IFT140	1	IFT140	
RAB3A	1	RAB3A	
SURF2	1	SURF2	
TRAPPC1	1	TRAPPC1	
CD63	1	CD63	
UQCC2	1	UQCC2	
CIB1	1	CIB1	
MYL6	1	MYL6	
ALDOB	1	ALDOB	
MFAP1	1	MFAP1	
NICN1	1	NICN1	
CALN1	1	CALN1	
JOSD2	1	JOSD2	
ZCRB1	1	ZCRB1	
UBA52	1	UBA52	
NUDT6	1	NUDT6	
VDAC2	1	VDAC2	
DEGS2	1	DEGS2	
COA8	1	COA8	
UTY	1	UTY	
STUB1	1	STUB1	
GRPEL2	1	GRPEL2	
EIF2S1	1	EIF2S1	
CLSPN	1	CLSPN	
CHCHD5	1	CHCHD5	
SEC61G	1	SEC61G	
SLC2A8	1	SLC2A8	
GOT2	1	GOT2	
NDUFB3	1	NDUFB3	
TYW3	1	TYW3	
ARG1	1	ARG1	
SERPINB9P1	1	SERPINB9P1	
ENG	1	ENG	
ATP5ME	1	ATP5ME	
NRN1	1	NRN1	
PRDX1	1	PRDX1	
HSPA8	1	HSPA8	
TK2	1	TK2	
CINP	1	CINP	
ARPC3	1	ARPC3	
NHERF2	1	SLC9A3R2	
TMEM186	1	TMEM186	
SNRNP27	1	SNRNP27	
PNMT	1	PNMT	
ABCA7	1	ABCA7	
SMARCAL1	1	SMARCAL1	
KDELR1	1	KDELR1	
TMEM147	1	TMEM147	
DIPK1A	1	DIPK1A	
LACC1	1	LACC1	
PPP1R1A	1	PPP1R1A	
CACNG2	1	CACNG2	
ACP6	1	ACP6	
SAC3D1	1	SAC3D1	
ANAPC10	1	ANAPC10	
MRPL54	1	MRPL54	
DNMT3B	1	DNMT3B	
NKRF	1	NKRF	
RPL29	1	RPL29	
ANKRD36	1	ANKRD36	
MRPS36	1	MRPS36	
XKR7	1	XKR7	
HPS6	1	HPS6	
RPL8	1	RPL8	
PSME1	1	PSME1	
POLR1E	1	POLR1E	
TPI1	1	TPI1	
COX14	1	COX14	
CROCC	1	CROCC	
SPSB2	1	SPSB2	
SLC22A1	1	SLC22A1	
TRPC5	1	TRPC5	
HSBP1	1	HSBP1	
MAP1LC3A	1	MAP1LC3A	
POLR2D	1	POLR2D	
ATP5PF	1	ATP5PF	
ROR2	1	ROR2	
RASSF3	1	RASSF3	
CRKL	1	CRKL	
ASCC3	1	ASCC3	
COMMD3	1	COMMD3	
HCCS	1	HCCS	
DYNLRB1	1	DYNLRB1	
ATP5F1E	1	ATP5F1E	
DUBR	1	DUBR	
ADRA1D	1	ADRA1D	
DAXX	1	DAXX	
SCML2	1	SCML2	
RRN3	1	RRN3	
GSPT2	1	GSPT2	
C2orf69	1	C2orf69	
ZNF703	1	ZNF703	
OTUD1	1	OTUD1	
ATP5IF1	1	ATP5IF1	
ZNF689	1	ZNF689	
ARMC5	1	ARMC5	
PDIK1L	1	PDIK1L	
ALG2	1	ALG2	
EBF4	1	EBF4	
SERP1	1	SERP1	
EPDR1	1	EPDR1	
C2orf80	1	C2orf80	
UBXN8	1	UBXN8	
GRINA	1	GRINA	
PIK3C2G	1	PIK3C2G	
UQCRC1	1	UQCRC1	
UQCC3	1	UQCC3	
TFPT	1	TFPT	
PPP1R11	1	PPP1R11	
RASIP1	1	RASIP1	
TLCD3A	1	TLCD3A	
SCO2	1	SCO2	
PPIL1	1	PPIL1	
RPSA	1	RPSA	
SRP68	1	SRP68	
CSTF2T	1	CSTF2T	
RGPD2	1	RGPD2	
TWIST1	1	TWIST1	
DNAJB1	1	DNAJB1	
MATR3	1	MATR3	
USP40	1	USP40	
FAM174C	1	FAM174C	
GCHFR	1	GCHFR	
ENOPH1	1	ENOPH1	
HNRNPA0	1	HNRNPA0	
NDUFV1	1	NDUFV1	
ALDOC	1	ALDOC	
GRHPR	1	GRHPR	
RNH1	1	RNH1	
SMIM18	1	SMIM18	
PKM	1	PKM	
SSRP1	1	SSRP1	
LAMTOR2	1	LAMTOR2	
CCNA1	1	CCNA1	
PLEKHA3	1	PLEKHA3	
HS1BP3	1	HS1BP3	
MRPL11	1	MRPL11	
PSMD2	1	PSMD2	
PPP1R3F	1	PPP1R3F	
TMEM183A	1	TMEM183A	
NUDT16	1	NUDT16	
LDHB	1	LDHB	
HMGN2	1	HMGN2	
KLHL41	1	KLHL41	
TMEM18	1	TMEM18	
NEIL2	1	NEIL2	
TAF7	1	TAF7	
DCAF11	1	DCAF11	
SLC15A2	1	SLC15A2	
EID2	1	EID2	
TMEM241	1	TMEM241	
MANEAL	1	MANEAL	
IGFBP6	1	IGFBP6	
ING2	1	ING2	
EFHD2	1	EFHD2	
BRD9	1	BRD9	
ENDOD1	1	ENDOD1	
SLC5A3	1	SLC5A3	
CA11	1	CA11	
VAMP1	1	VAMP1	
BTBD8	1	BTBD8	
FAHD2B	1	FAHD2B	
CSTPP1	1	C11orf49	
GOLGA6L9	1	GOLGA6L9	
CATSPERG	1	CATSPERG	
MRPL27	1	MRPL27	
DALRD3	1	DALRD3	
FANCF	1	FANCF	
SNX17	1	SNX17	
TOX3	1	TOX3	
CAPN5	1	CAPN5	
TSSC4	1	TSSC4	
TRAPPC2B	1	TRAPPC2B	
SPIN2B	1	SPIN2B	
TXN	1	TXN	
LRRD1	1	LRRD1	
AARS1	1	AARS	
NR1D2	1	NR1D2	
SELENOK	1	SELENOK	
PCDHA12	1	PCDHA12	
ZNF865	1	ZNF865	
PFDN6	1	PFDN6	
DSTN	1	DSTN	
PPP1R14B	1	PPP1R14B	
ZSCAN20	1	ZSCAN20	
SLC30A3	1	SLC30A3	
GADD45A	1	GADD45A	
FBXO2	1	FBXO2	
MAN1B1-DT	1	MAN1B1-DT	
NEU1	1	NEU1	
BASP1	1	BASP1	
STK31	1	STK31	
RPS19BP1	1	RPS19BP1	
PTCSC2	1	PTCSC2	
ZDHHC23	1	ZDHHC23	
SNX15	1	SNX15	
GABRD	1	GABRD	
CCNI	1	CCNI	
SDHAF1	1	SDHAF1	
TUBB4B	1	TUBB4B	
HINT1	1	HINT1	
NDFIP1	1	NDFIP1	
TTC31	1	TTC31	
MRPL20	1	MRPL20	
DHPS	1	DHPS	
DEXI	1	DEXI	
ABHD14A	1	ABHD14A	
SNIP1	1	SNIP1	
SSTR3	1	SSTR3	
FAM163A	1	FAM163A	
MXRA7	1	MXRA7	
EIF2AK1	1	EIF2AK1	
TOR3A	1	TOR3A	
ZNF726	1	ZNF726	
TTTY10	1	TTTY10	
PPM1K	1	PPM1K	
PDE1C	1	PDE1C	
PRR13	1	PRR13	
HIGD1A	1	HIGD1A	
ERCC6L	1	ERCC6L	
STOX1	1	STOX1	
ZDHHC22	1	ZDHHC22	
MLEC	1	MLEC	
NELFA	1	NELFA	
PPP1R3D	1	PPP1R3D	
LRMDA	1	LRMDA	
GPATCH11	1	GPATCH11	
MZT2A	1	MZT2A	
TPBGL	1	TPBGL	
IRAK1BP1	1	IRAK1BP1	
POLRMT	1	POLRMT	
ATP6V1G1	1	ATP6V1G1	
RPA3	1	RPA3	
MLXIPL	1	MLXIPL	
GLCE	1	GLCE	
ZNF302	1	ZNF302	
AIRIM	1	C1orf109	
SLC41A1	1	SLC41A1	
CDKN2A	1	CDKN2A	
NRIP2	1	NRIP2	
ARL2	1	ARL2	
ABCF1	1	ABCF1	
DBP	1	DBP	
ADPRS	1	ADPRHL2	
OR2M4	1	OR2M4	
NALCN	1	NALCN	
IER5L	1	IER5L	
NDUFC1	1	NDUFC1	
TXNDC9	1	TXNDC9	
PTRHD1	1	PTRHD1	
PSMD7	1	PSMD7	
CAMLG	1	CAMLG	
RHBDD1	1	RHBDD1	
POLE4	1	POLE4	
UNC5C	1	UNC5C	
NDRG3	1	NDRG3	
FGF17	1	FGF17	
WNT5A	1	WNT5A	
DYNLT3	1	DYNLT3	
EIF3I	1	EIF3I	
C14orf119	1	C14orf119	
ZNF576	1	ZNF576	
NMT1	1	NMT1	
SAT2	1	SAT2	
MRPL17	1	MRPL17	
TGFB1	1	TGFB1	
TIMM17A	1	TIMM17A	
POLDIP3	1	POLDIP3	
CD81	1	CD81	
LAMTOR1	1	LAMTOR1	
DNAJB4	1	DNAJB4	
GADD45G	1	GADD45G	
STK40	1	STK40	
STRAP	1	STRAP	
RAE1	1	RAE1	
TOX4	1	TOX4	
FNDC4	1	FNDC4	
SHTN1	1	SHTN1	
SERF2	1	SERF2	
SMIM15	1	SMIM15	
NAPB	1	NAPB	
ACSL3	1	ACSL3	
ANXA6	1	ANXA6	
GRM5	1	GRM5	
MBD2	1	MBD2	
KHK	1	KHK	
AGAP2	1	AGAP2	
APBB3	1	APBB3	
KLHDC8A	1	KLHDC8A	
SEC61B	1	SEC61B	
COMMD10	1	COMMD10	
SPAG7	1	SPAG7	
MGAT4B	1	MGAT4B	
ATG2A	1	ATG2A	
YWHAH	1	YWHAH	
ADAM28	1	ADAM28	
RTL8A	1	RTL8A	
UBL4A	1	UBL4A	
SSTR2	1	SSTR2	
GSTO1	1	GSTO1	
NDUFAF3	1	NDUFAF3	
FAM136A	1	FAM136A	
LSM10	1	LSM10	
EIF6	1	EIF6	
TLE3	1	TLE3	
SLC25A25	1	SLC25A25	
BAG4	1	BAG4	
NSMCE3	1	NSMCE3	
ZNF468	1	ZNF468	
DOC2A	1	DOC2A	
IGIP	1	IGIP	
LCA5L	1	LCA5L	
ITPRIPL1	1	ITPRIPL1	
SNRPE	1	SNRPE	
MERTK	1	MERTK	
NMNAT3	1	NMNAT3	
AKR1C1	1	AKR1C1	
SOD1	1	SOD1	
MRPL30	1	MRPL30	
TBCC	1	TBCC	
KPNB1	1	KPNB1	
PFKFB4	1	PFKFB4	
ZNF598	1	ZNF598	
PARTICL	1	PARTICL	
PDHB	1	PDHB	
SEMA3B	1	SEMA3B	
PPFIBP2	1	PPFIBP2	
ADGRG1	1	ADGRG1	
ENY2	1	ENY2	
TAF10	1	TAF10	
NUDT14	1	NUDT14	
CCT7	1	CCT7	
KCNJ2	1	KCNJ2	
KCNMB3	1	KCNMB3	
NKAPL	1	NKAPL	
DCTN2	1	DCTN2	
DAP	1	DAP	
FIGN	1	FIGN	
NDUFB5	1	NDUFB5	
PIK3CD	1	PIK3CD	
CYB5D1	1	CYB5D1	
STBD1	1	STBD1	
CFL1	1	CFL1	
ALG10B	1	ALG10B	
DNPH1	1	DNPH1	
ZNF48	1	ZNF48	
PFN4	1	PFN4	
SDC2	1	SDC2	
CENPP	1	CENPP	
LRRC69	1	LRRC69	
TMCO1	1	TMCO1	
GPRIN3	1	GPRIN3	
SMIM26	1	SMIM26	
KIF11	1	KIF11	
PDE5A	1	PDE5A	
MSX1	1	MSX1	
MRPL36	1	MRPL36	
ARHGEF2	1	ARHGEF2	
KDM4D	1	KDM4D	
DMAC1	1	DMAC1	
ZNF511	1	ZNF511	
