NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
FIBP	1	FIBP	
FZD4-DT	1	FZD4-DT	
SHC4	1	SHC4	
PSENEN	1	PSENEN	
HMOX2	1	HMOX2	
E2F4	1	E2F4	
TMEM160	1	TMEM160	
CCND2	1	CCND2	
PBDC1	1	PBDC1	
NME1	1	NME1	
BEX5	1	BEX5	
ZNF780A	1	ZNF780A	
ZNF354C	1	ZNF354C	
SPCS1	1	SPCS1	
COMMD9	1	COMMD9	
SCAND1	1	SCAND1	
PIGBOS1	1	PIGBOS1	
PSMA5	1	PSMA5	
FEZ1	1	FEZ1	
MRTO4	1	MRTO4	
TIMM8A	1	TIMM8A	
COX5A	1	COX5A	
ATP5MC1	1	ATP5MC1	
SLCO2A1	1	SLCO2A1	
NDUFAB1	1	NDUFAB1	
THAP8	1	THAP8	
NDUFA8	1	NDUFA8	
NDUFA6	1	NDUFA6	
NDUFS6	1	NDUFS6	
RNF181	1	RNF181	
RNASEK	1	RNASEK	
B3GALT4	1	B3GALT4	
TIMM10	1	TIMM10	
NDUFB7	1	NDUFB7	
GSTP1	1	GSTP1	
PIM2	1	PIM2	
NAIF1	1	NAIF1	
POLE3	1	POLE3	
MAS1	1	MAS1	
RPS4Y1	1	RPS4Y1	
SLC25A5	1	SLC25A5	
PRDX5	1	PRDX5	
NDUFB1	1	NDUFB1	
PA2G4	1	PA2G4	
ETFB	1	ETFB	
MIS12	1	MIS12	
SARS1	1	SARS	
MAGIX	1	MAGIX	
TAP1	1	TAP1	
DCTPP1	1	DCTPP1	
LSM2	1	LSM2	
RPS26	1	RPS26	
MICOS13	1	MICOS13	
NDUFA11	1	NDUFA11	
UQCRQ	1	UQCRQ	
CATSPERB	1	CATSPERB	
BEX2	1	BEX2	
GTPBP4	1	GTPBP4	
SEC11C	1	SEC11C	
TMEM208	1	TMEM208	
PSMB3	1	PSMB3	
COPS7A	1	COPS7A	
NANS	1	NANS	
NDE1	1	NDE1	
OR3A2	1	OR3A2	
FAM66A	1	FAM66A	
UFSP2	1	UFSP2	
MAK16	1	MAK16	
DUSP2	1	DUSP2	
PCP4	1	PCP4	
ACSM3	1	ACSM3	
SHLD3	1	SHLD3	
TMEM17	1	TMEM17	
MYG1	1	C12orf10	
C18orf32	1	C18orf32	
TRNP1	1	TRNP1	
NSA2	1	NSA2	
SELENOW	1	SELENOW	
HEXIM2	1	HEXIM2	
COX6B1	1	COX6B1	
RBM8A	1	RBM8A	
NUDT18	1	NUDT18	
ATP5PD	1	ATP5PD	
MRPL24	1	MRPL24	
SLC35F2	1	SLC35F2	
UBAC1	1	UBAC1	
SERPINF1	1	SERPINF1	
POP7	1	POP7	
PSMD8	1	PSMD8	
NDUFA13	1	NDUFA13	
FIS1	1	FIS1	
NDUFB11	1	NDUFB11	
APRT	1	APRT	
SPAG4	1	SPAG4	
CUTA	1	CUTA	
ATP5MJ	1	ATP5MPL	
POLR2I	1	POLR2I	
L3MBTL2	1	L3MBTL2	
SMIM24	1	SMIM24	
SFT2D1	1	SFT2D1	
ANAPC11	1	ANAPC11	
TCEAL5	1	TCEAL5	
SETD7	1	SETD7	
TGFBR3L	1	TGFBR3L	
GNG3	1	GNG3	
CYCS	1	CYCS	
BORCS6	1	BORCS6	
CHGB	1	CHGB	
NAXE	1	NAXE	
PFDN1	1	PFDN1	
EIF2S2	1	EIF2S2	
ALDOA	1	ALDOA	
LGALS1	1	LGALS1	
EMX1	1	EMX1	
FAM78B	1	FAM78B	
MRPS18C	1	MRPS18C	
FAM3A	1	FAM3A	
SELENOM	1	SELENOM	
CCDC141	1	CCDC141	
NDUFB10	1	NDUFB10	
IL1RL2	1	IL1RL2	
TIFA	1	TIFA	
DNAJC30	1	DNAJC30	
ATP5MG	1	ATP5MG	
MSRB1	1	MSRB1	
THAP1	1	THAP1	
DDT	1	DDT	
TVP23C	1	TVP23C	
NDUFB9	1	NDUFB9	
INO80B	1	INO80B	
ARL4D	1	ARL4D	
NDUFS8	1	NDUFS8	
ADISSP	1	C20orf27	
POMP	1	POMP	
ZNF174	1	ZNF174	
CHCHD2	1	CHCHD2	
PPAN	1	PPAN	
COX4I1	1	COX4I1	
COX5B	1	COX5B	
ZHX3	1	ZHX3	
NTMT1	1	NTMT1	
ATG101	1	ATG101	
MRPL52	1	MRPL52	
CFAP53	1	CFAP53	
NHP2	1	NHP2	
SLC3A1	1	SLC3A1	
DCTN3	1	DCTN3	
DNAJB5	1	DNAJB5	
RASSF7	1	RASSF7	
TMEM230	1	TMEM230	
CNIH4	1	CNIH4	
MAN2A2	1	MAN2A2	
HSPD1	1	HSPD1	
RAB33A	1	RAB33A	
TCEAL4	1	TCEAL4	
PER2	1	PER2	
PIGO	1	PIGO	
TMEM26	1	TMEM26	
SELENOH	1	SELENOH	
GET3	1	GET3	
NOTCH4	1	NOTCH4	
GOLGA2	1	GOLGA2	
FZD1	1	FZD1	
PYCR3	1	PYCR3	
GPC6	1	GPC6	
CITED1	1	CITED1	
TMEM258	1	TMEM258	
TUBA1A	1	TUBA1A	
FYTTD1	1	FYTTD1	
CHCHD10	1	CHCHD10	
CUEDC2	1	CUEDC2	
PHPT1	1	PHPT1	
GORASP1	1	GORASP1	
MRPL46	1	MRPL46	
ROGDI	1	ROGDI	
ANKRD30BL	1	ANKRD30BL	
POMK	1	POMK	
GABARAP	1	GABARAP	
RHOXF1	1	RHOXF1	
ATP5MF	1	ATP5MF	
C4orf3	1	C4orf3	
NDUFC2	1	NDUFC2	
FARSA	1	FARSA	
TMEM177	1	TMEM177	
GADD45GIP1	1	GADD45GIP1	
RXFP1	1	RXFP1	
SDF2L1	1	SDF2L1	
YRDC	1	YRDC	
NIT1	1	NIT1	
CKS1B	1	CKS1B	
CHP1	1	CHP1	
PIN1	1	PIN1	
NDUFA5	1	NDUFA5	
EVI2B	1	EVI2B	
ABCF2	1	ABCF2	
SNRNP25	1	SNRNP25	
TIMM17B	1	TIMM17B	
PET100	1	PET100	
SPARC	1	SPARC	
RMRP	1	RMRP	
COX7A2	1	COX7A2	
EID3	1	EID3	
PTGDR	1	PTGDR	
ZC2HC1B	1	ZC2HC1B	
TMEM191B	1	TMEM191B	
COX7B	1	COX7B	
FAM114A2	1	FAM114A2	
LSM7	1	LSM7	
NCBP2AS2	1	NCBP2AS2	
HINT2	1	HINT2	
TRNT1	1	TRNT1	
FDX2	1	FDX2	
PTRH1	1	PTRH1	
TCEAL3	1	TCEAL3	
NDUFA3	1	NDUFA3	
SERPINB1	1	SERPINB1	
NME2	1	NME2	
GAPDH	1	GAPDH	
MAEA	1	MAEA	
ARHGEF17	1	ARHGEF17	
CITED4	1	CITED4	
FAM86C1P	1	FAM86C1	
ZNF804B	1	ZNF804B	
MRPS34	1	MRPS34	
ZNF521	1	ZNF521	
ARSJ	1	ARSJ	
BLOC1S6	1	BLOC1S6	
SEZ6L2	1	SEZ6L2	
NTHL1	1	NTHL1	
CMC1	1	CMC1	
MON1A	1	MON1A	
CISD3	1	CISD3	
RSKR	1	RSKR	
SERPIND1	1	SERPIND1	
ODC1	1	ODC1	
CRPPA	1	CRPPA	
MRPL21	1	MRPL21	
KRT222	1	KRT222	
ATP5F1D	1	ATP5F1D	
ALMS1	1	ALMS1	
RSL24D1	1	RSL24D1	
PSMB6	1	PSMB6	
NDUFA7	1	NDUFA7	
COX8A	1	COX8A	
UQCR11	1	UQCR11	
ATP5PO	1	ATP5PO	
TRAPPC14	1	MAP11	
COX6A1	1	COX6A1	
FAM98A	1	FAM98A	
PRKY	1	PRKY	
NDST3	1	NDST3	
ELOB	1	ELOB	
SPRY2	1	SPRY2	
COX6C	1	COX6C	
NEFL	1	NEFL	
AURKAIP1	1	AURKAIP1	
MRPS18B	1	MRPS18B	
CCT4	1	CCT4	
TXNDC17	1	TXNDC17	
UQCR10	1	UQCR10	
RILP	1	RILP	
GHRLOS	1	GHRLOS	
ATP5F1A	1	ATP5F1A	
REXO4	1	REXO4	
SPIN4	1	SPIN4	
ZNF880	1	ZNF880	
TCIM	1	TCIM	
GADD45B	1	GADD45B	
EXOSC5	1	EXOSC5	
RBM43	1	RBM43	
GRM8	1	GRM8	
CPEB2-DT	1	CPEB2-DT	
MRPS17	1	MRPS17	
TRAPPC5	1	TRAPPC5	
REPIN1	1	REPIN1	
SLC25A3	1	SLC25A3	
IQCN	1	IQCN	
PCDHA9	1	PCDHA9	
ASAH1	1	ASAH1	
SURF6	1	SURF6	
BBLN	1	C9orf16	
TUBA4A	1	TUBA4A	
MFSD3	1	MFSD3	
UBC	1	UBC	
GPX4	1	GPX4	
EIF1AY	1	EIF1AY	
SPEF1	1	SPEF1	
HDDC3	1	HDDC3	
CHMP2A	1	CHMP2A	
PPP1R3C	1	PPP1R3C	
CCNQ	1	CCNQ	
STMN1	1	STMN1	
XRCC6	1	XRCC6	
MDH2	1	MDH2	
UBL5	1	UBL5	
PRELID1	1	PRELID1	
EMC6	1	EMC6	
SYP	1	SYP	
