"Ensembl","Gene_Symbols"
"ENSG00000161955","TNFSF13"
"ENSG00000129226","CD68"
"ENSG00000187824","TMEM220"
"ENSG00000167525","PROCA1"
"ENSG00000109113","RAB34"
"ENSG00000160606","TLCD1"
"ENSG00000168792","ABHD15"
"ENSG00000172123","SLFN12"
"ENSG00000170703","TTLL6"
"ENSG00000167080","B4GALNT2"
"ENSG00000108798","ABI3"
"ENSG00000153930","ANKFN1"
"ENSG00000141371","C17orf64"
"ENSG00000167895","TMC8"
"ENSG00000171246","NPTX1"
"ENSG00000264569","DCXR-DT"
"ENSG00000101608","MYL12A"
"ENSG00000154611","PSMA8"
"ENSG00000134760","DSG1"
"ENSG00000101695","RNF125"
"ENSG00000167315","ACAA2"
"ENSG00000119547","ONECUT2"
"ENSG00000174837","ADGRE1"
"ENSG00000188269","OR7A5"
"ENSG00000105122","RASAL3"
"ENSG00000175489","LRRC25"
"ENSG00000126264","HCST"
"ENSG00000130208","APOC1"
"ENSG00000125740","FOSB"
"ENSG00000105281","SLC1A5"
"ENSG00000161652","IZUMO2"
"ENSG00000129450","SIGLEC9"
"ENSG00000142512","SIGLEC10"
"ENSG00000268500","SIGLEC5"
"ENSG00000254415","SIGLEC14"
"ENSG00000167614","TTYH1"
"ENSG00000167646","DNAAF3"
"ENSG00000131845","ZNF304"
"ENSG00000196209","SIRPB2"
"ENSG00000125877","ITPA"
"ENSG00000088826","SMOX"
"ENSG00000215529","EFCAB8"
"ENSG00000196756","SNHG17"
"ENSG00000176659","C20orf197"
"ENSG00000101189","MRGBP"
"ENSG00000198743","SLC5A3"
"ENSG00000159216","RUNX1"
"ENSG00000160255","ITGB2"
"ENSG00000160307","S100B"
"ENSG00000099942","CRKL"
"ENSG00000099957","P2RX6"
"ENSG00000187905","LRRC74B"
"ENSG00000100030","MAPK1"
"ENSG00000100038","TOP3B"
"ENSG00000100285","NEFH"
"ENSG00000214491","SEC14L6"
"ENSG00000183963","SMTN"
"ENSG00000100365","NCF4"
"ENSG00000188511","C22orf34"
"ENSG00000205560","CPT1B"
"ENSG00000169249","ZRSR2"
"ENSG00000165182","CXorf58"
"ENSG00000047597","XK"
"ENSG00000102145","GATA1"
"ENSG00000184675","AMER1"
"ENSG00000155659","VSIG4"
"ENSG00000165194","PCDH19"
"ENSG00000170935","NCBP2L"
"ENSG00000102024","PLS3"
"ENSG00000125352","RNF113A"
"ENSG00000122122","SASH3"
"ENSG00000198883","PNMA5"
"ENSG00000225110","PNMA6F"
