GENE_SYMBOLS,refseq_ids
CORT,NM_001302
CRH,NM_000756
BTF3,NM_001037637
C8orf33,NM_023080
CCT7,NM_001009570
TCEAL8,NM_001006684
RPS27A,NM_001135592
SPCS1,NM_014041
RPL9,NM_000661
RPL41,NM_001035267
SMIM26,NM_001348957
SELENOM,NM_080430
RPS8,NM_001012
LSM3,NM_014463
TOMM7,NM_019059
CWC15,NM_001363371
ATP5PF,NM_001003696
RPL7A,NM_000972
ANTKMT,NM_001271285
NDUFS6,NM_004553
RPL35A,NM_000996
ATOX1,NM_004045
DNPH1,NM_006443
COX7A2,NM_001366292
DCLRE1C,NM_001033855
FAU,NM_001997
TMEM19,NM_018279
RPL21,NM_000982
RPS9,NM_001013
RPL34,NM_000995
RPS12,NM_001016
RPL11,NM_000975
TOMM6,NM_001134493
RPL23,NM_000978
HDDC2,NM_016063
PCP4L1,NM_001102566
UQCRQ,NM_014402
ATP5MF,NM_001003713
ENTPD7,NM_001349962
NDUFC1,NM_001184986
MEA1,NM_001318942
ATP5MD,NA
RPS27,NM_001030
COX4I1,NM_001318786
PARK7,NM_001123377
RPS23,NM_001025
RPS10,NM_001014
ELOB,NM_007108
RPS15A,NM_001019
SEZ6L2,NM_001114099
EMC6,NM_001014764
COX6B1,NM_001863
NDUFB11,NM_001135998
DCTN3,NM_001281425
WDR77,NM_001317062
COX20,NM_001312871
TMA7,NM_001329417
RPL24,NM_000986
C4orf48,NM_001141936
RPS14,NM_001025070
SNHG6,NR_002599
TOMM5,NM_001001790
RPS13,NM_001017
RPL36AL,NM_001001
RPLP1,NM_001003
NDUFB10,NM_004548
RNASEK,NM_001004333
PSMC5,NM_001199163
C18orf32,NM_001035005
RPL18A,NM_000980
TOMM40,NM_001128916
RPL32,NM_000994
ABRACL,NM_021243
RPS29,NM_001030001
RPL36A,NM_001199972
RPL14,NM_001034996
RPS24,NM_001026
TCEAL6,NM_001006938
SNHG8,NR_003584
LAMTOR5,NM_001382293
UQCRB,NM_001199975
HAX1,NM_001018837
PSMG3,NM_001134340
CHCHD1,NM_203298
ATP5MPL,NA
RPL8,NM_000973
TCEAL7,NM_001348258
RPS15,NM_001018
RPL30,NM_000989
TCIM,NM_020130
RPL19,NM_000981
SELENOH,NM_001321335
RPS25,NM_001028
RPL26,NM_000987
UQCR11,NM_006830
GADD45GIP1,NM_052850
ATP5F1E,NM_006886
LRRC73,NM_001012974
NECAB2,NM_001329748
MRPS26,NM_030811
ATP5IF1,NM_016311
RPS28,NM_001031
UQCR10,NM_001003684
C1orf122,NM_001142726
NCBP2AS2,NM_001355243
NEIL2,NM_001135746
PHPT1,NM_001135860
MKX,NM_001242702
RPLP2,NM_001004
GMPR2,NM_001002000
CORO2B,NM_001190456
BCKDK,NM_001122957
CHGB,NM_001819
NDUFB1,NM_004545
SNAPC5,NM_001329613
TMEM208,NM_001318217
FGF1,NM_000800
MRM2,NM_013393
COPS7A,NM_001164093
ATP1B2,NM_001303263
RPL17,NM_000985
RPS21,NM_001024
SEC62,NM_003262
RPL29,NM_000992
HMGN2,NM_005517
CHCHD2,NM_001320327
ATXN7L3B,NM_001136262
SLC32A1,NM_080552
MRPS23,NM_016070
PIK3IP1,NM_001135911
BEX1,NM_018476
MANF,NM_006010
SEC61G,NM_001012456
RPL35,NM_007209
RBM11,NM_001320602
RPS19BP1,NM_194326
NDUFB9,NM_001278645
ERI2,NM_001142725
BEX4,NM_001080425
S100A1,NM_006271
RPL37A,NM_000998
RPL27A,NM_000990
SLC22A10,NM_001039752
MRPL51,NM_016497
MRPL40,NM_001318151
NDUFB7,NM_004146
RPL10,NM_001256577
RPL18,NM_000979
RPS5,NM_001009
NDUFS5,NM_001184979
EEF1B2,NM_001037663
MRPS24,NM_032014
SLIRP,NM_001267863
RCN1,NM_002901
MRPL57,NM_024026
PET100,NM_001171155
TSPAN31,NM_001330168
CBLN4,NM_080617
FNDC4,NM_022823
NDUFA4,NM_002489
WDR34,NA
EMC7,NM_020154
KRTCAP2,NM_173852
RPS26,NM_001029
RPS19,NM_001022
MRPL46,NM_022163
MIEF2,NM_001144900
RPL3,NM_000967
RPL39,NM_001000
RNF7,NM_001201370
RBMS2,NM_001414459
TIMM13,NM_012458
MZT2B,NM_001330282
DCUN1D3,NM_173475
COL21A1,NM_001318751
ST8SIA2,NM_001330416
RPL23A,NM_000984
B3GALT2,NM_003783
ASXL3,NM_030632
ENDOG,NM_004435
COX7B,NM_001866
COPS9,NM_001163424
HLA-B,NM_005514
NDUFB2,NM_004546
ATRAID,NM_001170795
RPS3A,NM_001006
IFI27L2,NM_032036
RPL13,NM_000977
DDIT3,NM_001195053
TMEM160,NM_017854
COX7C,NM_001867
LRRC42,NM_001256409
RUBCNL,NM_001286761
TCEAL5,NM_001012979
COX5B,NM_001862
EIF3I,NM_001394168
UBE2S,NM_014501
POLE4,NM_019896
NDUFA13,NM_015965
MCHR1,NM_005297
MRPS34,NM_001300900
HIST3H2A,NA
RPS2,NM_002952
RAB24,NM_001031677
DNAJC19,NM_001190233
OTUB1,NM_017670
RAB5IF,NM_001199534
DUSP4,NM_001394
GDF11,NM_005811
SLC25A5,NM_001152
RPS4X,NM_001007
BOLA3,NM_001035505
GRINA,NM_000837
RPS18,NM_022551
TAF13,NM_005645
HDDC3,NM_001286451
COX14,NM_001257133
GPX4,NM_001039847
SET,NM_001122821
TPD52L1,NM_001003395
NTNG1,NM_001113226
CCDC85B,NM_006848
NDUFB5,NM_001199957
RPL27,NM_000988
NDUFA1,NM_004541
PDAP1,NM_014891
TMEM147,NM_001242597
TANGO6,NM_024562
RPS16,NM_001020
MRPL50,NM_019051
ACP2,NM_001131064
DDT,NM_001084392
POLR2K,NM_005034
DHPS,NM_001206974
RPL38,NM_000999
POLR2I,NM_006233
CYCS,NM_018947
FDX2,NM_001031734
SERF2,NM_001018108
PDGFC,NM_016205
IFITM3,NM_021034
RPL7,NM_000971
RANBP1,NM_001278639
RPL10A,NM_007104
SNHG7,NM_032887
LSM7,NM_016199
MRPL47,NM_020409
CRYBG1,NM_001371242
NDUFB3,NM_001257102
SUMO1,NM_001005781
MYL6B,NM_001199629
PHKG1,NM_001258459
ATP5PD,NM_001003785
TXN2,NM_012473
ARL4C,NM_001282431
LYRM2,NM_020466
ATP5MC1,NM_001002027
VBP1,NM_001303543
HES4,NM_001142467
PARD6A,NM_001037281
NCR3LG1,NM_001009913
SLC35B1,NM_001278784
ERH,NM_004450
PCYOX1,NM_016297
SURF1,NM_001280787
ZNF134,NM_003435
MC1R,NM_002386
TIMM10,NM_012456
TMEM258,NM_014206
POMP,NM_015932
MAP1LC3A,NM_032514
MRPL14,NM_001318767
TMEM9B,NM_001286094
RPL6,NM_000970
GABARAPL1,NM_001363598
TBCC,NM_003192
RPS7,NM_001011
AP4M1,NM_001363671
SCG5,NM_001144757
SELENOK,NM_021237
MROH7,NM_001039464
PCDH10,NM_020815
PSMB10,NM_002801
EIF3D,NM_003753
SYT6,NM_001253772
ATP6V1F,NM_001198909
RPL15,NM_001253379
MDGA1,NM_153487
BEX3,NM_001282674
MANBAL,NM_001003897
ILF3-DT,NM_203300
SST,NM_001048
SPACA9,NM_001316897
C12orf57,NM_001301834
TMED2,NM_001321445
GSS,NM_000178
GAS5,NR_002578
SRP14,NM_001309434
REX1BD,NM_001100418
CTSF,NM_003793
TRPC3,NM_001130698
HTR5A,NM_024012
COX7A1,NM_001864
RPL37,NM_000997
BACH2,NM_001170794
DAZAP2,NM_001136264
SYT4,NM_020783
LSM4,NM_001252129
POP4,NM_006627
OPA3,NM_001017989
ODC1,NM_001287188
DUSP28,NM_001033575
NAP1L5,NM_153757
HELLPAR,NA
OCIAD2,NM_001014446
TMEM115,NM_007024
SCRG1,NM_001329597
SELENOW,NM_003009
PFDN6,NM_001185181
CAMK2N2,NM_033259
H2AFZ,NA
CD59,NM_000611
USE1,NM_018467
PPT1,NM_000310
SF3A1,NM_001005409
MDP1,NM_001199821
VIP,NM_003381
RASGEF1C,NM_001031799
SVBP,NM_199342
DRAP1,NM_006442
ZXDB,NM_007157
TMEM141,NM_032928
FIBP,NM_004214
BTBD6,NM_001387567
TMEM126A,NM_001244735
ATP5MC2,NM_001002031
BLOC1S6,NM_001311255
SPSB3,NM_001324081
SNHG29,NM_152350
H3F3B,NA
BEX2,NM_001168399
ALDOC,NM_005165
CCDC178,NM_001105528
APOE,NM_000041
TXLNB,NM_153235
WDR66,NA
MRTO4,NM_016183
RETREG2,NM_001321109
SURF2,NM_001278928
ACYP1,NM_001107
SRP9,NM_001130440
MRPL21,NM_181512
CDHR2,NM_001171976
PPRC1,NM_001288727
FXYD6,NM_001164831
IMPDH2,NM_000884
HAUS4,NM_001166269
SSR2,NM_003145
PHLDA3,NM_012396
CLGN,NM_001130675
FAM81A,NM_152450
LDHA,NM_001135239
SNAPIN,NM_012437
SLC39A7,NM_001077516
PPP1R35,NM_001346938
RPP25,NM_017793
TSTD1,NM_001113205
AAMP,NM_001087
CUTA,NM_001014433
VGF,NM_003378
PKM,NM_001206796
COA3,NM_001040431
U2AF1L4,NM_001040425
ATP6AP2,NM_005765
GOT1,NM_002079
ABI3BP,NM_001349329
PGAM1,NM_001317079
PFDN5,NM_002624
KLHL17,NM_198317
SMIM19,NM_001135674
MCRIP2,NM_001331229
SLC39A11,NM_001159770
UQCRFS1,NM_006003
BAX,NM_001291428
DBNDD2,NM_001048221
MAGT1,NM_001367916
VEGFB,NM_001243733
CENPX,NM_001271006
LAGE3,NM_006014
FIS1,NM_016068
CNDP2,NM_001168499
RPL13A,NM_001270491
SAT2,NM_001320845
ARMCX6,NM_001009584
