GENE_SYMBOLS,refseq_ids
C7orf50,NM_001134395
PSMG3,NM_001134340
MRM2,NM_013393
EIF2AK1,NM_001134335
NDUFA4,NM_002489
ETV1,NM_001163147
TOMM7,NM_019059
CYCS,NM_018947
SEPTIN7,NM_001011553
MRPS24,NM_032014
POLD2,NM_001127218
DDX56,NM_001257189
SNHG15,NR_003697
TNS3,NM_001410877
SEC61G,NM_001012456
PHKG1,NM_001258459
CHCHD2,NM_001320327
MDH2,NM_001282403
BRI3,NM_001159491
PDAP1,NM_014891
BUD31,NM_001370407
ATP5MF,NM_001003713
AP4M1,NM_001363671
TAF6,NM_001190415
LAMTOR4,NM_001008395
PPP1R35,NM_001346938
VGF,NM_003378
FIS1,NM_016068
THAP5,NM_001130475
NDUFA5,NM_001282419
ATP6V1F,NM_001198909
SLC35B4,NM_032826
MKRN1,NM_001145125
NDUFB2,NM_004546
CNTNAP2,NM_014141
NEIL2,NM_001135746
CTSB,NM_001317237
ASAH1,NM_001127505
DUSP4,NM_001394
TTI2,NM_001102401
UNC5D,NM_001322818
TM2D2,NM_001024380
TCIM,NM_020130
SMIM19,NM_001135674
CRH,NM_000756
SNHG6,NR_002599
RPL7,NM_000971
MMP16,NM_005941
OSGIN2,NM_001126111
UQCRB,NM_001199975
RPL30,NM_000989
COX6C,NM_004374
POLR2K,NM_005034
ENY2,NM_001193557
CCN3,NM_002514
NDUFB9,NM_001278645
GRINA,NM_000837
CYC1,NM_001916
VPS28,NM_016208
CYHR1,NA
RPL8,NM_000973
C8orf33,NM_023080
RFX3,NM_001282116
RANBP6,NM_001243202
DMAC1,NM_001318058
RPS6,NM_001010
CHMP5,NM_001195536
DCTN3,NM_001281425
TLN1,NM_006289
TOMM5,NM_001001790
DAPK1,NM_001288729
ATP6V1G1,NM_004888
CNTRL,NM_001330762
RPL35,NM_007209
RPL12,NM_000976
AK1,NM_000476
DPM2,NM_001378436
C9orf16,NA
URM1,NM_001135947
SET,NM_001122821
ENDOG,NM_004435
SPACA9,NM_001316897
RPL7A,NM_000972
SURF1,NM_001280787
SURF2,NM_001278928
COL5A1,NM_000093
SNHG7,NM_032887
TMEM141,NM_032928
PHPT1,NM_001135860
EDF1,NM_001281297
LCNL1,NM_207510
PAXX,NM_001329678
NPDC1,NM_015392
SSNA1,NM_003731
GTPBP4,NM_012341
DCLRE1C,NM_001033855
DNAJC1,NM_022365
PARG,NM_001303486
FAM241B,NM_145306
SPOCK2,NM_001134434
CFAP70,NM_001350933
CHCHD1,NM_203298
COMTD1,NM_144589
RPS24,NM_001026
PGAM1,NM_001317079
GOT1,NM_002079
NDUFB8,NM_001284367
DPCD,NM_001329742
PPRC1,NM_001288727
ATP5MD,NA
GSTO1,NM_001191002
SORCS3,NM_014978
CALY,NM_001321617
RIC8A,NM_001286134
RPLP2,NM_001004
POLR2L,NM_021128
CD81,NM_001297649
RPL27A,NM_000990
TMEM9B,NM_001286094
